"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",35,24.3,18.4,17.9,24.5,20,18.4,18,20.3,19,18.4,18,4601,3756,3542,3550,3830,3590,3525,3544,3585,3564,3525,3544
"10","10",55.9,43.9,28,25.5,39.4,33.7,26.7,25.3,41,37.6,26.9,25.4,6100,6639,4937,4933,5654,5703,4934,4889,5403,5339,4922,4886
"100","100",47.4,47.4,37.4,22.3,59.5,59.5,54.8,23.4,57.7,57.7,54.1,23.5,9066,9066,7586,4883,4736,5048,4994,4566,5047,5047,5271,4510
"1000","1000",49,42.7,19.2,18.7,24.6,22.8,19.3,18.8,20.8,20.2,19.3,18.9,5616,5254,3739,3679,3763,3957,3747,3659,3851,3838,3747,3683
"10000","10000",118.1,104,61.4,53.1,84.1,75.2,60.7,53.3,73.9,67,54.8,52.2,12177,11376,11524,10385,11690,11242,11234,10386,11695,11021,10337,10139
"10001","10001",68,57.9,34.9,33.8,46.4,40.3,34.4,33.5,40.8,37.4,34.6,33.7,7251,7569,6623,6544,7400,6794,6585,6435,6832,6822,6571,6460
"10002","10002",54.4,44,27.8,25,45.6,39.8,28.6,25.5,41.5,36.9,28.8,25.5,6300,6115,5194,4978,6066,5798,5600,5014,5808,5608,5126,5018
"10003","10003",36.8,36.8,17.9,13.2,14.3,12.4,12.4,12.3,16.4,13.7,12.5,12.3,2533,2533,3087,2407,2415,2415,2415,2415,2552,2593,2419,2419
"10004","10004",42.3,34.3,15.4,14.8,22.5,19.1,15.3,14.9,20.8,17.7,15.4,14.7,2962,3096,3035,2893,3083,3183,3014,2896,3057,3322,3012,2855
"10006","10006",75.9,53.7,45.8,35.3,69.8,52.6,40.8,35.1,66.1,46.6,40.2,35.2,7805,7642,7224,6976,8010,7441,7221,6912,7643,7443,7109,6942
"10007","10007",61.5,48.7,28,27.7,45.4,33.4,27.9,27.8,36.4,34,28,27.9,6267,5693,5530,5481,6354,5624,5486,5481,5759,5659,5486,5479
"10008","10008",69.9,66.3,39.3,32,62,56.8,37.7,32.5,61.6,57.4,36.8,32.6,7752,7685,6800,6162,8206,8214,6677,6217,7934,8607,6693,6158
"10009","10009",42.8,40.6,20.4,18.3,30.6,25.5,20,18.4,31.2,28.9,19.8,18.5,4085,4000,3814,3553,4087,3940,3806,3551,4027,3878,3767,3547
"10010","10010",88.2,76.1,38.5,34,44.5,41.1,36.3,34.3,43.2,41,36.4,34.3,7199,9402,7227,6726,7386,7261,7137,6715,7325,7213,7114,6702
"10011","10011",75.9,70.3,31.4,23.9,51.6,45.5,30.2,24,44.4,41.5,30.1,24.2,4719,7982,5935,4691,6844,6500,5766,4692,5523,6068,5609,4692
"10013","10013",101.3,91.9,43.2,38.4,72.5,62.6,40.9,38.9,62.3,56.4,41.7,39.2,8144,10170,8034,7495,8739,8344,7736,7533,8938,8374,7809,7547
"10014","10014",106.6,96.5,48.4,38.8,73.7,67.7,46.9,39.1,73.5,68.9,46.3,39.3,12508,12350,8500,7588,9669,9667,8359,7545,10100,8812,8396,7539
"10015","10015",92.4,76.3,49.7,47.1,68.1,55,49.6,47.3,66.3,56.4,52.7,47.5,9956,10070,9660,9194,10753,9971,9457,9119,10440,9615,9291,9121
"10016","10016",12.4,12.4,7.1,6.3,5.4,5.4,5.4,5.3,5.4,5.4,5.4,5.3,877,877,877,877,1126,1126,1126,1126,1126,1126,1126,1126
"10017","10017",78.5,71.6,43.3,34.5,60.2,52.5,42.4,33.9,57.5,52.4,42.6,34.7,7939,8090,7737,6703,8081,7986,7752,6532,8115,8137,7377,6710
"10018","10018",92.3,73.6,42.9,40.4,57.4,51.3,41.3,39.6,58,53.1,41.3,39.8,9206,9298,8167,7993,8405,8292,7977,7712,8439,8365,7929,7715
"1002","1002",30.2,30.2,18.6,10.2,29.3,29.3,18.6,10.2,27.3,27.2,16.7,12,2297,2297,2515,2114,2668,2668,2409,1989,3004,2999,2619,2043
"10020","10020",3.2,2.9,1.4,1.4,2.3,1.3,1,1,2.3,1.3,1,1,285,289,289,289,211,216,211,211,213,216,213,213
"10021","10021",61.8,54.4,30.2,29.5,41.6,37.8,28.9,28.4,40.5,38.7,28.8,28.4,6087,6381,5782,5741,6483,6400,5548,5471,6218,6070,5521,5469
"10022","10022",114.7,94.6,56.8,54.5,73.7,67.9,57.1,54.7,70.2,66,57.5,54.9,11792,12976,11173,10709,11844,11400,11042,10597,12016,11475,10911,10615
"10023","10023",68.3,62.6,26.5,24.9,29.6,25.5,24.7,24.3,27,25.3,24.9,24.6,4917,5028,5276,4961,4983,4992,4910,4827,4927,4860,4837,4770
"10024","10024",105.3,93,58,48,80.9,72.8,55,47.8,78.1,71.8,53.6,49.1,11506,11745,10235,9190,11305,11255,9701,9200,11340,11508,9646,9399
"10025","10025",64.2,56.9,24.3,24.1,25.2,21.6,21.2,21.2,24,21.3,21.3,21.2,4693,4591,4370,4331,4399,4383,4332,4304,4556,4329,4329,4305
"10026","10026",76.4,70.9,37.7,30.5,66.2,62.4,37.7,30.4,64.9,57.1,37.8,32.4,8154,8510,6848,6034,8262,8266,6851,5991,8708,8558,6881,6238
"10027","10027",22.9,22.9,15.1,10.2,22.8,22.8,15.1,10.2,16.5,16.5,9,8.9,2019,2016,2810,2025,2013,2013,2815,2022,2159,2159,1706,1705
"10028","10028",32.5,27.8,20.1,19.6,27.7,24.2,19.9,19.5,26.8,24.2,19.9,19.4,4156,3982,3957,3874,4216,4090,3874,3851,4298,4223,3875,3842
"10029","10029",108.5,87,44.4,42.1,65.9,57.9,46.4,43.3,64.7,58.4,45.4,43.5,10779,11154,8542,8280,9648,9724,8527,8468,9061,8804,8605,8481
"1003","1003",35.9,32.5,22.4,21.4,27.7,23.9,21,20.5,28.1,27.3,21,20.5,4480,4370,4331,4219,4396,4255,4056,4037,4491,4454,4056,4032
