"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Kyoto",2016,1,1632320,3250.38,1.56,0,33.05,0,0.29,0.03,0.07,0,0.18,51.59,4.89,27.26,16.25,6985417.005,17952,0.26,36.49,6.02,37.42,20.07,14401,1352,0,2199,4.97,"20260302_150200",19859,40637065
"Kyoto",2016,2,1632320,3294.54,1.57,0,29.83,0,0.31,0.02,0.08,0,0.21,41.68,19.83,25.41,13.07,6985417.005,17952,0.26,36.49,6.02,37.42,20.07,14401,1352,0,2199,4.97,"20260302_150200",19912,57577878
"Kyoto",2019,1,1632320,3301.5,1.58,1.57,25.43,0.08,3.89,2.48,0.91,0,0.51,76.57,4,10.49,8.94,7992712.375,37225,0.47,45.79,7,28.51,18.7,28926,2067,0,6232,4.97,"20260302_150200",19966,86398020
"Kyoto",2019,2,1632320,3275.36,1.57,-0.58,22.86,0.04,3.13,2.15,0.69,0,0.28,64.22,19.05,9.3,7.42,7992712.375,37225,0.47,45.79,7,28.51,18.7,28926,2067,0,6232,4.97,"20260302_150200",19983,114047741
"Kyoto",2021,1,1632320,3293.95,1.58,1.34,25.09,0.12,5.77,4.11,1.03,0,0.63,77.85,3.77,10.15,8.22,8144006.574,53116,0.65,47.74,6.77,27.59,17.91,42417,2607,0,8092,4.97,"20260302_150200",19863,90589777
"Kyoto",2021,2,1632320,3262.21,1.56,-0.98,22.63,0.07,4.87,3.62,0.84,0,0.41,65.49,18.57,9.01,6.93,8144006.574,53116,0.65,47.74,6.77,27.59,17.91,42417,2607,0,8092,4.97,"20260302_150200",19876,119724912
"Kyoto",2024,1,1632320,3255.12,1.55,0.15,24.02,0.36,8.18,4.68,0.92,0.98,1.61,80.48,3.12,8.69,7.71,8620304.318,92411,1.07,50.84,6.47,24.03,18.66,55556,4204,11356,21296,4.97,"20260302_150200",19816,102781162
"Kyoto",2024,2,1632320,3219.98,1.54,-2.26,21.85,0.23,6.89,3.35,0.8,1.85,0.89,68.2,17.42,7.76,6.62,8620304.318,92411,1.07,50.84,6.47,24.03,18.66,55556,4204,11356,21296,4.97,"20260302_150200",19821,130574756
"Kyoto",2026,1,1632320,3263.86,1.56,0.41,23.83,0.72,13.38,4.82,1.69,4.16,2.71,82.06,2.77,8.43,6.74,8772763.624,172284,1.96,52.81,6.78,22.09,18.33,57033,16456,68365,30430,4.97,"20260302_150200",19971,105353400
"Kyoto",2026,2,1632320,3220.48,1.54,-2.25,21.7,0.65,12.8,3.48,1.52,6.16,1.65,68.53,18.16,7.52,5.79,8772763.624,172284,1.96,52.81,6.78,22.09,18.33,57033,16456,68365,30430,4.97,"20260302_150200",19979,134920854
