"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",1700,1916,1916,1916,1697,-0.00176470588235294
"2","2",1111,1115,1115,1115,1111,0
"3","3",4300,3767,3796,3859,3193,-0.257441860465116
"4","4",10328,13415,13227,13460,13750,0.331332300542215
"5","5",3341,3119,3119,3120,3149,-0.057467824004789
"6","6",1526,1452,1454,1447,1413,-0.0740498034076016
"7","7",1878,1879,1879,1878,1878,0
"8","8",1994,2214,2193,1677,1766,-0.114343029087262
"9","9",5153,5999,5333,5801,5348,0.0378420337667378
"10","10",3210,3208,3177,3187,3191,-0.0059190031152648
"11","11",3429,4413,3492,4640,3756,0.0953630796150481
"12","12",5396,3925,4070,3970,4162,-0.228687916975537
"13","13",3647,3612,3552,3547,3551,-0.0263230052097614
"14","14",4757,4863,4863,4817,5201,0.0933361362203069
"15","15",2590,2396,2396,2279,2737,0.0567567567567568
"16","16",1883,2550,2529,1909,1895,0.00637280934678704
"17","17",1024,1271,1271,1267,1267,0.2373046875
"18","18",1563,1694,1578,1545,1456,-0.0684580934101088
"19","19",1605,1512,1513,1513,1508,-0.0604361370716511
"20","20",5097,6035,6029,4949,5147,0.00980969197567196
"21","21",2961,2946,2924,2983,3000,0.0131712259371834
"22","22",7127,7385,7010,7170,6972,-0.021748281184229
"23","23",2444,2488,2492,2854,2573,0.0527823240589198
"24","24",2516,2619,2520,2632,2656,0.0556438791732909
"25","25",8706,8775,8993,8780,8172,-0.0613370089593384
"26","26",2662,2631,2581,2580,2579,-0.0311795642374155
"27","27",2337,2329,2379,2346,2353,0.00684638425331622
"28","28",758,771,771,749,749,-0.0118733509234828
"29","29",3433,3660,3647,3728,3445,0.00349548499854355
"30","30",1487,1524,1482,1603,1777,0.19502353732347
"31","31",2132,3013,1817,1830,1830,-0.141651031894934
"32","32",2887,2474,2390,2433,2414,-0.16383789400762
"8188","8188",2887,2474,2390,2433,2414,-0.16383789400762
"33","33",3932,3689,3440,3396,3298,-0.161241098677518
"34","34",2457,2870,2984,2751,2273,-0.0748880748880749
"35","35",2925,3228,3053,3063,2669,-0.0875213675213675
"36","36",3164,3923,3838,3862,3355,0.0603666245259166
"37","37",2875,2878,2878,3005,2967,0.032
"38","38",1513,1350,1349,1593,1654,0.0931923331130205
"39","39",3052,2652,2647,3210,2669,-0.125491480996068
"40","40",5320,5339,5245,5181,5027,-0.0550751879699248
"41","41",3402,3412,3412,3414,3391,-0.00323339212228101
"42","42",1406,1913,1913,1910,1673,0.189900426742532
"43","43",2643,2861,2860,2734,2734,0.0344305713204692
"44","44",943,942,942,942,714,-0.242841993637328
"45","45",1894,1808,1805,1805,2034,0.0739176346356917
"46","46",1916,2059,1856,1857,2089,0.0902922755741127
"15533","15533",1916,2059,1856,1857,2089,0.0902922755741127
"18565","18565",1916,2059,1856,1857,2089,0.0902922755741127
"47","47",2461,2470,2469,2469,2187,-0.111336854937017
"48","48",3244,3108,3959,4297,4279,0.31905055487053
"49","49",1800,2052,2052,1847,1879,0.0438888888888889
"50","50",5401,5459,6086,6005,6601,0.222181077578226
"51","51",1739,1690,1690,1693,1691,-0.0276020701552616
"52","52",3617,3544,3287,3287,3334,-0.0782416367155101
"53","53",2462,2788,2727,2715,2714,0.102355808285946
"54","54",1828,1810,1761,1560,1559,-0.147155361050328
"55","55",2609,2575,2575,2576,2576,-0.0126485243388271
"56","56",4828,4481,4776,4587,4582,-0.0509527754763877
"57","57",5310,7650,6564,6502,5561,0.0472693032015066
"58","58",4019,4030,4022,4159,3162,-0.213237123662603
"59","59",2599,3080,3080,3070,2403,-0.0754136206233167
"60","60",3136,3679,3679,3175,3495,0.114477040816327
"61","61",1320,1322,1322,1322,1328,0.00606060606060606
"62","62",3056,2791,2775,2762,2787,-0.0880235602094241
"63","63",874,820,820,824,824,-0.05720823798627
"64","64",2955,2694,2739,2694,2615,-0.115059221658206
"65","65",2216,2643,2101,2378,2506,0.13086642599278
"66","66",2165,2165,1911,1911,1842,-0.14919168591224
"67","67",3513,2913,2913,2668,2668,-0.240535155138059
"68","68",1582,1699,1851,1607,1644,0.0391908975979772
"13175","13175",1582,1699,1851,1607,1644,0.0391908975979772
"69","69",1847,2166,2165,2207,1902,0.0297780184082296
"70","70",1408,1560,1714,1423,1442,0.0241477272727273
"71","71",14857,12880,12875,11834,11816,-0.204684660429427
"72","72",1582,1539,1528,1480,1403,-0.11314791403287
"73","73",1545,1507,1507,1522,1559,0.00906148867313916
"74","74",3537,4261,3714,2957,3292,-0.0692677410234662
"75","75",7624,7972,7947,7954,7699,0.00983735571878279
"76","76",1183,1298,1290,1667,1258,0.0633981403212172
"77","77",3778,3778,3621,3631,3865,0.0230280571731075
"78","78",4577,4806,5173,4847,4870,0.0640157308280533
"79","79",2531,2080,2081,1962,2177,-0.139865665744765
"80","80",1332,1207,1207,1207,1207,-0.0938438438438438
"81","81",1303,1358,1358,1355,1440,0.105141980046048
"82","82",1515,1728,1728,1730,1506,-0.00594059405940594
"83","83",3575,3672,3769,3777,4172,0.166993006993007
"84","84",1990,2494,2493,2531,1811,-0.0899497487437186
"85","85",1100,869,870,851,894,-0.187272727272727
"86","86",2378,2304,2093,2282,2083,-0.124053826745164
"87","87",2450,2408,2412,2413,2260,-0.0775510204081633
"88","88",2111,2111,2104,2033,2160,0.0232117479867361
"89","89",2285,2282,2282,2284,2554,0.117724288840263
"90","90",3736,3784,3787,3789,3982,0.0658458244111349
"91","91",1879,1880,1880,1880,1880,0.000532197977647685
"92","92",2030,2608,2632,2632,2246,0.1064039408867
"93","93",1711,2042,2042,2041,1627,-0.049094097019287
"94","94",4329,5692,4700,4107,4150,-0.0413490413490413
"95","95",2000,2058,2050,1951,2180,0.09
"96","96",2758,2657,2646,2466,2687,-0.0257432922407542
"97","97",1317,1403,1403,1398,1373,0.0425208807896735
"98","98",1491,1390,1390,1533,1636,0.0972501676727029
"99","99",2829,1222,1222,1221,1221,-0.568398727465536
"100","100",6096,4751,4730,4730,4752,-0.220472440944882
"101","101",3904,3652,3653,3657,3770,-0.0343237704918033
"102","102",2017,3178,3175,3181,3016,0.495290034705007
"103","103",1572,1572,1648,1626,1627,0.0349872773536896
"104","104",2737,2556,2740,2375,2502,-0.0858604311289733
