"city","year","lts","found_routes","access_15min_vol"
"kyoto",16,3,19990,44604262
"kyoto",16,4,19991,61823116
"kyoto",21,3,19971,50654594
"kyoto",21,4,19973,64624618
"kyoto",26,3,19994,52283902
"kyoto",26,4,19997,63303701
"kyoto",16,1,19795,6249660
"kyoto",16,2,19852,8064072
"kyoto",19,1,19914,11722007
"kyoto",19,2,19928,14986134
"kyoto",21,1,19879,12085819
"kyoto",21,2,19889,15187857
"kyoto",24,1,19860,14074624
"kyoto",24,2,19863,16914620
"kyoto",26,1,19985,16231404
"kyoto",26,2,19990,18994676
"kyoto",18,1,19878,11162738
"kyoto",20,1,19976,11951170
"kyoto",22,1,19878,12207078
