"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",41.3,41.3,25.9,23,36.5,34.4,26.7,22.3,32.8,28.4,23.5,21.6,4995,4995,4579,4126,5066,4731,4610,4317,5084,4718,4300,4127
"10","10",81.4,80.2,41.3,31.9,76.9,67.1,46.6,32.2,61.5,46,36.4,31.3,7054,7034,7194,6120,6507,7307,6521,6278,7883,6662,6780,5978
"100","100",71.8,71.8,50.1,45.4,70.7,67.2,50.2,45.7,71.3,65.4,50.9,46,11259,11257,9574,8863,11325,11300,9510,8927,11465,11180,9617,8806
"1000","1000",93,92.3,55.4,47.8,88.6,77,56.8,47.2,83.7,74.3,54.7,47.1,10382,11057,9681,9266,11134,10995,9822,9161,11231,11396,9879,9082
"10000","10000",71.9,71.9,34.3,31.9,71.2,58.3,46.6,34.1,53.8,38.4,35.2,30.8,8554,8557,6132,5864,6855,9074,6528,6573,7240,6411,6547,5943
"10001","10001",81.9,81.9,55.6,42.1,74,67.6,47.4,42.3,70.8,62.7,46.9,44.2,9234,9234,9203,7976,9022,9025,8500,7972,8815,8741,8502,8318
"10002","10002",58.6,58.6,46.3,33.6,59.4,52.7,45.6,33.8,59.4,53,46,34.9,7905,7797,7051,6480,8265,8293,7919,6468,8192,8288,7124,6626
"10003","10003",68.7,64.5,38.1,30.1,60.3,46,36.9,30.3,61.1,47.4,37.6,30.4,7761,7568,6821,5880,7104,6665,6527,5875,6612,7353,6488,5882
"10004","10004",90.9,89.9,51.2,47.9,79.9,64.4,53.5,48.1,76.6,62.4,51.2,48.3,10503,11177,9258,9244,10375,10447,9388,9238,9844,10193,9235,9275
"10005","10005",23.9,23.9,19.8,14.2,26,26,22.4,14.8,21.4,21.4,17.8,15.2,2884,2884,2813,2792,3051,3051,3123,2888,2871,2871,2821,2790
