"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Leeds",2016,1,992062,7135.91,1.5,0,15.69,74.4,0.32,15.74,9.52,3450957.609,49300,1.43,53.99,0.57,27.55,17.9,29312,8490,537,10961,13.76,"20260226_132627",19818,30046501
"Leeds",2016,2,992062,7143.32,1.5,0,15.6,73.75,1.47,15.35,9.41,3450957.609,49300,1.43,53.99,0.57,27.55,17.9,29312,8490,537,10961,13.76,"20260226_132627",19831,30674032
"Leeds",2016,3,992062,6651.64,1.4,0,9.5,36.85,1.09,56.87,5.18,3450957.609,49300,1.43,53.99,0.57,27.55,17.9,29312,8490,537,10961,13.76,"20260226_132627",20000,110451550
"Leeds",2016,4,992062,6138.33,1.3,0,6.76,20.22,0.98,43.1,35.68,3450957.609,49300,1.43,53.99,0.57,27.55,17.9,29312,8490,537,10961,13.76,"20260226_132627",20000,171912299
"Leeds",2021,1,992062,7135.91,1.49,0,18.48,80.18,3.89,7.68,8.22,4033349.201,89858,2.23,59.54,6.91,17.39,16.15,72455,7205,2624,7575,13.76,"20260226_132627",19938,38165680
"Leeds",2021,2,992062,7096.16,1.48,-0.66,16.63,67.62,18.88,6.75,6.72,4033349.201,89858,2.23,59.54,6.91,17.39,16.15,72455,7205,2624,7575,13.76,"20260226_132627",19976,58061865
"Leeds",2021,3,992062,6608.99,1.38,-0.64,12.64,43.28,17.49,34.17,5.03,4033349.201,89858,2.23,59.54,6.91,17.39,16.15,72455,7205,2624,7575,13.76,"20260226_132627",19998,106008168
"Leeds",2021,4,992062,6100.5,1.29,-0.62,9.61,24.09,11.74,26.01,38.13,4033349.201,89858,2.23,59.54,6.91,17.39,16.15,72455,7205,2624,7575,13.76,"20260226_132627",19998,176636735
"Leeds",2026,1,992062,7038.96,1.47,-1.36,23.84,84.36,3.58,6.25,5.79,4266733.863,131925,3.09,62.48,7.81,15.19,14.51,103775,9628,9263,9258,13.76,"20260226_132627",19961,44846526
"Leeds",2026,2,992062,6954.06,1.45,-2.65,21.28,70.37,19.56,5.25,4.79,4266733.863,131925,3.09,62.48,7.81,15.19,14.51,103775,9628,9263,9258,13.76,"20260226_132627",19990,72480904
"Leeds",2026,3,992062,6515.06,1.36,-2.05,16.97,46.75,18.08,31.47,3.67,4266733.863,131925,3.09,62.48,7.81,15.19,14.51,103775,9628,9263,9258,13.76,"20260226_132627",20000,121163586
"Leeds",2026,4,992062,6136.22,1.29,-0.03,14.83,31.05,12.82,24.69,31.42,4266733.863,131925,3.09,62.48,7.81,15.19,14.51,103775,9628,9263,9258,13.76,"20260226_132627",20000,172021443
