"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Leeds",2016,1,992062,3388.2,1.61,0,28.81,1.16,16.12,9.49,3.42,0.04,3.16,61.59,0.45,25.02,12.93,3450957.609,49300,1.43,53.99,0.57,27.55,17.9,29312,8490,537,10961,4,"20260303_123133",19993,10743689
"Leeds",2016,2,992062,3387.63,1.61,0,28.64,1.17,16.29,9.55,3.54,0.04,3.16,61.2,1.13,24.84,12.81,3450957.609,49300,1.43,53.99,0.57,27.55,17.9,29312,8490,537,10961,4,"20260303_123133",19993,10874776
"Leeds",2019,1,992062,3390.85,1.6,0.08,27.4,1.29,19.49,13.4,2.89,0.22,2.98,65.2,4.94,15.51,14.34,3626526.108,65504,1.81,55.64,5.5,20.83,18.02,45546,6215,1562,12181,4,"20260303_123133",19998,12450956
"Leeds",2019,2,992062,3373.18,1.6,-0.43,25.09,1.18,17.94,12.15,2.78,0.23,2.78,58.14,14.55,14.7,12.6,3626526.108,65504,1.81,55.64,5.5,20.83,18.02,45546,6215,1562,12181,4,"20260303_123133",19999,15590804
"Leeds",2021,1,992062,3393.99,1.61,0.17,25.84,1.52,23.4,20,2.15,0.43,0.82,69.34,5.2,13.65,11.81,4033349.201,89858,2.23,59.54,6.91,17.39,16.15,72455,7205,2624,7575,4,"20260303_123133",19999,13733427
"Leeds",2021,2,992062,3341.11,1.59,-1.37,23.52,1.28,21.02,17.67,2.09,0.37,0.89,61.11,15.61,12.77,10.5,4033349.201,89858,2.23,59.54,6.91,17.39,16.15,72455,7205,2624,7575,4,"20260303_123133",19999,17784650
"Leeds",2024,1,992062,3308.11,1.57,-2.36,23.94,1.66,31.31,24.6,2.85,2.94,0.93,70.44,6.31,11.24,12,4218443.36,126547,3,61.4,8.26,15.43,14.91,98070,9820,9521,9136,4,"20260303_123133",19999,17942811
"Leeds",2024,2,992062,3252.23,1.55,-4,21.79,1.59,27.33,21.46,2.37,2.67,0.83,62.71,16.77,10.15,10.36,4218443.36,126547,3,61.4,8.26,15.43,14.91,98070,9820,9521,9136,4,"20260303_123133",20000,22875559
"Leeds",2026,1,992062,3296.69,1.57,-2.7,23.6,1.6,32.42,26,2.7,2.5,1.21,72.21,6.2,10.68,10.89,4266733.863,131925,3.09,62.48,7.81,15.19,14.51,103775,9628,9263,9258,4,"20260303_123133",20000,18721429
"Leeds",2026,2,992062,3238.87,1.54,-4.39,21.67,1.57,28.35,22.74,2.08,2.34,1.18,65.01,15.92,9.63,9.43,4266733.863,131925,3.09,62.48,7.81,15.19,14.51,103775,9628,9263,9258,4,"20260303_123133",20000,23533649
