"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",2487,2237,2237,2265,2255,-0.0932850824286289
"2","2",2117,2075,1716,1716,1716,-0.189418989135569
"3","3",2067,2173,2257,2342,2428,0.174649250120948
"4","4",3578,2838,2945,2512,2705,-0.243991056456121
"5","5",2426,2534,2455,2323,2323,-0.0424567188788129
"6","6",2770,2769,2805,2807,2760,-0.0036101083032491
"7","7",2208,2481,2530,2553,2614,0.183876811594203
"8969","8969",2208,2481,2530,2553,2614,0.183876811594203
"13133","13133",2208,2481,2530,2553,2614,0.183876811594203
"16775","16775",2208,2481,2530,2553,2614,0.183876811594203
"17284","17284",2208,2481,2530,2553,2614,0.183876811594203
"8","8",2145,2186,2201,2249,2225,0.0372960372960373
"9","9",3719,4190,4306,4367,4366,0.173971497714439
"10","10",2197,2194,2164,2537,2516,0.145197997269003
"12085","12085",2197,2194,2164,2537,2516,0.145197997269003
"11","11",2795,2720,3034,2853,2612,-0.065474060822898
"12","12",3681,3679,3509,3525,3489,-0.052159739201304
"13","13",2087,2035,2133,1934,1982,-0.0503114518447532
"6823","6823",2087,2035,2133,1934,1982,-0.0503114518447532
"14","14",2575,2581,2463,2494,2495,-0.0310679611650485
"15","15",1155,1093,1175,1121,1102,-0.0458874458874459
"2281","2281",1155,1093,1175,1121,1102,-0.0458874458874459
"16","16",2787,2739,3270,2518,2517,-0.0968783638320775
"17","17",2460,2036,2653,2643,2643,0.074390243902439
"11941","11941",2460,2036,2653,2643,2643,0.074390243902439
"18","18",3581,3591,4160,4160,4167,0.163641440938285
"19","19",1274,1292,1414,1414,1414,0.10989010989011
"20","20",1295,1272,1273,1312,1313,0.0138996138996139
"21","21",1225,1490,1352,1669,1456,0.188571428571429
"22","22",1747,1753,1753,1761,1761,0.00801373783629078
"23","23",3488,3484,2290,2262,2262,-0.351490825688073
"24","24",1074,1481,1481,1579,1442,0.342644320297952
"4381","4381",1074,1481,1481,1579,1442,0.342644320297952
"15238","15238",1074,1481,1481,1579,1442,0.342644320297952
"25","25",5024,4647,2590,3337,4001,-0.203622611464968
"26","26",4284,4388,5368,5398,5398,0.260037348272642
"27","27",1124,1129,1129,925,926,-0.176156583629893
"28","28",2683,2628,2749,2972,2711,0.0104360790160268
"29","29",2838,2781,2803,2869,2782,-0.0197322057787174
"30","30",3067,3060,3045,3059,3056,-0.00358656667753505
"31","31",2470,2013,2013,3117,3117,0.261943319838057
"32","32",7637,7691,7691,6943,6689,-0.124132512766793
"33","33",1900,2280,2298,2289,2337,0.23
"34","34",1217,1214,1319,1274,1340,0.101068200493016
"35","35",1551,1958,1958,1958,2117,0.364925854287556
"36","36",1264,733,2158,1625,1364,0.0791139240506329
"37","37",3457,3405,3406,3403,3403,-0.0156204801851316
"38","38",2652,2658,2659,2662,2662,0.00377073906485671
"39","39",2384,2850,3016,2860,2842,0.192114093959732
"40","40",4725,4709,4707,4709,4707,-0.00380952380952381
"41","41",4222,4258,4187,3476,3494,-0.172430127901468
"42","42",3915,3888,3720,3478,3479,-0.111366538952746
"43","43",822,838,838,871,816,-0.0072992700729927
"44","44",5194,4010,4035,4034,4032,-0.223719676549865
"45","45",4539,4461,5113,4069,4047,-0.108393919365499
"46","46",3388,3388,3266,3064,3064,-0.0956316410861865
"47","47",2120,2215,1912,1848,1853,-0.125943396226415
"48","48",2970,3113,3101,3073,3071,0.034006734006734
"49","49",1341,1368,1368,1368,1368,0.0201342281879195
"50","50",2926,2990,2869,2991,3116,0.0649350649350649
"51","51",5510,5415,5421,5420,6239,0.132304900181488
"52","52",3331,3420,3195,3205,3189,-0.042629840888622
"18949","18949",3331,3420,3195,3205,3189,-0.042629840888622
"53","53",2363,2268,2337,2376,2465,0.0431654676258993
"54","54",4724,4724,4761,4763,4763,0.00825571549534293
"55","55",3675,3629,3652,3838,3509,-0.0451700680272109
"56","56",4986,4468,4794,5205,4959,-0.00541516245487365
"57","57",1783,1783,1509,1509,1507,-0.154795288839035
"58","58",2080,1997,2331,2337,2337,0.123557692307692
"59","59",1656,2325,2304,2304,2360,0.42512077294686
"60","60",2074,2075,2114,2119,2121,0.0226615236258438
"12303","12303",2074,2075,2114,2119,2121,0.0226615236258438
"13908","13908",2074,2075,2114,2119,2121,0.0226615236258438
"61","61",1173,1240,1606,2087,1307,0.114236999147485
"62","62",1183,1073,1054,1082,1154,-0.0245139475908707
"6172","6172",1183,1073,1054,1082,1154,-0.0245139475908707
"63","63",1634,1515,1515,1545,1542,-0.0563035495716034
"64","64",4663,4664,3124,3124,3123,-0.330259489598971
"65","65",1764,1760,1549,1513,1513,-0.142290249433107
"66","66",2910,3120,1596,1596,1596,-0.451546391752577
"67","67",3865,3966,3962,3944,3735,-0.0336351875808538
"68","68",4075,3830,3838,3803,3589,-0.119263803680982
"69","69",2540,2596,2596,2587,2431,-0.0429133858267717
"7273","7273",2540,2596,2596,2587,2431,-0.0429133858267717
"10038","10038",2540,2596,2596,2587,2431,-0.0429133858267717
"70","70",1655,1536,1580,1540,1540,-0.0694864048338369
"71","71",3293,3300,3330,3562,3556,0.0798663832371698
"72","72",1192,1192,1192,1193,1586,0.330536912751678
"73","73",4471,4593,5681,4543,4504,0.00738089912771192
"74","74",4390,4081,4279,3374,4394,0.000911161731207289
"75","75",5123,5232,5241,4935,4525,-0.116728479406598
"76","76",2868,2866,2923,2762,2762,-0.0369595536959554
"77","77",1674,1684,1708,1509,1509,-0.0985663082437276
"78","78",3458,3491,3970,3846,3784,0.0942741469057259
"79","79",1572,1572,2242,2452,2452,0.559796437659033
"80","80",5915,5798,5788,6039,5940,0.00422654268808115
"81","81",3422,3428,3293,3181,3178,-0.0713033313851549
"82","82",4130,3812,3910,3904,3895,-0.0569007263922518
"83","83",3089,3065,4110,3199,3181,0.0297831013272904
"84","84",4135,4140,4088,3795,3795,-0.0822249093107618
"85","85",2705,2186,2763,2421,2405,-0.11090573012939
"18323","18323",2705,2186,2763,2421,2405,-0.11090573012939
"86","86",7038,7040,6615,6630,6623,-0.0589656152315999
"87","87",2548,2506,2462,2511,2511,-0.0145211930926217
"88","88",1826,1799,1607,1752,1631,-0.106790799561884
"9195","9195",1826,1799,1607,1752,1631,-0.106790799561884
"89","89",4146,4076,4213,3383,3360,-0.189580318379161
"11923","11923",4146,4076,4213,3383,3360,-0.189580318379161
"14341","14341",4146,4076,4213,3383,3360,-0.189580318379161
"90","90",1861,1894,1864,2025,1841,-0.0107469102632993
"91","91",1607,1550,1922,1945,1945,0.210329807093964
"92","92",4768,4760,5059,4860,4859,0.0190855704697987
"19357","19357",4768,4760,5059,4860,4859,0.0190855704697987
"93","93",2902,2985,2986,2874,2872,-0.0103376981392143
"94","94",958,910,934,1416,939,-0.0198329853862213
"95","95",3080,3206,3091,3085,3100,0.00649350649350649
"96","96",3267,3328,3109,3107,3110,-0.0480563207835935
"97","97",4394,4375,4450,4463,4602,0.0473372781065089
"6661","6661",4394,4375,4450,4463,4602,0.0473372781065089
"98","98",2714,2714,2714,2686,2254,-0.169491525423729
"99","99",3748,3613,3542,3596,3643,-0.0280149413020277
"100","100",6737,5898,5808,5809,5838,-0.13344218494879
"101","101",8613,8564,9053,7029,7401,-0.140717520027865
"102","102",1604,1603,1615,1615,1447,-0.0978802992518703
"103","103",7876,6865,7586,6430,6349,-0.193880142204165
"104","104",6268,6438,6375,6001,5961,-0.0489789406509253
"105","105",3207,3094,3621,3634,3207,0
"106","106",2216,2283,2216,2279,2166,-0.0225631768953069
"107","107",2520,2472,2719,2539,2482,-0.0150793650793651
"17099","17099",2520,2472,2719,2539,2482,-0.0150793650793651
"108","108",4318,4229,4077,4078,4077,-0.055812876331635
"109","109",2288,1985,2108,1779,1779,-0.222465034965035
"110","110",2088,2175,2189,2599,1928,-0.0766283524904215
"111","111",1356,632,545,543,492,-0.63716814159292
"112","112",1616,1616,1591,1591,1591,-0.015470297029703
"113","113",7827,8404,8364,7686,7577,-0.0319407180273413
"114","114",1266,1442,1437,1955,1947,0.537914691943128
"115","115",1036,978,1067,1067,1067,0.0299227799227799
"116","116",3038,3039,2347,2480,2480,-0.183673469387755
"117","117",2260,1796,2281,2284,2254,-0.00265486725663717
"6225","6225",2260,1796,2281,2284,2254,-0.00265486725663717
"118","118",1469,1515,1475,1378,1625,0.106194690265487
"8355","8355",1469,1515,1475,1378,1625,0.106194690265487
"119","119",6020,5968,5252,5262,5326,-0.115282392026578
"120","120",4673,4364,4330,4318,4318,-0.0759683286967687
"121","121",2155,2156,2157,2180,2180,0.0116009280742459
"122","122",1531,1532,1561,1547,1547,0.0104506858262573
"10777","10777",1531,1532,1561,1547,1547,0.0104506858262573
"123","123",1580,1634,1647,1789,1748,0.106329113924051
"9232","9232",1580,1634,1647,1789,1748,0.106329113924051
"124","124",1517,1515,1505,1506,1506,-0.00725115359261701
"125","125",2991,1905,2027,1966,1863,-0.377131394182548
"126","126",2637,2843,2701,2701,1652,-0.373530527114145
"127","127",2561,2720,3484,2929,3188,0.244826239750098
"128","128",5356,3757,3744,3252,3252,-0.392830470500373
"129","129",2829,2767,2567,2579,2575,-0.0897843761046306
