"city","year","lts","found_routes","access_15min_vol"
"leeds",16,3,20000,110451550
"leeds",16,4,20000,171912299
"leeds",21,3,19998,106008168
"leeds",21,4,19998,176636735
"leeds",26,3,20000,121163586
"leeds",26,4,20000,172021443
"leeds",16,1,19993,10743689
"leeds",16,2,19993,10874776
"leeds",19,1,19998,12450956
"leeds",19,2,19999,15590804
"leeds",21,1,19999,13733427
"leeds",21,2,19999,17784650
"leeds",24,1,19999,17942811
"leeds",24,2,20000,22875559
"leeds",26,1,20000,18721429
"leeds",26,2,20000,23533649
"leeds",18,1,19996,11375390
"leeds",20,1,19967,12799325
"leeds",22,1,19999,16240903
