"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",12.9,12.9,55.2,48.2,14.6,14.6,15.1,15.1,55.5,49.2,16.7,16.7,13.6,13.6,48.6,46.7,1534,1534,9882,9029,1643,1643,1647,1647,10078,9436,1299,1299,1123,1123,8900,8812
"10","10",21.4,21.4,58.9,48.5,22.2,22.2,21.4,21.4,62.6,50.9,20.2,18.4,19.9,18.1,58.8,52.2,3644,3644,9741,9427,3162,3162,3590,3590,10736,9595,3026,2992,3056,3022,10274,9768
"100","100",59.2,59.2,19.6,13,51.4,51.4,51.8,51.8,18.4,13,54.2,53.9,52.5,52.2,16.2,13.1,8652,8652,2640,2603,8057,8057,8022,8022,2586,2586,8800,8817,8474,8474,2589,2583
"1000","1000",29,29,61.1,46.8,29.1,29.1,31,31,57.3,46.3,30.7,29.8,27.2,27,53.6,46.7,3752,3752,9382,9199,3667,3667,3679,3679,10327,9017,4063,4063,4224,4251,9749,8856
"10000","10000",52.2,51.5,28.8,25.1,39.8,38.1,40.7,37.3,25.2,24.8,35.2,31.9,34.2,33.5,25.4,24.7,6398,6399,5608,5019,5524,5547,6329,6076,4985,4926,5283,5421,5729,5572,4889,4849
"10001","10001",24.6,22.7,78.3,51.7,13.8,10.8,13.9,10.8,63.5,51.5,11.3,10.8,11.4,11,61.4,52.2,2918,2918,11292,10163,1961,1961,1963,1963,11109,10082,1879,1900,1879,1900,11361,10406
"10002","10002",20,20,NA,NA,14.8,14.8,14,14,NA,NA,11.3,11.3,11.3,11.3,NA,NA,2958,2958,NA,NA,2514,2514,2295,2295,NA,NA,2268,2268,2268,2268,NA,NA
"10003","10003",19.7,19.7,52,29.3,16.5,14.7,16.5,14.7,47.3,29.9,18.1,16.1,16,15,43.5,30.4,2595,2595,6643,5717,2768,2566,2766,2592,6930,5777,2756,2756,2519,2693,6540,5813
"10004","10004",15.3,14.5,NA,NA,15.2,14.3,15.2,14.9,NA,NA,14.7,12.9,14.7,12.9,NA,NA,2224,2318,NA,NA,2291,2323,2246,2315,NA,NA,2331,2320,2241,2094,NA,NA
"10005","10005",38.6,38.6,NA,NA,31,31,31.5,31.5,NA,NA,28.5,28.5,28.3,27.7,NA,NA,3423,3423,NA,NA,4724,4724,4320,4320,NA,NA,3636,3636,3602,3552,NA,NA
"10006","10006",67.5,65.7,47.3,42.8,64,62.3,63,62.5,48.4,43.8,60.5,57.1,61.7,57.6,50.8,48.8,8743,9648,8592,8298,9486,9582,9259,9259,8775,8446,8458,8456,8755,8593,9012,8840
"10007","10007",17.5,17.5,13,7.5,17,17,15.6,15.6,13.2,7.7,14,14,14.3,14.3,13,8.5,1669,1669,1953,1408,1651,1651,2064,2064,1737,1427,1567,1567,1527,1527,2253,1539
"10008","10008",9.5,7.5,55.6,40.2,10,8,10.1,8.1,53.3,42.6,10.1,8.1,10.1,8.1,50,42,1501,1501,9153,7880,1632,1632,1632,1632,9124,8104,1632,1632,1632,1632,9150,8039
"10009","10009",54.5,50.3,64.4,48.5,55.5,52.6,44.5,44,63,48.1,40.5,40.5,47.1,40.2,63.9,51.1,7574,7548,10718,9437,7737,7783,7459,7459,10742,9380,7039,7039,7213,7213,11086,9725
"1001","1001",24.7,24.7,60.3,49.5,21.6,21.6,21.8,21.8,60.1,49.5,20.8,20.8,18.7,18.7,55.9,51.8,2453,2453,10173,9563,3081,3081,3164,3164,9839,9489,2831,2831,2606,2606,10018,9682
"10010","10010",24.3,24.3,43.7,38.6,25,19.3,23.7,18.7,44.8,40,24.8,21,25,21.2,43.4,40.6,3443,3443,7559,7490,3377,2896,3440,3032,7735,7785,3335,3255,3378,3288,7761,7796
"10011","10011",11.8,11.8,11.1,9.2,14,14,14,14,8.9,4.4,13.2,13.2,15,15,8,4.3,1718,1718,1321,1400,1656,1656,1656,1656,879,879,2001,2001,2089,2089,972,936
"10012","10012",15.8,15.8,39.3,23,16.8,16.8,20.9,18.8,36.4,23.3,20.8,17.9,16.6,16.6,35.1,23.1,2103,2103,4509,4531,2116,2116,2611,2445,5020,4595,2283,2300,1948,1948,4677,4528
"10013","10013",73.6,73.6,76.2,43.2,69.2,69.1,64.2,64,65.7,46.2,66.8,62.1,66.2,63.4,56.9,44,10131,10131,11366,8488,10063,10121,10231,10331,10380,9060,9972,10063,10312,10239,9361,8591
"10014","10014",26.8,26.8,52.2,33.2,22.6,21.4,21.8,21.8,46.1,32.6,18.7,18.6,18.8,18.7,41,35.6,3469,3469,8086,6636,3725,3687,4068,4068,7573,6299,3674,3674,3675,3675,6833,6911
"10015","10015",13.9,12.8,NA,NA,19.2,18.2,32.9,32.9,NA,NA,35.5,35.5,22.1,21.2,NA,NA,2306,2043,NA,NA,2720,2044,4383,4383,NA,NA,5054,5054,2885,2887,NA,NA
"10016","10016",42.7,42.2,NA,NA,26.9,26.9,31.8,29.1,NA,NA,25.2,23.2,25.2,24.3,NA,NA,3644,4628,NA,NA,3747,3747,3770,3636,NA,NA,4036,4036,3733,3733,NA,NA
"10017","10017",20,20,25.8,21.4,19.9,19.9,20.2,20.2,24,21.4,20.2,20.2,19,19,23.9,21,3069,3069,5132,4573,2274,2274,2308,2308,4239,4114,2308,2308,2892,2892,4035,3885
"10018","10018",47.6,47.6,44.7,21.9,51,49.1,33.1,32.5,40.6,21.9,29.8,28.7,36.3,28.9,32.1,23,5808,5808,5488,4212,5922,5804,5209,4760,6053,4226,4905,4989,4917,5004,5150,4407
"10019","10019",27.3,27.3,61.5,38.1,26.8,26.8,25.1,24.4,61.9,43.2,24.9,22.9,23.4,20.1,55.4,42.7,3107,3107,9413,7563,1983,1983,2503,2891,9419,8309,3068,2638,2641,2690,9101,8052
"1002","1002",46.9,46.1,32.5,22.3,43,43,41.1,41.1,31.6,21.5,34.6,33.7,35,33.8,28.6,21.6,5598,5466,5070,4355,5255,5255,5711,5711,5389,4118,5260,4554,5345,4665,4855,4115
"10020","10020",25.4,25.4,18.2,13.7,21.5,21.5,19.2,19.2,17.4,13.8,18.8,18.8,18.6,18.6,15.5,11.9,3774,3774,2783,2526,3468,3468,3314,3314,2798,2530,3294,3294,3284,3284,2395,2097
"10021","10021",36.6,36.6,27.1,23.5,31.5,30.7,29.8,29.4,25.6,22,27.4,27.3,27.3,27.2,25.3,22.6,5370,5370,5051,4706,5273,4660,4627,4215,4305,4291,4249,4245,4273,4269,4348,4258
"10022","10022",29.9,29.9,46.5,34.9,32.3,29.5,33.6,30.7,47.1,35.9,37,30.9,36.1,30.7,44.7,36.3,4052,4052,7478,6603,4038,4224,3912,4098,7734,6934,3859,4230,4805,3957,7442,6949
"10023","10023",28.5,27.3,43.1,38.9,29.7,27.7,29.3,27.4,47.3,39.3,28.6,23.3,33,28.5,46.8,40.5,4026,3980,8220,7504,4323,4084,4239,4145,8754,7490,4164,3949,4431,4190,8656,7485
"10024","10024",31.2,31.2,86.8,51.3,30.9,30.1,31.1,28.4,74.2,53.5,30,27.2,30.1,27.2,74.5,56.1,3734,3734,13396,10170,3750,3331,4468,3327,12262,10353,5029,4244,5032,4238,12180,10774
"10025","10025",9.5,8.1,68,44,13.2,11.4,11.6,9.7,53.6,43.6,11.5,9.5,10.5,9.1,52.2,43.8,1288,1288,9750,8576,1291,1280,1392,1372,9348,8507,1386,1370,1304,1304,9369,8385
"10026","10026",68.8,68.8,80.8,73.7,52.3,50.4,50.8,48.9,82.8,73.7,48.7,44,48.3,43.5,81.9,73.6,6937,6937,14556,14391,7276,7011,7335,7069,14661,14363,7403,7448,7424,7326,14680,14248
"10027","10027",68.3,68.3,11.6,10.5,74.4,74.4,83.9,83.9,12.4,10.8,87.7,86.5,60.8,60.4,12,10.8,9901,9901,2542,2412,9365,9365,11851,11852,2643,2464,12215,12807,9076,9118,2144,2095
