"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Lisbon","2016",1,NA,8142.77,1.59,0,21.56,80.88,0.8,5.87,12.42,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,"20260225_085653",16159,110681778
"Lisbon","2016",2,NA,8197.55,1.59,0,20.81,79.59,2.68,5.54,12.16,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,"20260225_085653",16241,113731685
"Lisbon","2016",3,NA,8028.81,1.54,0,18.16,59.04,2.27,29.57,9.09,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,"20260225_085653",16535,175336650
"Lisbon","2016",4,NA,7044.91,1.36,0,5.01,27.12,1.39,17.97,53.5,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,"20260225_085653",16549,346346700
"Lisbon","2021",1,NA,8103.66,1.55,-0.48,24.51,87.09,1.39,3.84,7.65,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,"20260225_085653",16406,127810563
"Lisbon","2021",2,NA,8083.01,1.55,-1.4,24.37,83.74,5.17,3.73,7.33,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,"20260225_085653",16455,137714736
"Lisbon","2021",3,NA,7818.03,1.49,-2.63,19.99,66.05,6.07,21.6,6.25,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,"20260225_085653",16515,185892817
"Lisbon","2021",4,NA,6993.97,1.34,-0.72,6.38,32.5,2.95,14.04,50.47,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,"20260225_085653",16515,341675226
"Lisbon","2026",1,NA,7879.33,1.5,-3.24,34.89,90.73,1.54,3.28,4.45,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,"20260225_085653",16459,145505598
"Lisbon","2026",2,NA,7832.33,1.49,-4.46,34.04,85.7,7.12,3.1,4.07,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,"20260225_085653",16493,167244485
"Lisbon","2026",3,NA,7574.62,1.44,-5.66,27.89,67.11,9.25,20.07,3.56,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,"20260225_085653",16502,214362251
"Lisbon","2026",4,NA,6999.79,1.34,-0.64,11.2,35.41,6.1,15.21,43.27,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,"20260225_085653",16508,341136563
