"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes"
"Lisbon","2016",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188800.780228704,0,0,0,0,0,166281.26311962,4106.38425408627,0,18413.1328549983,"20260225_144454",16159
"Lisbon","2016",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188800.780228704,0,0,0,0,0,166281.26311962,4106.38425408627,0,18413.1328549983,"20260225_144454",16241
"Lisbon","2016",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188800.780228704,0,0,0,0,0,166281.26311962,4106.38425408627,0,18413.1328549983,"20260225_144454",16535
"Lisbon","2016",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188800.780228704,0,0,0,0,0,166281.26311962,4106.38425408627,0,18413.1328549983,"20260225_144454",16549
"Lisbon","2021",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138310.157728497,0,0,0,0,0,101074.687969141,2423.29993601669,16240.5458601324,18571.623963207,"20260225_144454",16406
"Lisbon","2021",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138310.157728497,0,0,0,0,0,101074.687969141,2423.29993601669,16240.5458601324,18571.623963207,"20260225_144454",16455
"Lisbon","2021",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138310.157728497,0,0,0,0,0,101074.687969141,2423.29993601669,16240.5458601324,18571.623963207,"20260225_144454",16515
"Lisbon","2021",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138310.157728497,0,0,0,0,0,101074.687969141,2423.29993601669,16240.5458601324,18571.623963207,"20260225_144454",16515
"Lisbon","2026",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,216257.088261936,0,0,0,0,0,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,"20260225_144454",16459
"Lisbon","2026",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,216257.088261936,0,0,0,0,0,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,"20260225_144454",16493
"Lisbon","2026",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,216257.088261936,0,0,0,0,0,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,"20260225_144454",16502
"Lisbon","2026",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,216257.088261936,0,0,0,0,0,145207.894246049,10603.0467747109,44520.0876981955,15926.0595429809,"20260225_144454",16508
