"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Lisbon",2016,1,1664901,4025.09,1.78,0,29.72,0.72,20.33,18.89,0.31,0,1.13,71.53,1.08,9.82,17.53,4812567.635,188801,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,8.3,"20260303_070720",19224,18044216
"Lisbon",2016,2,1664901,4023.61,1.78,0,29.14,0.73,19.93,18.53,0.28,0,1.11,70.37,2.95,9.57,17.08,4812567.635,188801,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,8.3,"20260303_070720",19226,18603950
"Lisbon",2016,3,1664901,3887.95,1.73,0,24.82,0.62,15.6,14.43,0.25,0,0.93,56.53,2.84,26.17,14.44,4812567.635,188801,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,8.3,"20260303_070720",19227,26674507
"Lisbon",2016,4,1664901,3503.95,1.58,0,18.17,0.25,5.81,4.97,0.22,0,0.63,33.98,2.15,19.56,44.27,4812567.635,188801,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,8.3,"20260303_070720",19227,50247005
"Lisbon",2019,1,1664901,3934.21,1.74,-2.26,27.76,1.23,22.43,17.76,0.08,2.06,2.53,76.13,2.14,6.79,14.91,5038718.527,121601,2.41,61.54,2.34,11.77,24.36,79688,337,14772,26802,8.3,"20260303_070720",19143,21607879
"Lisbon",2019,2,1664901,3912.93,1.73,-2.75,26.89,1.18,21.53,17.01,0.08,2.05,2.39,73.27,5.81,6.55,14.35,5038718.527,121601,2.41,61.54,2.34,11.77,24.36,79688,337,14772,26802,8.3,"20260303_070720",19143,23032433
"Lisbon",2019,3,1664901,3812.24,1.69,-1.95,23.45,0.94,17.88,14.45,0.08,1.63,1.71,61.51,5.81,20.22,12.44,5038718.527,121601,2.41,61.54,2.34,11.77,24.36,79688,337,14772,26802,8.3,"20260303_070720",19146,29817987
"Lisbon",2019,4,1664901,3459.16,1.56,-1.28,18,0.33,5.39,3.71,0.07,0.74,0.86,36.73,4.17,16.1,42.98,5038718.527,121601,2.41,61.54,2.34,11.77,24.36,79688,337,14772,26802,8.3,"20260303_070720",19146,52120739
"Lisbon",2021,1,1664901,3900.31,1.73,-3.1,26.72,1.46,25.39,20.84,0.38,2.1,2.07,78.8,1.87,6.27,13.04,5245127.772,138310,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,8.3,"20260303_070720",19144,23532645
"Lisbon",2021,2,1664901,3871.95,1.72,-3.77,25.95,1.43,24.7,20.14,0.41,2.14,2.02,75.67,5.49,6.07,12.74,5245127.772,138310,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,8.3,"20260303_070720",19144,25052700
"Lisbon",2021,3,1664901,3764.99,1.68,-3.16,22.72,1.23,20.66,16.92,0.39,1.86,1.49,63.41,5.85,19.84,10.86,5245127.772,138310,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,8.3,"20260303_070720",19146,31765203
"Lisbon",2021,4,1664901,3452.2,1.55,-1.48,18.03,0.41,6.3,4.93,0.15,0.73,0.49,38.46,4.11,16.01,41.4,5245127.772,138310,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,8.3,"20260303_070720",19146,52011140
"Lisbon",2024,1,1664901,3801.43,1.69,-5.56,25.18,1.7,31.55,25.54,1.49,3.33,1.19,82.38,2.56,5.29,9.73,5519785.353,189300,3.43,64.9,3.19,11.3,20.61,134927,9828,28567,15978,8.3,"20260303_070720",19093,26831398
"Lisbon",2024,2,1664901,3773.8,1.68,-6.21,24.35,1.67,30.19,24.29,1.44,3.32,1.14,78.6,6.98,5.13,9.26,5519785.353,189300,3.43,64.9,3.19,11.3,20.61,134927,9828,28567,15978,8.3,"20260303_070720",19142,28936065
"Lisbon",2024,3,1664901,3664.22,1.63,-5.75,21.58,1.53,25.35,20.3,1.32,2.82,0.91,65.57,7.83,18.36,8.2,5519785.353,189300,3.43,64.9,3.19,11.3,20.61,134927,9828,28567,15978,8.3,"20260303_070720",19142,35342736
"Lisbon",2024,4,1664901,3410.17,1.53,-2.68,18.04,0.75,9.39,6.55,0.88,1.37,0.59,40.2,6.12,15.92,37.72,5519785.353,189300,3.43,64.9,3.19,11.3,20.61,134927,9828,28567,15978,8.3,"20260303_070720",19164,52019143
"Lisbon",2026,1,1664901,3793.31,1.68,-5.76,24.98,1.92,33.27,26.84,1.38,4.06,0.99,84.02,2.83,4.6,8.52,5535364.061,216257,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,8.3,"20260303_070720",19115,27448155
"Lisbon",2026,2,1664901,3753.56,1.67,-6.71,24.03,1.87,31.53,25.26,1.48,3.93,0.86,79.63,7.52,4.55,8.28,5535364.061,216257,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,8.3,"20260303_070720",19163,29654502
"Lisbon",2026,3,1664901,3641.73,1.62,-6.33,21.42,1.69,25.9,20.83,1.18,3.28,0.62,66.23,8.91,17.66,7.18,5535364.061,216257,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,8.3,"20260303_070720",19164,36271794
"Lisbon",2026,4,1664901,3405.24,1.52,-2.82,18.12,0.92,10.59,7.33,1.09,1.82,0.35,41.06,7.28,15.37,36.27,5535364.061,216257,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,8.3,"20260303_070720",19164,51471775
