"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Ljubljana",2016,1,284961,3764.5,1.69,0,27.53,1.46,34.38,25.27,5.94,0.09,3.07,49.43,4.29,11.13,35.08,3291181.829,116485,3.54,41.18,3.34,12.89,42.6,75752,17322,260,23151,3.85,"20260303_123524",19972,15531517
"Ljubljana",2016,2,284961,3748.21,1.68,0,26.55,1.43,32.7,24.22,5.5,0.09,2.89,48.23,7.33,10.78,33.59,3291181.829,116485,3.54,41.18,3.34,12.89,42.6,75752,17322,260,23151,3.85,"20260303_123524",19979,16604733
"Ljubljana",2019,1,284961,3743.15,1.68,-0.57,26.61,1.88,35.08,24.21,7.35,0.21,3.31,53.76,4.51,11.09,30.58,3968586.95,148817,3.75,43.61,3.1,10.97,42.32,96859,26174,476,25307,3.85,"20260303_123524",19968,17212703
"Ljubljana",2019,2,284961,3726.35,1.67,-0.58,25.78,1.86,33.59,23.05,7.2,0.2,3.13,52.49,7.28,10.78,29.4,3968586.95,148817,3.75,43.61,3.1,10.97,42.32,96859,26174,476,25307,3.85,"20260303_123524",19974,18219993
"Ljubljana",2021,1,284961,3662.92,1.63,-2.7,23.82,1.4,46.75,36.46,8.3,0.52,1.47,74.85,4.71,6.99,13.39,4521767.345,229279,5.07,48.03,3.35,8.35,40.26,175628,35733,1717,16201,3.85,"20260303_123524",19962,20160614
"Ljubljana",2021,2,284961,3639.81,1.62,-2.89,22.94,1.41,44.75,34.46,8.35,0.5,1.44,71.88,8.35,6.71,13,4521767.345,229279,5.07,48.03,3.35,8.35,40.26,175628,35733,1717,16201,3.85,"20260303_123524",19968,21432932
"Ljubljana",2024,1,284961,3622.08,1.61,-3.78,24.3,1.88,52.87,6.23,10.91,0.78,34.96,72.18,8.3,7.31,12.21,5238772.817,271241,5.18,47.35,5.25,8.16,39.24,35150,52386,3531,180174,3.85,"20260303_123524",19982,18988589
"Ljubljana",2024,2,284961,3600.6,1.6,-3.94,22.74,1.87,49.96,5.86,10.99,0.74,32.36,67.9,13.96,6.76,11.38,5238772.817,271241,5.18,47.35,5.25,8.16,39.24,35150,52386,3531,180174,3.85,"20260303_123524",19991,20887153
"Ljubljana",2026,1,284961,3601.17,1.6,-4.34,23.88,1.89,53.38,7.56,10.88,0.95,33.99,72.03,8.56,7,12.41,5453761.809,280806,5.15,47.52,5.28,7.46,39.73,43969,54084,5729,177023,3.85,"20260303_123524",19996,18861874
"Ljubljana",2026,2,284961,3561.46,1.59,-4.98,22.45,1.93,50.93,7,11.26,0.94,31.73,67.95,13.64,6.78,11.64,5453761.809,280806,5.15,47.52,5.28,7.46,39.73,43969,54084,5729,177023,3.85,"20260303_123524",19999,20629372
