"from_id","to_id","dist_2018","dist_2020","dist_2022","change_pct"
"1","1",6341,6532,6487,0.0230247595016559
"2","2",2368,2096,2520,0.0641891891891892
"3","3",1699,1664,1370,-0.193643319599765
"4","4",4560,4387,4541,-0.00416666666666667
"5","5",2727,2727,2371,-0.130546387972131
"6","6",2046,2041,1541,-0.246823069403715
"7","7",3976,3976,3904,-0.0181086519114688
"8","8",1522,1638,1638,0.076215505913272
"9","9",4580,4591,4308,-0.0593886462882096
"10","10",1788,1785,1499,-0.161633109619687
"13217","13217",1788,1785,1499,-0.161633109619687
"11","11",2290,2091,2080,-0.091703056768559
"8513","8513",2290,2091,2080,-0.091703056768559
"12","12",5967,6512,6660,0.116138763197587
"13","13",7988,8786,8404,0.0520781171757636
"14","14",2693,2658,2800,0.0397326401782399
"15","15",4456,4489,3678,-0.1745960502693
"16","16",1514,1516,1309,-0.135402906208719
"17","17",1281,1284,1182,-0.0772833723653396
"6561","6561",1281,1284,1182,-0.0772833723653396
"18","18",9214,9188,7044,-0.235511178641198
"19","19",5378,5038,5225,-0.0284492376348085
"20","20",3537,3546,3179,-0.10121571953633
"21","21",6113,6112,4911,-0.196630132504499
"22","22",1841,1706,1608,-0.12656165127648
"11879","11879",1841,1706,1608,-0.12656165127648
"23","23",4125,4550,4588,0.112242424242424
"24","24",3641,3678,3491,-0.0411974732216424
"25","25",4544,4222,4212,-0.0730633802816901
"26","26",1283,1280,1200,-0.0646921278254092
"27","27",8100,8404,7205,-0.110493827160494
"28","28",2773,3009,2902,0.0465200144248107
"29","29",4270,4839,3970,-0.0702576112412178
"30","30",5082,5093,4691,-0.0769382133018497
"31","31",2659,2658,2565,-0.0353516359533659
"32","32",1904,1904,1905,0.000525210084033613
"33","33",5727,6336,4976,-0.13113322856644
"34","34",2788,2787,2962,0.0624103299856528
"35","35",2580,2660,2707,0.0492248062015504
"36","36",4564,4562,4378,-0.0407537248028046
"37","37",2418,2824,2694,0.114143920595533
"38","38",2291,2293,2263,-0.0122217372326495
"18477","18477",2291,2293,2263,-0.0122217372326495
"39","39",3239,3240,3548,0.0953998147576412
"40","40",1189,1189,1209,0.0168208578637511
"41","41",5570,5761,6104,0.0958707360861759
"42","42",4503,4223,4227,-0.061292471685543
"43","43",7544,7533,9713,0.287513255567338
"44","44",4297,3931,3810,-0.113334884803351
"45","45",3298,3282,3281,-0.00515463917525773
"46","46",10512,10623,11011,0.0474695585996956
"47","47",1633,1633,1745,0.0685854255970606
"10108","10108",1633,1633,1745,0.0685854255970606
"48","48",7792,7790,8134,0.0438911704312115
"49","49",7962,6369,6902,-0.133132378799297
"50","50",4123,4123,4104,-0.00460829493087558
"51","51",3654,4103,3443,-0.0577449370552819
"52","52",5339,5306,4711,-0.117625023412624
"53","53",7464,7635,4593,-0.384646302250804
"54","54",8969,8883,8675,-0.0327795740885271
"55","55",2045,2046,1961,-0.0410757946210269
"56","56",2518,2518,2482,-0.0142970611596505
"57","57",2148,2139,2156,0.0037243947858473
"8013","8013",2148,2139,2156,0.0037243947858473
"58","58",6734,6720,6858,0.0184140184140184
"59","59",4301,4855,3976,-0.0755638223668914
"60","60",3450,3582,3224,-0.0655072463768116
"61","61",10418,10259,10114,-0.0291802649260895
"62","62",1490,1490,1486,-0.00268456375838926
"63","63",3021,2443,1850,-0.387619993379676
"64","64",3280,3279,3263,-0.00518292682926829
"65","65",1128,1128,940,-0.166666666666667
"13222","13222",1128,1128,940,-0.166666666666667
"66","66",2843,2755,2638,-0.0721069293000352
"67","67",3771,3765,3782,0.00291699814372845
"10727","10727",3771,3765,3782,0.00291699814372845
"68","68",4512,4811,10758,1.3843085106383
"69","69",2729,2724,2571,-0.057896665445218
"70","70",1200,1200,1148,-0.0433333333333333
"71","71",5230,5226,5017,-0.0407265774378585
"72","72",3943,5694,4240,0.0753233578493533
"12656","12656",3943,5694,4240,0.0753233578493533
"73","73",4353,4357,3942,-0.0944176430048243
"74","74",4632,4702,4649,0.00367012089810017
"75","75",2583,2616,2749,0.0642663569492838
"76","76",5407,5089,8217,0.519696689476604
"77","77",11227,10206,11632,0.0360737507793712
"78","78",2917,2923,3531,0.210490229688036
"79","79",1222,1227,1094,-0.104746317512275
"1807","1807",1222,1227,1094,-0.104746317512275
"80","80",4130,3830,4407,0.0670702179176755
"81","81",3733,3652,3726,-0.00187516742566301
"3082","3082",3733,3652,3726,-0.00187516742566301
"11145","11145",3733,3652,3726,-0.00187516742566301
"82","82",3159,3169,3394,0.0743906299461855
"83","83",1635,1397,1300,-0.204892966360856
"84","84",2949,2950,2386,-0.190912173618176
"85","85",1807,2175,2168,0.199778638627559
"86","86",7248,5210,5526,-0.237582781456954
"87","87",2179,2179,2146,-0.0151445617255622
"88","88",6189,5689,3754,-0.393439974147681
"89","89",4867,4662,4610,-0.0528046024244915
"90","90",4286,4247,4290,0.000933271115258983
"91","91",5192,5179,5440,0.0477657935285054
"92","92",2357,2032,2058,-0.1268561731014
"93","93",1923,1938,1790,-0.0691627665106604
"94","94",1822,1818,1653,-0.092755214050494
