"city","year","lts","found_routes","access_15min_vol"
"ljubljana",16,3,19949,106724380
"ljubljana",16,4,20000,185862031
"ljubljana",21,3,19987,141419942
"ljubljana",21,4,19993,188454130
"ljubljana",26,3,19991,134972679
"ljubljana",26,4,20000,177326797
"ljubljana",16,1,19950,248165602
"ljubljana",16,2,19966,303390153
"ljubljana",19,1,19945,281515368
"ljubljana",19,2,19960,331934274
"ljubljana",21,1,19949,434221770
"ljubljana",21,2,19961,501410565
"ljubljana",24,1,19893,405741754
"ljubljana",24,2,19986,508324814
"ljubljana",26,1,19906,404972070
"ljubljana",26,2,19990,491230103
