"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"London",2016,1,340900,3328.77,1.55,0,27.75,2.89,33.28,11.54,13.96,5.84,1.93,46.97,11.88,12.29,28.86,5905711.539,199965,3.39,45.21,13.24,13.71,27.84,76600,64236,38265,20863,6.19,"20260303_124135",19981,38069502
"London",2016,2,340900,3334.01,1.55,0,23.93,2.95,27.82,10.43,11.38,4.3,1.71,41.12,26.25,11.19,21.44,5905711.539,199965,3.39,45.21,13.24,13.71,27.84,76600,64236,38265,20863,6.19,"20260303_124135",19984,58256444
"London",2019,1,340900,3341.97,1.55,0.4,24.82,3.1,37.86,18.97,10.3,6.79,1.79,58.95,12.59,4.45,24.01,6096428.136,260894,4.28,51.12,17.36,5.25,26.26,128100,65947,49863,16984,6.19,"20260303_124135",19984,49965318
"London",2019,2,340900,3296.15,1.54,-1.14,21.27,3.24,31.24,16.31,8.42,4.95,1.56,50.32,28.31,3.89,17.49,6096428.136,260894,4.28,51.12,17.36,5.25,26.26,128100,65947,49863,16984,6.19,"20260303_124135",19984,74367176
"London",2021,1,340900,3304,1.54,-0.74,24.11,3.29,40.05,22.18,10.06,6.53,1.29,59.7,12.9,1.37,26.03,6414543.9,301965,4.71,54.9,18.87,1.8,24.43,159483,69312,53295,19875,6.19,"20260303_124135",19978,51730536
"London",2021,2,340900,3229.32,1.51,-3.14,20.18,3.44,30.96,17.43,8.11,4.32,1.1,48.78,32.2,1.03,17.99,6414543.9,301965,4.71,54.9,18.87,1.8,24.43,159483,69312,53295,19875,6.19,"20260303_124135",19978,79410985
"London",2024,1,340900,3256.41,1.52,-2.17,23.34,3.31,43.89,23.04,10.02,9.21,1.61,61.6,11.52,0.63,26.25,6551456.328,371376,5.67,60.1,17.34,1.14,21.43,174708,87100,85846,23723,6.19,"20260303_124135",19933,55800406
"London",2024,2,340900,3211.99,1.5,-3.66,20.52,3.6,36.07,19.07,8.73,6.96,1.31,53.98,26.49,0.6,18.94,6551456.328,371376,5.67,60.1,17.34,1.14,21.43,174708,87100,85846,23723,6.19,"20260303_124135",19933,75895007
"London",2026,1,340900,3244.38,1.51,-2.54,22.91,3.37,43.41,22.53,9.47,9.62,1.79,65.11,10.21,0.53,24.15,6504691.442,392838,6.04,64.57,16.39,1,18.04,186791,86133,92394,27520,6.19,"20260303_124135",19948,57053798
"London",2026,2,340900,3203.63,1.5,-3.91,20.42,3.65,36.66,19.72,8.13,7.27,1.54,57.11,24.48,0.47,17.94,6504691.442,392838,6.04,64.57,16.39,1,18.04,186791,86133,92394,27520,6.19,"20260303_124135",19948,76155562
