"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",55.4,55.4,48.2,33.7,45.6,44.6,40.3,34,44.9,44.5,42.3,34.5,7498,7486,7325,6405,7168,7295,6707,6447,7023,7023,6677,6450
"10","10",54.3,54.3,47.2,30.1,51.3,45.8,40.5,31.2,51.2,50.9,45.7,35.9,6831,6831,7422,5814,6719,7214,7120,5923,7338,7090,6885,6649
"100","100",16.1,16.1,10.2,10,11.2,11.2,9.5,9.5,11.4,10.4,9.9,9.8,1404,1404,1607,1607,1127,1127,1058,1058,1187,1068,1540,1538
"1000","1000",73.3,73.3,67.2,48.9,68.5,67.7,63.9,48.1,65.3,64.5,62.6,48.3,10526,10526,10445,9307,11031,11031,10641,9166,10661,10709,10910,9187
"10000","10000",17.9,17.9,17.5,10.7,15,15,11.8,10.3,12,12,11.6,10.5,2461,2461,2461,1736,1934,1934,1821,1689,1682,1682,1693,1675
"10001","10001",50.1,49,40.8,34.5,50.4,47.3,41.3,35,47.9,43.4,40.1,35.2,8340,8345,7109,6654,8432,8035,7050,6701,7484,7387,7212,6634
"10002","10002",43.4,41.1,39.3,27.7,46.7,42.1,37.4,28,41.1,40,37.7,30.3,6387,6212,7194,5790,6423,6185,6565,5766,6465,6170,6014,5605
"10003","10003",30.7,30.7,25.2,17.1,30.3,29.6,25,17.6,30,30,27,19,3836,3836,3912,3287,3920,4100,3780,3451,3768,3768,3768,3434
"10004","10004",57.4,56.1,45.2,35,55.3,51.7,44.6,34.6,55.8,52.4,50.5,40.9,8585,8450,7095,6365,6774,6986,6605,6202,7854,7260,7762,7239
"10005","10005",18,18,12.9,9.1,18.4,18.4,10.2,8.7,19.3,18.5,12.8,10.4,1803,1803,1736,1657,1944,1944,1607,1632,2115,1704,1808,1813
"10006","10006",61.7,61.7,52.4,33.7,59.8,57.5,48.2,33.9,53.9,53.9,50.1,34.1,7633,7633,7687,6565,8088,8766,8359,6571,7888,7887,7231,6578
"10007","10007",59,59,56,36.3,57.5,54,50.2,35.6,57.3,54.4,53,39.4,8215,8215,8248,6910,8867,8867,8607,6643,9442,9112,8931,6935
"10008","10008",70.6,70.6,49,38,64.7,63.8,48.8,38.5,63.7,62.5,53.9,46.3,7411,7411,7104,6978,8511,8649,6936,7025,8396,8416,8563,8580
"10009","10009",62.9,61.3,47,38.8,56.8,56.8,47.1,39.2,55.6,52,45.1,39.2,8601,8766,8041,7592,9207,9207,8037,7623,8380,8290,7961,7536
"1001","1001",60.5,60.5,56.7,43.6,66.1,65.4,59.2,43.9,70.4,66.1,61,41,9727,9727,9542,8241,9820,9904,9201,8283,9620,9830,9831,7932
"10010","10010",52,52,42.6,26.7,53.7,53.1,42.1,28.2,49.8,44.2,44.1,28.7,6622,6622,5964,4992,6587,6587,6178,4843,6587,5795,5733,5004
"10011","10011",49.4,49.4,40.3,32.1,47.4,47.4,40.3,32.5,42.4,41.7,39.1,32.6,6844,6844,7211,6239,6840,6844,6871,6213,6914,6914,7074,6211
"10012","10012",57.3,56.1,49.7,36.4,52,51.1,43.3,36.3,46.9,46.5,42.6,36.9,8912,8759,7879,7061,7984,7832,7984,7077,8152,8152,7753,7193
"10013","10013",27.4,27.4,21,17.4,29.6,29.6,23.2,19.5,26.2,25.2,25.2,23,4059,4059,3624,3583,3950,3950,3568,3645,4062,4062,4062,3794
"10014","10014",68.4,68.4,60.3,40.1,67.7,67.7,57.9,40.4,60,60,55.5,41.1,9765,9765,9596,7828,9841,9613,9725,7781,9451,9454,8600,7768
"10015","10015",63.4,63.4,47,42.4,55.2,54.5,42.6,36.9,43,42.6,38.8,36.1,8283,8283,8105,7813,7451,7547,6924,6922,7170,7170,6856,6861
"10016","10016",81.4,81.3,71.3,49.8,80.5,77.4,68.5,50.5,66.1,66.1,63.1,51.6,12492,12769,11716,9796,11640,11649,10529,9762,11499,11499,11402,9936
"10017","10017",57.4,56.6,46.6,34.1,49.9,49.9,42.6,33.8,46.8,46.8,46.6,34.5,8065,8026,8226,6864,7769,7769,7403,6579,7527,7481,7481,6618
"10018","10018",77.6,76,60.3,46.6,67.6,66,60.7,46.9,67.5,65.5,60,50.8,11426,10612,10321,8881,10239,10366,10437,8920,10458,10203,10023,9624
"10019","10019",64.6,61.8,53.9,41.6,66.3,59.8,51.6,41.5,62,61.3,57.5,45.6,8792,9047,8928,7936,8880,8871,8478,7872,9026,8999,8999,8060
"1002","1002",49.1,48.4,42.2,29.4,44.3,44.3,43,29.3,44.9,44.9,42.9,30.4,6985,6947,7159,5717,7092,7092,6599,5729,7048,7094,6723,5724
"10020","10020",47.6,46.6,37.9,32,39.3,38.5,37,32.1,44.8,41,37.4,33.9,6982,6935,7022,6245,7318,7008,6857,6232,7265,7104,6898,6202
"10021","10021",94.3,91.3,71.1,46.6,84.8,79.4,63.2,43.7,73.4,71.7,63.9,43.7,10959,11372,10630,9335,12125,11536,10129,8763,11324,11878,10588,8354
"10022","10022",72.3,70.4,55.8,44.3,61.9,61.3,54.5,44.9,62.3,60.6,55.7,45.9,10561,10481,9541,8475,10410,10410,9345,8658,9553,9311,9239,8736
"10023","10023",105.1,102.8,77,59.4,93.6,91,76,60,94.4,89.6,81.7,68,15368,14345,13667,11472,13905,14024,13743,11519,14711,13987,14096,12314
"10024","10024",24.7,24.5,22.3,17.3,25.2,22.9,18.8,18.7,26.4,24.2,19.4,19.1,4042,4196,3734,3566,4005,4221,3621,3491,4232,4341,3689,3681
"10025","10025",49.3,49.3,44.5,29.1,53.4,51.3,42.8,29.3,46.7,46.7,39.5,29.5,6620,6620,6727,5653,6952,8112,7129,5652,6321,6321,6104,5654
"10026","10026",84.7,82.5,69.5,47.9,78.9,75.8,64.5,47.5,78,73.7,64.2,55.5,11468,11354,11204,9293,10943,11442,11322,9058,11023,11201,10093,9488
"10027","10027",71.9,68.5,54.4,45.1,58.3,57.5,52.5,43.3,51.9,50.9,47.3,41.6,9031,9526,9070,8484,9403,9522,8580,8386,8747,8736,8487,8108
"10028","10028",88.6,86,67.5,54.3,82.8,78.1,64.2,54.5,74.8,73.7,68.1,55.7,13228,12823,12236,10584,12625,12772,11773,10561,11860,12518,12111,10684
"10029","10029",68.2,68.2,60.2,40.3,69.5,66.4,54.3,39.9,63.9,58.9,56.1,41.5,9480,9480,9493,7860,10327,9976,9221,7712,10023,9317,8815,7996
"1003","1003",61.4,59.3,51.8,38.8,58.3,53.1,49,38.8,61.5,55.1,50.6,38.5,9542,9548,9059,7708,8732,8872,8748,7469,8790,9184,8632,7320
"10030","10030",26,26,13.2,13.2,28.6,28.6,14.5,14.5,32.4,31.6,19.6,15.6,3323,3323,2612,2608,3624,3624,2710,2710,3407,3924,2913,2900
"10031","10031",63.1,61.7,50.1,39.3,65.1,56.2,49.6,41,62.5,58.9,55.8,43.7,9595,9418,8876,7627,8866,8632,8298,7592,9041,8946,9391,8163
"10032","10032",71.6,70.8,64.7,48,71.2,68.1,60.8,48,75.4,72.2,66.5,48,11453,11469,11043,9006,11274,11115,10260,8996,11476,11882,11421,9184
"10033","10033",83.9,83.9,71.8,53.2,73.1,72.2,67.3,53.3,70.7,70.2,65,54.8,11756,11761,11452,10278,11352,11253,11449,10271,11674,11523,11436,10394
"10034","10034",95.1,94.7,75,59.7,88.6,85.3,70.7,60.2,80.9,79.3,72.5,60.6,13180,13543,12762,11536,13499,13897,12809,11533,13411,12820,12531,11452
"10035","10035",17.7,17.7,14.3,12.8,17.2,17.2,13.8,12.9,15.3,15.3,14.5,13.8,2663,2663,2648,2648,2596,2595,2581,2581,2718,2718,2676,2627
"10036","10036",77.7,76.3,59,49.1,83.1,77.5,63.6,48,82.4,76.8,71.4,50.2,11901,11901,10114,9569,10739,11165,10365,9365,10874,11434,10460,9635
"10037","10037",55.4,55.1,46.2,37,55.4,53.5,46.3,38.3,40.7,40.7,40.4,34,7588,7589,7797,7280,7697,7755,7657,7387,6816,6816,6816,6327
"10038","10038",54.9,53.6,45.8,35.9,49.3,47.6,41.5,37.2,40.7,39.5,37.9,34.3,7542,7542,7682,7102,7801,7800,7339,7274,7206,7206,7008,6652
"10039","10039",56.4,56.4,50.6,30.5,54.8,53.3,46.2,30.2,50,47.1,40.7,30.4,6990,6990,6709,5752,6802,8330,7577,5727,7727,7461,7057,5708
"10040","10040",20.2,20.2,15.7,11,20.3,20.3,13.1,10.7,17.3,17.1,14.6,11.3,2595,2599,2484,2181,2594,2598,2437,2074,2710,2689,2496,2133
"10042","10042",40,40,33,29.6,42.9,42.9,34.8,30,42.3,42,38.6,30.6,5496,5496,5855,5316,5861,5861,5870,5664,6747,6743,6527,5772
"10043","10043",113.4,113.3,85.5,65,98.1,97.7,77.8,58,76.3,75.9,73.6,58.3,16249,16127,14571,12210,13316,12535,13052,11047,12343,12343,12437,11155
"10044","10044",44.3,44.3,33.9,23.7,40.1,36.7,32.4,23.3,42.8,39.8,36.1,27.1,6489,6489,4768,4537,5559,5624,5237,4570,5687,5498,5364,4912
"10045","10045",39.8,39.8,26.9,18.1,30.5,27.9,24.9,17.8,27.8,24.4,23.7,18.7,4332,4332,3848,2938,3740,3686,3542,2939,3798,3390,3366,3106
"10046","10046",58.2,56.3,49.1,37.2,62.6,58.9,49.6,39.3,61.5,58,51.4,41.8,7912,7475,7646,7163,8016,8890,8485,7185,8647,9248,8070,7752
"10047","10047",101.9,97.7,70.3,51.7,82.3,81.7,62.6,47.6,63.2,61.8,59.5,47.3,14064,14010,11821,9928,9597,9749,10127,8963,9614,9791,10289,8883
"10048","10048",35.2,34.7,31.5,28,32.5,31.8,28.8,27,27.9,25.9,23.4,21.7,5970,5973,5246,5160,5169,5228,5268,4907,3480,3628,3451,3177
"10049","10049",74.8,70.5,60.4,45.5,63.1,60.6,54.1,46,58.1,54.2,51.3,45.9,9296,9296,9258,8809,8945,9072,9077,8908,8567,8665,8535,8373
"1005","1005",13.9,13.9,13.9,13.1,13.5,13.5,13.3,12.3,15.7,15.7,15.3,14.5,2066,2066,2066,1742,1851,1851,1862,1706,1974,1974,1916,1775
"10050","10050",51.3,51.3,43.2,25.1,48.1,46.7,39.5,25,47.5,44.9,42.8,25.4,5760,5759,6144,4739,5827,6001,5873,4770,6844,6236,6120,4721
"10051","10051",27.9,27.9,27.9,23.9,32,29.8,27.6,24,33.8,31.8,28.8,23.1,4393,4388,4393,4185,4628,4583,4199,4226,5007,4557,4426,4316
"10052","10052",87.2,86.6,73.7,53.9,82.2,81.5,76.5,55.7,77.5,76.3,72.9,57.6,12055,11881,11143,10287,11754,11754,11639,10454,12280,11930,11553,10716
"10053","10053",40.9,40.4,30.8,25.6,32.1,31.4,26.8,25.4,36.7,32.7,31,29.6,5966,6316,5336,4964,5169,5169,5048,5009,5602,5529,5442,5297
"10054","10054",39,39,32.9,26.8,36,36,31.9,26.4,34.5,34.5,31.4,26.9,5757,5757,5747,5132,5630,5631,4992,5126,5303,5302,4975,5117
"10056","10056",46.8,46.3,33.4,29.9,44.2,44.2,32.2,30.2,40.2,39.2,32.6,31.3,6309,6389,6016,5690,7170,7170,6013,5730,6256,6057,5849,5880
"10057","10057",50.9,50.9,35.2,25.7,48.1,48,33.3,25.8,44,44,42.9,25.6,6240,6240,5704,5095,6178,6178,5860,5110,5595,5595,5594,4898
"10058","10058",61.8,61.8,56.1,44.6,61.7,61.7,54,44.9,54.6,54.6,53.3,45.2,10173,10173,10008,8699,10309,10309,9989,8695,9732,9735,9732,8753
"10059","10059",92.4,87.6,75.8,59.4,81.9,81.5,74.6,61,74.3,71.6,71,65,12306,12294,13452,11489,12692,13130,12364,11767,12100,11864,11853,11811
"1006","1006",85,83.5,69,56.5,82.3,76.6,69.4,56.6,84.2,76.6,72.8,57,13587,13602,11973,10982,13503,12953,11699,10974,13332,12957,12700,10974
"10060","10060",43.6,42.1,28.6,27.7,41.4,38.8,30,29,36.3,35.3,30.4,28.9,5607,5709,5044,5044,5923,6038,5212,5229,5998,5998,5430,5217
"10061","10061",92.4,91.7,78.5,54.4,84.7,79.8,71.1,54.4,75.6,74.1,69,55.9,13173,13021,12334,10550,12803,12346,11980,10541,12473,12241,11908,10680
"10062","10062",69.4,69.3,65,52.2,74.9,69.1,63.3,52.4,76.5,71.9,68.4,57.5,11987,11997,11764,10164,11029,11568,11231,10160,11472,11907,12167,10308
"10063","10063",45.3,44.9,34.8,26,38.9,37.7,32.4,26.7,36,35,29.5,26.9,5959,5647,5975,5169,5822,5830,5649,5153,5800,5676,5090,5167
"10064","10064",62.8,62.1,56,41.8,62.8,59.9,54,42.3,65.4,61.7,57.5,46.5,10521,10521,10075,8090,8915,9011,8673,8166,9811,9863,9998,8599
"10065","10065",79.8,79.8,69.6,45.4,67.4,66.2,58,45.6,67.6,63.8,57.3,47.3,11389,11389,11250,8946,9746,9766,9419,8814,10573,9951,9501,8991
"10066","10066",99.5,97,77.4,52.1,92.3,88.8,73.3,52.3,83.4,75.9,72.7,54.2,12493,12819,11707,10012,12939,12269,11891,10000,12383,12227,11630,10059
