"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Madrid",2016,1,2808719,8508.37,1.5,0,15.25,85.75,0.81,5.21,8.19,6874129.028,197821,2.88,60.35,1.59,10.45,27.62,144233,8591,26278,18720,23.09,"20260226_095607",19448,49871949
"Madrid",2016,2,2808719,8537.94,1.5,0,15.42,83.87,2.92,5.04,8.13,6874129.028,197821,2.88,60.35,1.59,10.45,27.62,144233,8591,26278,18720,23.09,"20260226_095607",19578,53555717
"Madrid",2016,3,2808719,8317.61,1.43,0,14.43,61.81,2.32,29.93,5.91,6874129.028,197821,2.88,60.35,1.59,10.45,27.62,144233,8591,26278,18720,23.09,"20260226_095607",19949,80344365
"Madrid",2016,4,2808719,7366.48,1.28,0,8.95,28.47,1.76,18.6,51.13,6874129.028,197821,2.88,60.35,1.59,10.45,27.62,144233,8591,26278,18720,23.09,"20260226_095607",19954,128413742
"Madrid",2021,1,2808719,8452.4,1.47,-0.66,19.69,88.65,1.03,3.77,6.5,7348366.847,277070,3.77,65.91,2.34,7.84,23.91,160196,18566,85158,13150,23.09,"20260226_095607",19697,51922058
"Madrid",2021,2,2808719,8430.16,1.46,-1.26,20.35,83.24,7.01,3.9,5.8,7348366.847,277070,3.77,65.91,2.34,7.84,23.91,160196,18566,85158,13150,23.09,"20260226_095607",19784,56599816
"Madrid",2021,3,2808719,8039.13,1.39,-3.35,20.46,59.6,7.96,27.68,4.71,7348366.847,277070,3.77,65.91,2.34,7.84,23.91,160196,18566,85158,13150,23.09,"20260226_095607",19880,82104815
"Madrid",2021,4,2808719,7321.59,1.27,-0.61,17.88,30,4.58,18.2,47.18,7348366.847,277070,3.77,65.91,2.34,7.84,23.91,160196,18566,85158,13150,23.09,"20260226_095607",19883,121671876
"Madrid",2026,1,2808719,8396.54,1.45,-1.31,29.43,92.31,1.14,1.88,4.65,8239151.446,386372,4.69,70.15,2.98,4.39,22.49,201825,23273,149064,12210,23.09,"20260226_095607",19903,52465706
"Madrid",2026,2,2808719,8320.44,1.43,-2.55,29.05,86.12,7.58,2,4.27,8239151.446,386372,4.69,70.15,2.98,4.39,22.49,201825,23273,149064,12210,23.09,"20260226_095607",19951,57987360
"Madrid",2026,3,2808719,8147.81,1.4,-2.04,27.93,69.71,8.96,17.5,3.82,8239151.446,386372,4.69,70.15,2.98,4.39,22.49,201825,23273,149064,12210,23.09,"20260226_095607",19965,72682926
"Madrid",2026,4,2808719,7474.72,1.3,1.47,28.32,35.14,6.21,12.39,46.24,8239151.446,386372,4.69,70.15,2.98,4.39,22.49,201825,23273,149064,12210,23.09,"20260226_095607",19970,109853204
