"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Madrid",2016,1,2808719,3797.1,1.66,0,28.15,0.81,12.13,9.26,0.18,1.33,1.37,81.95,0.92,7.01,10.1,6874129.028,197821,2.88,60.35,1.59,10.45,27.62,144233,8591,26278,18720,5.22,"20260302_153457",19890,321928919
"Madrid",2016,2,2808719,3800.77,1.66,0,27.61,0.83,12.17,9.28,0.18,1.3,1.41,80.35,2.95,6.79,9.89,6874129.028,197821,2.88,60.35,1.59,10.45,27.62,144233,8591,26278,18720,5.22,"20260302_153457",19895,352340505
"Madrid",2019,1,2808719,3776.02,1.64,-0.56,27,1.17,15.47,10.63,0.41,1.98,2.46,85.06,1.26,5.78,7.89,7146157.652,263409,3.69,65.13,2.27,8.89,23.7,148665,21632,68490,24622,5.22,"20260302_153457",19879,365735102
"Madrid",2019,2,2808719,3779.14,1.65,-0.57,26.14,1.2,15.5,10.18,0.5,2.39,2.43,82.18,4.91,5.53,7.39,7146157.652,263409,3.69,65.13,2.27,8.89,23.7,148665,21632,68490,24622,5.22,"20260302_153457",19882,407905432
"Madrid",2021,1,2808719,3724.53,1.62,-1.91,26.62,1.29,15.5,11.31,0.36,3.02,0.82,86.01,1.41,4.96,7.61,7348366.847,277070,3.77,65.91,2.34,7.84,23.91,160196,18566,85158,13150,5.22,"20260302_153457",19846,376574211
"Madrid",2021,2,2808719,3719.22,1.62,-2.15,25.66,1.32,15.41,10.61,0.45,3.55,0.8,82.22,5.76,4.86,7.16,7348366.847,277070,3.77,65.91,2.34,7.84,23.91,160196,18566,85158,13150,5.22,"20260302_153457",19849,417967256
"Madrid",2024,1,2808719,3702.21,1.61,-2.5,26.16,1.67,17.96,13.16,0.31,4.16,0.33,87.96,1.31,3.76,6.97,7964673.927,347689,4.37,68.16,2.87,5.85,23.11,183190,28901,127228,8371,5.22,"20260302_153457",19934,410751931
"Madrid",2024,2,2808719,3679.55,1.61,-3.19,25.24,1.7,17.77,12.24,0.41,4.81,0.3,83.74,5.76,3.78,6.72,7964673.927,347689,4.37,68.16,2.87,5.85,23.11,183190,28901,127228,8371,5.22,"20260302_153457",19935,436987585
"Madrid",2026,1,2808719,3675.58,1.6,-3.2,25.4,1.95,22,16.77,0.34,4.41,0.48,90.51,1.39,2.62,5.48,8239151.446,386372,4.69,70.15,2.98,4.39,22.49,201825,23273,149064,12210,5.22,"20260302_153457",19965,419089363
"Madrid",2026,2,2808719,3640.13,1.59,-4.23,24.36,2.03,21.95,15.6,0.56,5.34,0.44,85.72,6.46,2.62,5.2,8239151.446,386372,4.69,70.15,2.98,4.39,22.49,201825,23273,149064,12210,5.22,"20260302_153457",19988,454252102
