"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",3553,2749,2580,2599,3032,-0.146636645088657
"2","2",1869,2007,1706,1776,2062,0.103263777421081
"3","3",2605,2587,2585,2993,2805,0.0767754318618042
"4","4",3640,3825,3148,3141,3342,-0.0818681318681319
"3313","3313",3640,3825,3148,3141,3342,-0.0818681318681319
"5","5",9355,8260,8118,10298,8216,-0.121753073222875
"6","6",6015,6379,6051,5890,6162,0.0244389027431421
"7","7",1731,1477,1477,1359,1557,-0.10051993067591
"8","8",2778,2810,2463,2789,2926,0.0532757379409647
"3468","3468",2778,2810,2463,2789,2926,0.0532757379409647
"9","9",7544,6958,6350,6594,6596,-0.125662778366914
"10","10",1304,1307,1146,1197,1246,-0.044478527607362
"11","11",4231,4351,4273,4189,3918,-0.0739777830300166
"12","12",10399,10685,10447,10317,11292,0.0858736416963169
"13","13",1076,1076,1069,1458,1359,0.263011152416357
"14","14",3070,2874,2984,3187,2828,-0.0788273615635179
"15","15",10912,11725,10863,9834,9909,-0.0919171554252199
"16","16",1634,1698,1687,1590,1628,-0.00367197062423501
"17","17",8917,8282,7821,7937,8184,-0.0822025344846922
"18","18",2692,2689,2223,2523,2452,-0.0891530460624071
"19","19",2342,2645,2695,2406,2659,0.13535439795047
"20","20",1301,1362,1392,1151,1121,-0.138355111452729
"2655","2655",1301,1362,1392,1151,1121,-0.138355111452729
"21","21",4177,4952,4274,4801,4777,0.143643763466603
"22","22",1170,1270,1275,1275,1271,0.0863247863247863
"23","23",2018,2018,2026,2004,2004,-0.00693756194251734
"24","24",6263,5924,6119,5754,5689,-0.0916493693118314
"26","26",1257,1377,1377,1155,1390,0.105807478122514
"27","27",2135,1928,1906,1910,2302,0.0782201405152225
"28","28",7156,7217,6905,6893,7006,-0.0209614309670207
"29","29",4618,4441,4441,4638,4495,-0.0266349068860979
"30","30",7729,7108,7048,6241,6187,-0.199508345193427
"31","31",3838,3892,3925,3867,3931,0.0242313705054716
"32","32",3598,3347,3496,3774,3910,0.0867148415786548
"33","33",1167,1156,1156,1266,1266,0.0848329048843188
"34","34",4513,4605,4353,3875,4036,-0.105694659871482
"35","35",1399,1380,1380,847,755,-0.460328806290207
"36","36",4903,3827,4503,4411,3661,-0.253314297368958
"37","37",3363,3470,3270,3911,3248,-0.0341956586381207
"38","38",3873,3952,3969,4001,4066,0.0498321714433256
"39","39",2551,1660,1864,2062,1621,-0.364562916503332
"40","40",3481,3729,3277,3592,3258,-0.0640620511347314
"41","41",4551,6337,6196,6050,7120,0.564491320588882
"42","42",6365,6339,6207,6117,5727,-0.100235663786332
"43","43",3131,3484,3393,3440,3513,0.122005748961993
"44","44",6342,6299,6484,6162,6595,0.0398927783033743
"45","45",4011,4256,3838,3828,3872,-0.0346546995761655
"46","46",3382,3168,3401,3468,3383,0.000295683027794205
"47","47",2920,2921,2921,3091,3203,0.0969178082191781
"48","48",1212,1239,1172,1133,970,-0.1996699669967
"49","49",6708,7619,7866,7799,7298,0.0879546809779368
"50","50",8240,8401,8161,8398,7860,-0.0461165048543689
"51","51",1924,1679,1679,1747,2444,0.27027027027027
"19864","19864",1924,1679,1679,1747,2444,0.27027027027027
"52","52",3302,3331,2700,2798,2670,-0.191399152029073
"53","53",1962,1961,1948,2028,2029,0.0341488277268094
"54","54",1268,1350,1387,1385,1409,0.111198738170347
"3223","3223",1268,1350,1387,1385,1409,0.111198738170347
"55","55",6342,6008,5998,5878,6309,-0.00520340586565752
"56","56",3598,3514,3513,2201,2196,-0.389660922734853
"57","57",2758,3026,3018,2528,3102,0.124728063814358
"58","58",6079,6074,6020,5668,5096,-0.161704227669025
"59","59",5867,5888,5833,6712,7597,0.294869609681268
"60","60",3452,3732,3072,2986,2986,-0.134994206257242
"61","61",3438,2596,2742,2659,3163,-0.0799883653286795
"62","62",2305,2314,2305,2313,2280,-0.0108459869848156
"63","63",6000,4301,4376,4381,4258,-0.290333333333333
"64","64",2550,2545,2602,3130,2831,0.110196078431373
"65","65",7487,7486,7113,5750,5872,-0.215707225858154
"66","66",2980,3894,3382,3338,2963,-0.00570469798657718
"67","67",2420,2443,2440,2275,2275,-0.0599173553719008
"68","68",1929,2351,2260,2061,2061,0.0684292379471229
"69","69",2284,2269,2266,2266,2265,-0.00831873905429072
"70","70",9517,9336,7926,8753,7974,-0.162130923610381
"71","71",1045,1358,1148,954,1165,0.114832535885167
"72","72",7948,6363,6644,5471,5341,-0.328007045797685
