"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"1","1",6405,6447,6450,42,3,45,0.00702576112412178
"2","2",12649,12605,12587,-44,-18,-62,-0.00490157324689699
"3","3",7096,7089,7190,-7,101,94,0.0132468996617813
"4","4",7532,7665,7831,133,166,299,0.0396972915560276
"5","5",6727,6770,6688,43,-82,-39,-0.00579753233239185
"6","6",2569,2569,2695,0,126,126,0.0490463215258856
"7","7",2558,2559,2615,1,56,57,0.0222830336200156
"8","8",3810,3139,3081,-671,-58,-729,-0.191338582677165
"9","9",10238,10527,9489,289,-1038,-749,-0.0731588200820473
"10","10",5814,5923,6649,109,726,835,0.143618851049192
"11","11",7894,7669,7587,-225,-82,-307,-0.0388902964276666
"12","12",10964,10722,10785,-242,63,-179,-0.0163261583363736
"13","13",4594,4479,4478,-115,-1,-116,-0.0252503265128428
"14","14",7990,7977,8230,-13,253,240,0.0300375469336671
"15","15",8975,9304,8831,329,-473,-144,-0.0160445682451253
"16","16",6868,6846,6919,-22,73,51,0.00742574257425743
"17","17",12492,12424,12587,-68,163,95,0.00760486711495357
"18","18",1173,1280,917,107,-363,-256,-0.218243819266837
"19","19",8658,8838,9212,180,374,554,0.063987063987064
"20","20",6683,6845,6783,162,-62,100,0.0149633398174473
"21","21",5205,5316,5224,111,-92,19,0.00365033621517771
"22","22",4542,3902,4241,-640,339,-301,-0.0662703654777631
"23","23",7522,7626,7873,104,247,351,0.0466631215102366
"24","24",7098,7103,7111,5,8,13,0.00183150183150183
"25","25",11132,11177,11070,45,-107,-62,-0.0055695292849443
"26","26",9171,9168,9191,-3,23,20,0.00218078726420238
"27","27",2754,2754,3145,0,391,391,0.141975308641975
"28","28",1045,941,944,-104,3,-101,-0.0966507177033493
"29","29",9635,9676,10916,41,1240,1281,0.132952776336274
"30","30",2817,2703,2811,-114,108,-6,-0.00212992545260916
"31","31",9811,9937,9800,126,-137,-11,-0.00112119050045867
"32","32",12017,11739,11391,-278,-348,-626,-0.0520928684363818
"33","33",10521,10559,10591,38,32,70,0.00665335994677312
"34","34",11755,11902,12071,147,169,316,0.0268821777966823
"35","35",8759,8750,8722,-9,-28,-37,-0.00422422650987556
"36","36",2827,2857,3001,30,144,174,0.0615493455960382
"37","37",3741,3614,4056,-127,442,315,0.0842020850040096
"38","38",14870,14570,14744,-300,174,-126,-0.00847343644922663
"39","39",7501,7404,7439,-97,35,-62,-0.00826556459138782
"40","40",3105,3057,2899,-48,-158,-206,-0.0663446054750403
"41","41",7419,7247,7662,-172,415,243,0.0327537403962798
"42","42",6921,6929,7011,8,82,90,0.0130039011703511
"43","43",7875,8074,8449,199,375,574,0.0728888888888889
"44","44",4315,4240,4056,-75,-184,-259,-0.0600231749710313
"45","45",2854,2850,2755,-4,-95,-99,-0.0346881569726699
"46","46",6630,6615,7634,-15,1019,1004,0.151432880844646
"47","47",6626,6690,6998,64,308,372,0.0561424690612738
"48","48",9750,10149,9952,399,-197,202,0.0207179487179487
"49","49",9641,9620,10480,-21,860,839,0.0870241676174671
"50","50",9150,9227,9602,77,375,452,0.0493989071038251
"51","51",7576,7655,7488,79,-167,-88,-0.0116156282998944
"52","52",8848,8774,9278,-74,504,430,0.0485985533453888
"53","53",3789,3411,3425,-378,14,-364,-0.0960675640010557
"54","54",4935,4930,5273,-5,343,338,0.0684903748733536
"55","55",11851,11852,12568,1,716,717,0.0605012235254409
"56","56",13194,13189,13439,-5,250,245,0.0185690465363044
"57","57",6424,6423,6403,-1,-20,-21,-0.00326899128268991
"58","58",5982,5943,5867,-39,-76,-115,-0.0192243396857238
"59","59",14212,14193,14068,-19,-125,-144,-0.010132282578103
"60","60",3727,3693,3701,-34,8,-26,-0.00697612020391736
"61","61",4378,4448,4470,70,22,92,0.0210141617176793
"62","62",5379,5369,5463,-10,94,84,0.0156162855549359
"63","63",6649,6037,6404,-612,367,-245,-0.0368476462625959
"64","64",2992,2993,2764,1,-229,-228,-0.0762032085561497
"65","65",10742,10718,11130,-24,412,388,0.0361199031837647
"66","66",6382,6492,6597,110,105,215,0.0336884989031652
