"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",7792,7948,8561,7628,8949,7478,-0.0402977412731006
"2","2",8353,8607,8323,7243,7391,7086,-0.151682030408237
"3","3",6237,6204,6711,7242,7513,6260,0.00368767035433702
"4","4",2360,2360,3439,2259,2602,2717,0.151271186440678
"5","5",2556,2714,3427,2199,2538,2485,-0.0277777777777778
"6","6",5653,5586,5478,4948,4954,4930,-0.127896692021935
"7","7",3089,3089,3108,3531,3068,3881,0.2563936549045
"8","8",2786,2773,2330,2329,2849,2971,0.0664034458004307
"10","10",3682,3454,3594,3389,3193,3344,-0.0917979359043998
"11","11",1325,1304,1628,1564,1153,1089,-0.17811320754717
"19247","19247",1325,1304,1628,1564,1153,1089,-0.17811320754717
"13","13",871,869,854,837,929,931,0.068886337543054
"14","14",6058,6471,6653,6641,6781,6982,0.152525586001981
"15","15",5595,5314,5882,5043,5605,5464,-0.0234137622877569
"16","16",2414,2412,2419,2347,2348,2379,-0.0144987572493786
"17","17",5590,5878,5427,5474,5599,4711,-0.157245080500894
"18","18",3729,3739,2991,3361,2916,3428,-0.0807186913381604
"20","20",5734,5446,5415,5413,5407,5720,-0.00244157656086502
"21","21",5188,5346,6156,6148,5192,5245,0.0109868928296068
"22","22",5467,5447,5291,5512,7028,5729,0.0479239070788367
"23","23",5665,6314,6133,7062,7026,6880,0.214474845542807
"24","24",4482,4474,4906,4806,5197,5233,0.167559125390451
"25","25",2037,2477,2288,2248,1887,1897,-0.0687285223367698
"26","26",2756,2745,1949,1974,1923,1816,-0.341074020319303
"27","27",2297,2301,2300,2662,2680,2667,0.161079669133653
"28","28",3992,3993,4856,4827,5012,4700,0.177354709418838
"29","29",4463,4469,4435,4785,4760,4785,0.0721487788483083
"31","31",2423,2406,2495,2148,2120,2228,-0.0804787453569955
"32","32",4195,4253,4094,4336,3850,4305,0.0262216924910608
"33","33",6790,6787,6974,5612,6536,6541,-0.0366715758468336
"34","34",1502,1501,1498,1517,1594,1788,0.190412782956059
"35","35",7893,7840,8111,7988,8906,8901,0.127708095781072
"36","36",2587,2378,2380,2548,2647,2518,-0.0266718206416699
"37","37",2787,2785,2787,3012,2846,3611,0.295658414065303
"38","38",2936,2946,2926,4284,4282,4275,0.456062670299728
"39","39",1385,1385,1907,1966,1795,1517,0.0953068592057762
"40","40",3129,3058,3439,3134,3026,2914,-0.0687120485778204
"42","42",1240,1240,980,817,816,819,-0.339516129032258
"43","43",1443,1535,1467,1650,1667,1493,0.0346500346500346
"44","44",2832,2848,2868,3746,3698,3897,0.376059322033898
