"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Melbourne",2016,1,2131813,7676.01,1.5,0,45.75,80.33,4.64,6.95,8.08,7403894.33,589812,7.97,55.65,8.01,15.95,20.39,246223,322488,1514,19587,21.42,"20260226_101738",19486,56338897
"Melbourne",2016,2,2131813,7581.33,1.45,0,47.8,64.32,23.65,6.05,5.97,7403894.33,589812,7.97,55.65,8.01,15.95,20.39,246223,322488,1514,19587,21.42,"20260226_101738",19869,89263713
"Melbourne",2016,3,2131813,7236.61,1.39,0,50.12,43.35,25.41,27.58,3.66,7403894.33,589812,7.97,55.65,8.01,15.95,20.39,246223,322488,1514,19587,21.42,"20260226_101738",19986,165924928
"Melbourne",2016,4,2131813,6701.41,1.29,0,33.9,21.28,15.29,20.91,42.51,7403894.33,589812,7.97,55.65,8.01,15.95,20.39,246223,322488,1514,19587,21.42,"20260226_101738",19987,321674240
"Melbourne",2021,1,2131813,7750.55,1.49,0.97,47.01,87.6,3.11,4.21,5.08,7876036.915,694765,8.82,62.7,7.43,13.35,16.52,297235,341941,34734,20855,21.42,"20260226_101738",19805,74809083
"Melbourne",2021,2,2131813,7667.13,1.46,1.13,51.62,70.06,22.81,3.45,3.67,7876036.915,694765,8.82,62.7,7.43,13.35,16.52,297235,341941,34734,20855,21.42,"20260226_101738",19946,109935821
"Melbourne",2021,3,2131813,7171.1,1.37,-0.91,53.57,48.9,22.88,25.44,2.78,7876036.915,694765,8.82,62.7,7.43,13.35,16.52,297235,341941,34734,20855,21.42,"20260226_101738",19983,177149919
"Melbourne",2021,4,2131813,6736.45,1.29,0.52,46.52,28.26,14.76,21.4,35.57,7876036.915,694765,8.82,62.7,7.43,13.35,16.52,297235,341941,34734,20855,21.42,"20260226_101738",19984,292102563
"Melbourne",2026,1,2131813,7905.49,1.5,2.99,65.47,92.36,2.03,1.99,3.62,8250439.101,838957,10.17,74.35,3.74,7.69,14.22,328635,360150,115057,35116,21.42,"20260226_101738",19930,57675336
"Melbourne",2026,2,2131813,7656.15,1.46,0.99,71.46,80.97,13.45,2.26,3.31,8250439.101,838957,10.17,74.35,3.74,7.69,14.22,328635,360150,115057,35116,21.42,"20260226_101738",19966,79043144
"Melbourne",2026,3,2131813,7423.17,1.42,2.58,75.65,67.86,15.71,13.33,3.1,8250439.101,838957,10.17,74.35,3.74,7.69,14.22,328635,360150,115057,35116,21.42,"20260226_101738",19984,104228679
"Melbourne",2026,4,2131813,7146.21,1.38,6.64,79,54.12,13.21,11.67,21,8250439.101,838957,10.17,74.35,3.74,7.69,14.22,328635,360150,115057,35116,21.42,"20260226_101738",19986,142137677
