"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Melbourne",2016,1,2131813,3996.91,1.69,0,24.08,2,64.19,30.69,31.95,0.06,1.48,50.05,17.8,18.31,13.83,7403894.33,589812,7.97,55.65,8.01,15.95,20.39,246223,322488,1514,19587,5.01,"20260303_125554",19959,34296049
"Melbourne",2016,2,2131813,3957.51,1.67,0,23.17,2.2,58.74,28.11,29.2,0.06,1.37,48.55,21.31,16.75,13.38,7403894.33,589812,7.97,55.65,8.01,15.95,20.39,246223,322488,1514,19587,5.01,"20260303_125554",19959,39379622
"Melbourne",2019,1,2131813,3975.59,1.68,-0.53,23.66,1.98,64.21,31.07,31,0.51,1.64,52.8,17.54,17.12,12.55,7644576.55,631833,8.27,58.49,7.82,14.9,18.79,252456,330466,23911,25001,5.01,"20260303_125554",19997,35448155
"Melbourne",2019,2,2131813,3935.84,1.66,-0.55,22.8,2.21,58.89,27.82,29.09,0.43,1.54,50.23,21.52,16.35,11.9,7644576.55,631833,8.27,58.49,7.82,14.9,18.79,252456,330466,23911,25001,5.01,"20260303_125554",19997,40866353
"Melbourne",2021,1,2131813,3897.48,1.64,-2.49,22.88,2.07,63.22,31.66,28.92,1.36,1.28,56.62,15.21,16.55,11.61,7876036.915,694765,8.82,62.7,7.43,13.35,16.52,297235,341941,34734,20855,5.01,"20260303_125554",19987,39407016
"Melbourne",2021,2,2131813,3867.58,1.63,-2.27,22.3,2.28,59.29,29.04,27.72,1.33,1.19,54.16,19.06,15.76,11.02,7876036.915,694765,8.82,62.7,7.43,13.35,16.52,297235,341941,34734,20855,5.01,"20260303_125554",19987,43004213
"Melbourne",2024,1,2131813,3881.14,1.64,-2.9,23.4,1.69,74.69,37.97,27.06,7.37,2.28,56.98,12.94,14.42,15.66,8157284.288,817308,10.02,71.33,3.94,9.2,15.52,313788,363964,106061,33494,5.01,"20260303_125554",19987,36596320
"Melbourne",2024,2,2131813,3878.92,1.63,-1.99,23.28,1.76,73.81,37.74,26.7,7.13,2.24,56.88,13.37,14.24,15.51,8157284.288,817308,10.02,71.33,3.94,9.2,15.52,313788,363964,106061,33494,5.01,"20260303_125554",19987,37084783
"Melbourne",2026,1,2131813,3895.38,1.64,-2.54,23.48,1.66,74.87,39.13,25.14,8.3,2.3,59.94,11.54,11.18,17.33,8250439.101,838957,10.17,74.35,3.74,7.69,14.22,328635,360150,115057,35116,5.01,"20260303_125554",19987,35887686
"Melbourne",2026,2,2131813,3893.67,1.64,-1.61,23.35,1.75,73.57,38.74,24.67,7.92,2.25,59.88,12.21,11.02,16.9,8250439.101,838957,10.17,74.35,3.74,7.69,14.22,328635,360150,115057,35116,5.01,"20260303_125554",19987,36528381
