"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",2956,2895,2837,2522,2526,-0.145466847090663
"10271","10271",2956,2895,2837,2522,2526,-0.145466847090663
"2","2",2370,2363,2367,2298,2304,-0.0278481012658228
"3","3",7575,7575,6613,6110,6313,-0.166600660066007
"4","4",4926,5306,5350,5411,5743,0.165854648802274
"5","5",1537,1534,1523,1458,1458,-0.0513988288874431
"6","6",4964,5097,5145,5477,5472,0.102336825141015
"7","7",1344,1342,1472,1832,1561,0.161458333333333
"8","8",3017,3159,3411,2844,2646,-0.122969837587007
"9","9",2388,2505,2376,2398,2363,-0.0104690117252931
"10","10",1925,1925,1845,2050,1989,0.0332467532467532
"11","11",2143,2149,2149,1985,1985,-0.0737284181054596
"12","12",1630,1633,1633,1598,1598,-0.0196319018404908
"13","13",3964,3916,3981,3028,3257,-0.178355196770938
"15615","15615",3964,3916,3981,3028,3257,-0.178355196770938
"17819","17819",3964,3916,3981,3028,3257,-0.178355196770938
"19954","19954",3964,3916,3981,3028,3257,-0.178355196770938
"14","14",3042,4419,3048,3078,3126,0.0276134122287968
"15","15",1157,1341,1231,1199,1182,0.0216076058772688
"13482","13482",1157,1341,1231,1199,1182,0.0216076058772688
"16","16",2151,2611,2669,2674,2816,0.309158530915853
"13229","13229",2151,2611,2669,2674,2816,0.309158530915853
"19867","19867",2151,2611,2669,2674,2816,0.309158530915853
"17","17",4470,4718,4548,4484,4459,-0.00246085011185682
"18","18",2493,2499,2457,2519,2368,-0.0501403931006819
"19","19",7173,7168,6786,7002,6899,-0.0381988010595288
"20","20",1934,1934,1934,2066,2023,0.0460186142709411
"21","21",8937,8983,8995,8845,8972,0.0039163030099586
"22","22",3201,3115,2716,2671,2755,-0.139331458919088
"10774","10774",3201,3115,2716,2671,2755,-0.139331458919088
"11352","11352",3201,3115,2716,2671,2755,-0.139331458919088
"23","23",2483,2305,2305,2007,2006,-0.192106322996375
"24","24",1468,1469,1469,1317,1317,-0.102861035422343
"25","25",2217,2216,2216,2184,2185,-0.0144339197113216
"26","26",5056,5087,5078,4662,4621,-0.0860363924050633
"27","27",2480,2480,2575,2345,2345,-0.0544354838709677
"28","28",4302,4293,4296,4110,4104,-0.0460251046025105
"4560","4560",4302,4293,4296,4110,4104,-0.0460251046025105
"29","29",4873,4653,4466,4183,4837,-0.00738764621383132
"30","30",2022,2136,2085,1581,1536,-0.240356083086053
