"city","year","lts","found_routes","access_15min_vol"
"melbourne",16,3,19986,165924928
"melbourne",16,4,19987,321674240
"melbourne",21,3,19983,177149919
"melbourne",21,4,19984,292102563
"melbourne",26,3,19984,104228679
"melbourne",26,4,19986,142137677
"melbourne",16,1,19959,34296049
"melbourne",16,2,19959,39379622
"melbourne",19,1,19997,35448155
"melbourne",19,2,19997,40866353
"melbourne",21,1,19987,39407016
"melbourne",21,2,19987,43004213
"melbourne",24,1,19987,36596320
"melbourne",24,2,19987,37084783
"melbourne",26,1,19987,35887686
"melbourne",26,2,19987,36528381
