"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",3408,3398,3522,3393,3393,3052,-0.104460093896714
"2","2",2102,2102,1383,1992,1992,1851,-0.119410085632731
"3","3",4479,4467,4244,4402,4402,4093,-0.0861799508818933
"4","4",4868,3400,3397,3743,3747,2688,-0.447822514379622
"5","5",4111,4103,3723,3742,3745,3882,-0.0557042082218438
"6","6",1364,1372,1364,1360,1532,1532,0.12316715542522
"7","7",709,709,712,712,712,810,0.142454160789845
"8","8",3853,3853,3768,4463,4465,4100,0.0641058915131067
"9","9",2746,2746,2899,2936,2905,2823,0.028040786598689
"10","10",2904,2904,2814,2821,2821,2718,-0.0640495867768595
"8210","8210",2904,2904,2814,2821,2821,2718,-0.0640495867768595
"18205","18205",2904,2904,2814,2821,2821,2718,-0.0640495867768595
"11","11",5961,5969,5945,5927,5924,4968,-0.166582788122798
"12","12",7777,7780,7576,7219,7302,7328,-0.0577343448630577
"13","13",3874,3874,4078,4094,4094,4437,0.14532782653588
"14","14",1132,1129,1129,1019,1019,1097,-0.0309187279151943
"15","15",3728,3563,2904,2866,2866,3156,-0.15343347639485
"16","16",10198,10198,10104,10568,10078,10809,0.0599137085703079
"17","17",5393,5398,5388,4412,4412,3999,-0.258483218987576
"18","18",3305,3305,3298,3367,3370,3371,0.0199697428139183
"19","19",1247,1247,1359,1345,1345,1241,-0.00481154771451484
"20","20",4227,4357,4235,4216,4216,3907,-0.0757038088478827
"21","21",6440,4349,4434,3843,3924,3545,-0.449534161490683
"22","22",3653,3647,3310,3288,3288,3402,-0.0687106487818232
"23","23",4611,4611,4817,4770,4770,4770,0.0344827586206897
"24","24",8185,8240,8179,7761,7761,7932,-0.0309102015882712
"25","25",3000,3000,3389,3171,3283,3169,0.0563333333333333
"26","26",2547,2547,2548,2546,2546,2546,-0.000392618767177071
"27","27",4534,4639,4369,4214,4388,4493,-0.00904278782531981
"28","28",2883,2875,2608,2696,2699,2083,-0.277488727020465
"29","29",9614,9470,8269,8656,8655,8861,-0.0783232785521115
"30","30",1835,2299,2107,1912,1912,2077,0.131880108991826
"31","31",1279,1279,931,1347,1347,1347,0.0531665363565285
"32","32",1914,1914,1915,1917,1917,1917,0.00156739811912226
"33","33",1937,1937,1809,1855,1855,1857,-0.0413009808982963
"1354","1354",1937,1937,1809,1855,1855,1857,-0.0413009808982963
"34","34",2093,2015,2015,2009,2009,2476,0.182990922121357
"35","35",5635,4742,4585,4746,4730,4798,-0.148535936113576
"36","36",2314,2314,2280,2161,2161,2325,0.00475367329299914
"37","37",3828,3828,3816,3750,3750,3732,-0.0250783699059561
"38","38",3017,3017,3672,3468,3468,3425,0.135233675836924
"39","39",9010,8689,8588,8739,8737,9284,0.0304106548279689
"40","40",8539,8742,5333,5321,5499,5496,-0.356364913924347
"41","41",2714,2711,2738,2062,2070,2593,-0.0445836403831982
"42","42",4655,4764,4016,5409,5341,6839,0.469172932330827
"43","43",2958,2533,2285,2273,2273,3148,0.0642325895875592
"44","44",1947,1922,1914,1909,1909,1909,-0.0195172059578839
"45","45",3465,3635,3346,3339,3339,3325,-0.0404040404040404
"46","46",6938,6925,6284,6702,6702,6916,-0.00317094263476506
"47","47",3082,3078,3106,3211,3211,3180,0.0317975340687865
"48","48",6613,6317,5899,6070,5803,5935,-0.102525328897626
"49","49",2159,2145,2150,2140,2164,2140,-0.00880037054191755
"50","50",2516,2516,2026,2036,2036,2034,-0.191573926868045
"51","51",1805,1802,2495,895,895,1185,-0.343490304709141
"14462","14462",1805,1802,2495,895,895,1185,-0.343490304709141
"52","52",6828,7147,7264,7296,7287,7287,0.0672231985940246
"53","53",1884,1725,1732,1734,1734,1723,-0.0854564755838641
"54","54",1411,1409,1409,1413,1413,1562,0.107016300496102
"55","55",4903,4859,5041,5075,5075,5093,0.0387517846216602
"56","56",4494,4500,4033,4459,4459,4744,0.0556297285269248
"57","57",1389,1389,1455,1458,1458,1412,0.0165586753059755
"58","58",5226,5226,5071,5159,5281,5465,0.045732874091083
"59","59",3919,3921,3828,3143,3147,3283,-0.162286297524879
"60","60",6187,6187,6006,5721,5689,5688,-0.0806529820591563
"61","61",5323,5330,3451,3612,3612,3222,-0.394702235581439
"62","62",2610,2610,2847,2990,2990,2990,0.145593869731801
"63","63",4357,4396,3936,3896,3894,4295,-0.0142299747532706
"64","64",10756,10289,10566,10322,10322,11274,0.0481591669765712
"65","65",2048,1964,2066,1681,1681,1686,-0.1767578125
"66","66",1651,1650,1626,1766,1766,1789,0.0835857056329497
"67","67",1564,1564,1434,1387,1387,1368,-0.125319693094629
"68","68",5617,5627,4143,4218,4218,4218,-0.249065337368702
"69","69",5487,5723,5784,5482,5311,5489,0.000364497904137051
"70","70",2850,3222,2524,2423,2423,2358,-0.172631578947368
"71","71",4759,4750,4735,5627,5667,5345,0.123135112418575
"72","72",2394,2396,2338,2181,2181,2181,-0.0889724310776942
"73","73",2136,2143,2682,2426,2426,2426,0.135767790262172
"14428","14428",2136,2143,2682,2426,2426,2426,0.135767790262172
"74","74",7035,7032,7206,6800,6801,6800,-0.0334044065387349
"75","75",2862,2885,2504,2604,2664,2747,-0.0401816911250873
"76","76",539,539,539,760,760,751,0.393320964749536
"77","77",1030,1024,1024,1023,1023,1017,-0.012621359223301
"78","78",3360,3344,3336,3344,3344,3659,0.0889880952380952
"79","79",8374,8374,8743,8958,9093,7969,-0.0483639837592548
"80","80",5274,5274,5240,7368,6109,5799,0.0995449374288965
"81","81",5014,5014,4725,4658,4660,4657,-0.0712006382130036
"82","82",3354,3352,3205,3358,3223,3290,-0.0190816935002982
"83","83",2401,2973,2745,2731,2731,2731,0.137442732194919
"84","84",5141,5134,4887,4853,5095,4843,-0.0579653763859171
"85","85",4767,4761,4875,4846,4855,5472,0.147891755821271
"86","86",2476,2385,2384,2315,2315,3112,0.25686591276252
"87","87",1034,1034,1039,1041,1041,1042,0.00773694390715667
"88","88",5289,5286,5257,5266,5267,5236,-0.0100207978823974
"89","89",4267,4267,3543,3549,3549,4484,0.0508554019217249
"90","90",8341,8232,9165,7807,7807,7990,-0.0420812852175998
"91","91",1381,1121,1236,1257,1257,1257,-0.0897900072411296
"92","92",2957,2959,2471,2471,2472,2609,-0.11768684477511
"93","93",2336,2341,2913,2506,2506,2843,0.217037671232877
"94","94",1489,1527,1519,1515,1515,1533,0.0295500335795836
"95","95",2791,2789,2791,2779,2777,2941,0.053744177714081
"96","96",9900,9667,9903,9796,9802,9251,-0.0655555555555556
"97","97",2626,2626,3182,3175,3175,3257,0.24028941355674
"98","98",3681,3681,4669,4061,4061,4090,0.111111111111111
"99","99",10507,10283,8888,9230,9232,8931,-0.149995241267726
"100","100",6321,6262,7548,6304,6304,6308,-0.00205663660813162
"101","101",8388,8388,8690,7828,7377,7750,-0.0760610395803529
"102","102",4416,4416,4241,4249,4249,4550,0.0303442028985507
"103","103",3562,3609,3613,3619,3619,3585,0.006457046603032
"104","104",12312,12305,11758,14474,14468,12513,0.0163255360623782
"105","105",2700,2698,2535,2527,2527,2736,0.0133333333333333
"106","106",7675,7660,7206,7572,7572,7306,-0.0480781758957655
"107","107",1267,1352,1379,1514,1514,2032,0.603788476716653
"108","108",5420,5329,5512,5296,5296,5393,-0.00498154981549816
"109","109",5680,5674,6457,6252,6255,6257,0.101584507042254
"110","110",1930,1930,1930,1938,1988,1938,0.00414507772020725
"111","111",2042,2042,1371,2347,2347,1995,-0.0230166503428012
"112","112",4141,4079,4220,4251,4257,4409,0.0647186669886501
"113","113",5039,5038,4864,4876,3710,5257,0.0432625520936694
"114","114",3195,3195,3265,3506,3506,3548,0.110485133020344
"115","115",619,619,1269,1254,1368,1153,0.862681744749596
"116","116",2397,2397,1179,1140,1140,1151,-0.519816437213183
"16613","16613",2397,2397,1179,1140,1140,1151,-0.519816437213183
"117","117",2765,2758,1867,1958,1958,1958,-0.291862567811935
"118","118",4085,3531,3493,3450,3450,4161,0.0186046511627907
"119","119",6702,6705,6826,6528,7242,6528,-0.0259623992837959
"120","120",3693,3695,3692,3616,3616,5500,0.48930408881668
"19103","19103",3693,3695,3692,3616,3616,5500,0.48930408881668
"121","121",6500,6597,5030,4681,3836,3412,-0.475076923076923
"122","122",4258,4297,4828,5442,5442,4960,0.164866134335369
"123","123",2345,2231,2951,3243,3244,3187,0.359061833688699
"124","124",6787,6780,6885,6790,6790,7228,0.0649771622218948
"125","125",3100,3102,3270,3681,3381,3584,0.156129032258065
"126","126",3135,3130,3547,3384,3318,3092,-0.0137161084529506
"127","127",2500,2501,3172,2568,2568,2742,0.0968
"5536","5536",2500,2501,3172,2568,2568,2742,0.0968
"128","128",4192,3903,3494,3355,3355,3357,-0.19918893129771
"129","129",5763,5763,3140,3086,3086,3074,-0.466597258372375
"130","130",4132,3842,3878,3780,3780,2971,-0.280977734753146
"131","131",1186,1186,1198,1524,1516,2097,0.768128161888701
"132","132",2374,2608,2714,2721,2721,2620,0.103622577927548
"133","133",3496,3650,3606,3629,3623,3623,0.0363272311212815
"134","134",2157,1797,1796,1795,1795,2079,-0.0361613351877608
"135","135",1629,1629,1618,1613,1613,1634,0.00306936771025169
"136","136",5131,5222,4788,4796,4775,4657,-0.0923796530890665
"137","137",2441,2307,2415,2806,2806,3300,0.351904956984842
"138","138",2755,2755,2837,2943,2948,2948,0.07005444646098
"139","139",2781,2777,2747,2815,2815,3039,0.09277238403452
"140","140",2079,2377,2517,2278,2281,2103,0.0115440115440115
"141","141",4267,4267,3683,3931,3931,3937,-0.0773377079915632
"142","142",2591,2591,2459,2230,2230,2145,-0.172134311076804
"143","143",2106,2106,2544,2063,2063,2063,-0.0204178537511871
"144","144",2703,2706,2702,2729,2886,2701,-0.000739918608953015
"145","145",1932,1932,2050,1557,1557,1559,-0.193064182194617
"146","146",4041,4041,4017,3992,4022,4006,-0.00866122246968572
"147","147",2369,2369,2538,2262,2537,2296,-0.0308146897425074
"148","148",3584,3584,3577,3571,3571,3572,-0.00334821428571429
"149","149",3405,3405,3683,3259,3256,3338,-0.0196769456681351
"150","150",990,990,1198,972,972,972,-0.0181818181818182
"151","151",1847,1847,1848,1860,1860,2623,0.420140768814293
"152","152",2919,2918,2237,2062,1936,1890,-0.352517985611511
"153","153",2182,2182,2186,2093,2093,1988,-0.0889092575618698
"154","154",4506,4504,3495,3382,3463,3447,-0.235019973368842
"155","155",4278,4243,4098,4411,4411,3646,-0.147732585320243
"156","156",2992,3142,3183,3090,3090,3103,0.0370989304812834
"157","157",6443,6438,6579,5234,5234,5280,-0.180505975477262
"158","158",9092,9195,8113,8352,8346,10821,0.190167179938407
"159","159",2338,2338,2590,2592,2592,2596,0.110350727117194
"160","160",4913,4794,5012,4846,4846,4843,-0.0142479136983513
"161","161",3344,3324,3072,3184,3184,3590,0.0735645933014354
"162","162",4451,4531,4664,4435,4435,4314,-0.0307796000898674
"163","163",5571,5571,5828,5746,5725,5447,-0.0222581224196733
"164","164",7765,7842,7723,8018,7630,7716,-0.00631036703155183
"165","165",1705,1705,1705,1705,1705,1695,-0.00586510263929619
"166","166",7478,7442,6442,7140,7140,6946,-0.0711420165819738
"167","167",5219,6217,6223,5357,5357,5723,0.0965702241808776
"168","168",2847,2847,3074,2869,2869,2987,0.0491745697225149
"169","169",6279,7458,7605,5427,5282,5199,-0.172001911132346
"170","170",1442,1442,1329,1333,1333,1444,0.0013869625520111
"171","171",3395,3405,2842,2974,2971,2908,-0.143446244477172
"172","172",2441,2439,2352,2591,2591,2539,0.040147480540762
