"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",2000,2427,1768,1934,1907,-0.0465
"2","2",4659,4587,4160,4156,4155,-0.108177720540889
"3","3",3090,3362,3049,3047,3055,-0.0113268608414239
"4","4",1187,879,879,874,874,-0.2636899747262
"8378","8378",1187,879,879,874,874,-0.2636899747262
"5","5",7656,7489,8338,7663,7370,-0.0373563218390805
"6","6",4237,3598,3424,3863,3930,-0.0724569270710408
"7","7",2934,2729,2602,2359,2359,-0.195978186775733
"8","8",3199,3135,3059,3287,3282,0.0259456080025008
"9","9",709,1026,939,932,932,0.314527503526093
"10","10",3581,3435,3771,3933,3933,0.0982965652052499
"11","11",7653,7527,8350,8277,8213,0.0731739187246831
"12","12",3071,3014,3000,3191,3018,-0.0172582220774992
"13","13",4254,5390,4169,4638,4637,0.0900329102021627
"14","14",5176,5924,6095,5608,5506,0.0637557959814529
"15","15",6157,5986,6065,7471,7468,0.212928374208218
"16","16",3631,3933,3344,3518,3453,-0.0490223079041586
"17","17",4872,4256,4145,4076,4468,-0.0829228243021346
"18","18",2834,3761,4470,4896,3051,0.0765702187720536
"19","19",3736,3808,4643,3926,4092,0.0952890792291221
"20","20",2252,2359,2251,2249,2249,-0.00133214920071048
"21","21",3615,4097,4222,4033,4035,0.116182572614108
"22","22",8113,7810,7557,6545,6881,-0.151855047454702
"23","23",1765,2006,2002,2005,2005,0.135977337110482
"24","24",3695,3563,3675,3817,3833,0.0373477672530447
"25","25",2535,2418,2442,2523,2429,-0.0418145956607495
"26","26",5363,5365,5517,5503,5598,0.0438187581577475
"27","27",3029,3002,2960,3176,3176,0.0485308682733575
"28","28",6088,6129,7050,6444,6920,0.136662286465177
"29","29",2299,2295,2543,2412,2292,-0.00304480208786429
"30","30",8752,8392,9019,7788,8039,-0.0814670932358318
"31","31",2439,2434,2511,2515,2515,0.031160311603116
"32","32",5564,5315,5109,5301,5385,-0.0321710999281093
"33","33",7616,7875,7992,7531,7530,-0.0112920168067227
"34","34",481,624,481,481,481,0
"35","35",2130,2175,3208,3353,3410,0.60093896713615
"36","36",2832,2792,2674,2720,2719,-0.0399011299435028
"37","37",2310,2959,2471,2475,2475,0.0714285714285714
"38","38",1679,1745,1566,1568,1568,-0.0661107802263252
"39","39",2540,2524,2521,2673,2669,0.0507874015748032
"40","40",8173,8269,8594,7808,9316,0.139850728006852
"41","41",4205,4501,4689,4695,4696,0.116765755053508
"42","42",5015,5010,5201,4799,4905,-0.0219341974077767
"43","43",3096,3082,2833,3292,3502,0.131136950904393
"44","44",2377,2130,2092,1956,1949,-0.180058897770299
"4323","4323",2377,2130,2092,1956,1949,-0.180058897770299
"45","45",8891,8548,8433,8621,8463,-0.048138567090316
"46","46",3390,3436,3398,3396,3396,0.00176991150442478
"47","47",2791,3450,3231,3371,3370,0.207452525976353
"48","48",2698,2698,2611,2568,2566,-0.0489251297257228
"49","49",6463,6499,6678,6687,6683,0.0340399195420084
"50","50",1734,2125,2507,1825,1732,-0.00115340253748558
"51","51",2154,2125,2110,2490,2493,0.157381615598886
"5006","5006",2154,2125,2110,2490,2493,0.157381615598886
"52","52",2385,2817,2971,2250,2390,0.00209643605870021
"53","53",4774,4871,4709,4583,4583,-0.0400083787180561
"54","54",2345,2223,2539,2398,2398,0.0226012793176972
"55","55",6969,6567,7780,8158,7736,0.110058831970154
"56","56",2389,2298,2211,2207,2142,-0.103390539974885
"57","57",2920,2821,2957,3167,3175,0.0873287671232877
"58","58",2658,2958,3218,4694,3283,0.235139202407825
"59","59",7123,6868,6840,7939,7891,0.10781973887407
"60","60",1309,865,1083,933,979,-0.252100840336134
"61","61",9357,8928,9118,9497,8979,-0.0403975633215774
"62","62",2210,2163,1971,1968,1992,-0.0986425339366516
"63","63",1741,2069,1774,1872,1885,0.0827110855829983
"64","64",2293,2596,2790,2536,2536,0.105974705625818
"65","65",3337,3334,3340,3325,3325,-0.00359604435121366
"66","66",9026,8127,8480,8663,8574,-0.0500775537336583
"67","67",2234,2305,2011,2003,2003,-0.103401969561325
"68","68",3204,3174,3304,2768,2771,-0.135143570536829
"69","69",2306,2325,2333,2430,2430,0.0537727666955768
"70","70",3093,2558,2831,2927,2897,-0.0633688975105076
"71","71",2437,2574,2678,2654,2629,0.0787853918752565
"72","72",2133,2020,2023,2024,2024,-0.0511017346460384
"73","73",5181,5030,5572,5547,5632,0.0870488322717622
"74","74",7418,6203,5750,8218,8221,0.108250202210839
"5599","5599",7418,6203,5750,8218,8221,0.108250202210839
"75","75",3096,2640,1685,2839,2844,-0.0813953488372093
"76","76",2008,1907,1480,1480,1419,-0.293326693227092
"77","77",2414,2289,2414,2419,2497,0.0343827671913836
"79","79",5844,3880,3480,3477,3354,-0.426078028747433
"80","80",6777,7117,7243,7307,7383,0.0894200973882249
"81","81",4138,4490,4959,5047,5010,0.210729821169647
"82","82",5764,6584,5936,5992,5962,0.0343511450381679
"83","83",6498,6981,6732,7654,7675,0.181132656201908
"84","84",2000,3828,2596,2595,2595,0.2975
"85","85",5984,5627,5743,6314,6624,0.106951871657754
"86","86",2155,2054,2756,2772,2702,0.253828306264501
"87","87",3858,3578,3594,3629,3634,-0.0580611715914982
"88","88",5336,5515,4710,4709,4694,-0.120314842578711
"89","89",4361,3609,3845,4111,4118,-0.0557211648704426
"90","90",5048,3738,3810,4174,4169,-0.174128367670364
"91","91",3605,3053,2718,2894,3230,-0.104022191400832
"92","92",2937,3900,4016,3768,3188,0.0854613551242765
"93","93",2913,1930,1983,1973,1971,-0.323377960865088
"94","94",1547,1620,1453,1451,1451,-0.0620555914673562
"95","95",3732,3735,3630,4771,4452,0.192926045016077
"96","96",3077,2206,2209,2102,2098,-0.318167045823854
"97","97",3695,3201,3728,3307,3353,-0.0925575101488498
"98","98",1825,1960,2180,2176,2176,0.192328767123288
"99","99",1147,1136,1050,1106,1424,0.241499564080209
"100","100",2139,2483,2500,2772,2776,0.297802711547452
"101","101",4321,4283,3710,3789,3649,-0.155519555658412
"102","102",3257,3250,3186,3185,3188,-0.0211851396991096
"103","103",1660,1608,1597,1587,1711,0.0307228915662651
"104","104",9169,7712,7761,8300,8258,-0.0993565274293816
"105","105",4610,4253,4457,4357,4459,-0.0327548806941432
"106","106",2504,2021,1861,1921,1925,-0.231230031948882
"107","107",5426,6058,6314,6188,6218,0.145963877626244
"108","108",3571,3572,4214,3562,3618,0.0131615793895267
"109","109",6248,5986,6271,6625,6603,0.0568181818181818
"110","110",8694,10214,9345,9617,9131,0.0502645502645503
"111","111",3169,3169,2239,2242,2232,-0.295676869674976
"112","112",1605,1611,1614,1601,1600,-0.00311526479750779
"113","113",2084,2155,3144,2157,2161,0.0369481765834933
"114","114",2537,3532,2457,2463,2461,-0.0299566417027986
"115","115",4664,4541,4860,4949,4949,0.061106346483705
"116","116",2491,2607,2134,2284,2347,-0.0578081091930951
"117","117",1719,1708,1641,1761,1761,0.0244328097731239
"118","118",2529,2762,2491,2480,2396,-0.0525899565045473
"119","119",1784,2037,1938,1805,1804,0.0112107623318386
"120","120",2569,2507,2229,2133,2133,-0.169715842740366
"121","121",1829,1591,1527,1341,1341,-0.266812465828321
"12707","12707",1829,1591,1527,1341,1341,-0.266812465828321
"122","122",3889,4187,4557,3500,3488,-0.103111339676009
"123","123",3202,2721,2498,2617,2553,-0.202685821361649
"124","124",4654,4518,4625,4677,4675,0.00451224752900731
"125","125",4268,4223,3688,4035,4155,-0.0264761012183693
"126","126",3528,4272,3649,3826,3821,0.0830498866213152
"127","127",4584,4372,4451,4389,4384,-0.043630017452007
"128","128",1593,5625,1527,2652,2826,0.774011299435028
"129","129",4251,4414,3658,3838,3639,-0.143966125617502
"130","130",7580,7442,7641,7581,7770,0.025065963060686
"131","131",2126,2290,2118,2127,2128,0.000940733772342427
"132","132",6670,6609,6385,6268,6268,-0.0602698650674663
"133","133",4987,5126,5010,6531,6149,0.23300581511931
"134","134",2804,3891,2903,2896,2757,-0.0167617689015692
"135","135",3047,2868,2994,2882,2744,-0.099442074171316
"136","136",1540,1631,1315,1442,1442,-0.0636363636363636
"137","137",2071,2029,2054,2086,2047,-0.0115886045388701
"138","138",8414,8117,8025,7999,7884,-0.0629902543380081
"139","139",3273,3441,3369,3410,3312,0.0119156736938588
"140","140",2695,2677,2505,2394,2394,-0.111688311688312
"142","142",2483,2626,2577,2726,2753,0.108739428111156
"143","143",8114,7090,7052,8956,8469,0.0437515405472024
"144","144",4223,2504,3387,3378,2382,-0.435946009945536
"145","145",3745,8087,3105,3138,1874,-0.499599465954606
"146","146",3550,3534,4226,3972,3553,0.000845070422535211
"147","147",2244,2338,2077,2684,2684,0.196078431372549
"148","148",8421,7646,6920,7634,7615,-0.0957130982068638
"149","149",6401,6602,6720,6714,6714,0.0488986095922512
"150","150",2544,2684,2674,2636,2636,0.0361635220125786
"151","151",2550,2581,2599,2463,2461,-0.0349019607843137
"152","152",3659,3424,3671,3662,3663,0.00109319486198415
"153","153",3630,3219,3226,3055,3057,-0.157851239669421
"154","154",3169,3736,3323,3326,4556,0.437677500788892
"155","155",5525,5530,5123,5017,5128,-0.0718552036199095
"156","156",2586,2367,2383,2629,2382,-0.0788863109048724
"157","157",5039,4561,4251,5053,4603,-0.0865251041873388
"158","158",2421,2158,2093,2150,2072,-0.144155307724081
"159","159",5316,6762,5495,5480,6263,0.178141459744169
"160","160",1522,1522,1558,1551,1552,0.0197109067017083
"161","161",1134,939,1127,1133,1044,-0.0793650793650794
"162","162",2915,2746,2450,2902,2902,-0.00445969125214408
"163","163",3414,3249,1611,1542,1542,-0.548330404217926
"164","164",3459,3441,4200,4537,4083,0.180398959236774
"165","165",1609,1634,1663,2271,2392,0.48663766314481
"166","166",2307,2344,2046,2040,2169,-0.0598179453836151
"167","167",5280,5097,5267,4983,4979,-0.0570075757575758
"168","168",3270,3236,3320,3353,3193,-0.0235474006116208
"169","169",4911,4705,4811,5689,5467,0.113215231113826
"171","171",2929,4341,3400,3430,3560,0.215431888016388
"172","172",7016,5835,5893,5697,5802,-0.1730330672748
"173","173",5750,5434,5447,5152,5434,-0.0549565217391304
"174","174",5545,6103,7379,6299,6300,0.136158701532913
"175","175",783,951,978,1751,1105,0.411238825031928
"176","176",7046,6090,5975,6022,5824,-0.173431734317343
"177","177",2518,2657,3045,2658,2357,-0.0639396346306593
"178","178",2182,2240,2230,2350,2350,0.076993583868011
"179","179",2422,2125,2247,2239,3544,0.463253509496284
"180","180",3313,3227,3101,2839,2828,-0.146392997283429
"181","181",1982,2664,2643,3443,3442,0.736629667003027
"6135","6135",1982,2664,2643,3443,3442,0.736629667003027
"182","182",3528,3520,3528,3360,3360,-0.0476190476190476
"183","183",1443,1420,1428,1424,1424,-0.0131670131670132
"184","184",3112,3115,3394,3990,3993,0.283097686375321
"13198","13198",3112,3115,3394,3990,3993,0.283097686375321
"185","185",4345,3973,4103,4299,4298,-0.0108170310701956
"19879","19879",4345,3973,4103,4299,4298,-0.0108170310701956
"186","186",4060,3728,3949,3813,3813,-0.0608374384236453
"187","187",2380,3118,2944,2637,2276,-0.0436974789915966
"188","188",5341,5291,4548,5329,5320,-0.00393184796854522
"189","189",4212,2846,3154,3170,3170,-0.247388414055081
"19956","19956",4212,2846,3154,3170,3170,-0.247388414055081
"190","190",4410,4127,4151,5389,4986,0.130612244897959
"191","191",1298,1279,1072,1070,1070,-0.175654853620955
"192","192",2222,2316,2492,2206,2211,-0.00495049504950495
"194","194",1733,1999,1786,2073,2053,0.18465089440277
"195","195",1610,1641,1896,2035,2057,0.277639751552795
"196","196",5014,4660,3132,2913,2928,-0.416035101715197
"197","197",7501,7130,7724,7950,7390,-0.0147980269297427
"198","198",5850,5426,5433,5839,5839,-0.00188034188034188
"199","199",4300,4126,4367,4648,4757,0.106279069767442
"200","200",4931,4613,4837,4896,4865,-0.0133847089839789
"201","201",5795,5513,5367,5518,5769,-0.00448662640207075
"202","202",2827,2566,2753,2746,2495,-0.117438981252211
"203","203",4687,4294,3737,2912,3072,-0.344570087475997
"204","204",2824,2338,2620,3084,3081,0.0910056657223796
"205","205",2721,2849,2784,2826,2826,0.0385887541345094
"206","206",2177,1826,2112,2246,1823,-0.162609095084979
"10192","10192",2177,1826,2112,2246,1823,-0.162609095084979
"207","207",1115,1063,1514,1291,1291,0.157847533632287
"208","208",2514,2772,2535,2651,2074,-0.175019888623707
"209","209",3224,3224,3466,2952,3141,-0.0257444168734491
"210","210",3151,3068,2632,2588,2588,-0.178673437004126
"211","211",2391,1698,2065,2224,2224,-0.0698452530322041
"212","212",1994,1983,1808,1846,1777,-0.108826479438315
"213","213",1381,1768,1660,1565,1503,0.0883417813178856
"214","214",7096,7002,6398,6046,6027,-0.15064825253664
"215","215",2952,2634,2445,2127,2316,-0.215447154471545
"216","216",284,707,639,643,663,1.33450704225352
"217","217",4883,4863,4362,5083,5083,0.0409584271963957
"218","218",1432,1538,1610,1361,1361,-0.0495810055865922
"219","219",4223,4999,3571,3848,3862,-0.0854842529007814
"220","220",11207,12328,10458,10495,10495,-0.06353172124565
"221","221",1507,1508,1723,1707,1472,-0.0232249502322495
"222","222",649,1015,1573,1515,1513,1.33127889060092
"223","223",6272,6087,6607,6822,6821,0.087531887755102
"224","224",1675,1642,1685,1683,1683,0.00477611940298507
"225","225",1846,1958,2239,2205,2173,0.177139761646804
"226","226",2101,1878,1715,1858,1855,-0.117087101380295
"227","227",1674,1671,1671,1672,1672,-0.001194743130227
"228","228",5025,4613,5020,4830,4830,-0.0388059701492537
"229","229",7893,7776,7763,8168,8164,0.0343342201951096
"230","230",3755,2598,3220,3468,3967,0.0564580559254328
"231","231",11003,10776,10023,10083,10053,-0.0863400890666182
"232","232",5055,5079,5944,5288,5288,0.0460929772502473
"233","233",2597,2882,2151,2928,2577,-0.00770119368502118
"234","234",4575,5632,4859,5149,4882,0.067103825136612
"235","235",4009,3926,3539,3897,3700,-0.0770765777001746
"236","236",2828,2849,2835,2828,2827,-0.000353606789250354
"237","237",3660,3825,3656,4548,4548,0.242622950819672
"238","238",4849,4865,4892,5223,5511,0.136522994431842
"239","239",2097,1916,1919,2453,2486,0.18550309966619
"16770","16770",2097,1916,1919,2453,2486,0.18550309966619
"240","240",1354,1359,1269,1258,1256,-0.0723781388478582
"241","241",7151,8269,7131,7452,7705,0.0774716822821983
"242","242",1284,1454,2154,2186,1518,0.182242990654206
"243","243",3474,3606,2643,2434,2434,-0.299366724237191
"244","244",1735,1767,2308,2076,1940,0.118155619596542
"245","245",3730,3493,3078,2931,2855,-0.234584450402145
"246","246",4561,4561,4685,5380,5355,0.174084630563473
"247","247",1758,1629,1755,1505,1471,-0.16325369738339
"248","248",3057,3064,3010,2895,2894,-0.0533202486097481
"249","249",3984,3930,4698,3794,4231,0.0619979919678715
"250","250",4509,4540,4984,4942,4856,0.0769571967176758
"251","251",3818,3824,3392,3612,3871,0.0138816134101624
"252","252",2407,2401,2382,2647,2644,0.0984628167843789
"253","253",4071,4071,4126,3887,4217,0.0358634242200933
"254","254",2034,1961,2324,2444,2235,0.0988200589970502
"255","255",1542,1539,1618,1564,1564,0.0142671854734112
"256","256",2375,2072,1698,1965,1891,-0.203789473684211
"257","257",2394,2020,2339,2324,2324,-0.0292397660818713
"258","258",2846,2445,2457,2435,2435,-0.144413211524947
"259","259",8524,7988,7365,7354,7313,-0.14206945096199
"260","260",2787,2535,2627,3046,3062,0.0986724076067456
"261","261",2866,2849,3231,3256,3236,0.129099790648988
"262","262",2531,1865,1940,1919,1994,-0.212169103121296
"263","263",5828,6148,6092,6062,5990,0.0277968428277282
"264","264",2128,2289,2118,2130,2127,-0.000469924812030075
"265","265",5349,5206,5687,5701,5690,0.0637502336885399
"266","266",2502,2486,2605,2613,2610,0.0431654676258993
"267","267",1311,1308,1308,895,895,-0.317315026697178
"268","268",4499,3558,3749,3878,3878,-0.138030673482996
"269","269",2590,2859,2608,2851,2846,0.0988416988416988
"270","270",3192,3059,3311,3409,3477,0.0892857142857143
"271","271",3140,4172,4182,4181,4174,0.329299363057325
"272","272",6310,5142,5314,6192,6419,0.0172741679873217
"273","273",4048,4055,4624,3706,4214,0.0410079051383399
"274","274",5306,5342,5977,5547,5611,0.0574820957406709
"275","275",3004,2612,2989,2991,2993,-0.00366178428761651
"276","276",7027,7195,8496,9180,8260,0.175466059484844
"277","277",1074,1016,1029,1061,1067,-0.00651769087523277
"278","278",1903,1804,1804,2127,1804,-0.0520231213872832
"1170","1170",1903,1804,1804,2127,1804,-0.0520231213872832
"279","279",4792,5302,4563,4500,4457,-0.0699081803005008
"280","280",4364,3683,3505,4133,4424,0.0137488542621448
"281","281",2697,2535,2557,2616,2351,-0.128290693362996
"282","282",1536,1537,1246,1246,1246,-0.188802083333333
"283","283",6210,5605,5721,5710,5711,-0.0803542673107891
"284","284",9160,9164,9816,9441,9828,0.0729257641921397
"285","285",2063,1964,2157,2306,2306,0.11778962675715
"286","286",2337,2166,1864,1914,2359,0.0094137783483098
"287","287",3087,3122,3032,3043,2971,-0.0375769355361192
"288","288",2474,2149,2363,2580,2586,0.0452708164915117
"289","289",4275,4400,4533,4773,4704,0.100350877192982
"290","290",4744,4066,4084,4169,4135,-0.128372681281619
"291","291",3507,3498,3556,3204,3204,-0.086398631308811
"292","292",5736,5769,5335,5948,6071,0.0584030683403068
"293","293",4255,4120,4111,5083,4032,-0.0524089306698002
"294","294",6948,6791,7137,6647,6779,-0.0243235463442717
