"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Minneapolis","2016",1,1491887,8032.49,1.55,0,38.54,83.53,3.21,10.24,2.97,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,"20260226_003201",19940,63425870
"Minneapolis","2016",2,1491887,7564.89,1.47,0,43.53,64.79,23.83,8.76,2.57,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,"20260226_003201",19969,101896647
"Minneapolis","2016",3,1491887,6984.05,1.36,0,34.94,35.87,16.75,46.33,1,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,"20260226_003201",19969,260569294
"Minneapolis","2016",4,1491887,6633.8,1.3,0,24.47,23.91,12.08,36.09,27.88,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,"20260226_003201",19969,376980538
"Minneapolis","2021",1,1491887,7721.65,1.49,-3.87,38.47,86.88,2.31,6.92,3.84,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,"20260226_003201",19984,84862990
"Minneapolis","2021",2,1491887,7561.73,1.46,-0.04,41.58,70.56,20.66,5.68,3.06,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,"20260226_003201",19998,120914518
"Minneapolis","2021",3,1491887,7021.15,1.37,0.53,41.81,45.86,14.61,37.96,1.53,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,"20260226_003201",20000,255167742
"Minneapolis","2021",4,1491887,6655.27,1.3,0.32,39.68,33.73,11.44,28.44,26.35,8011254.587,440995,5.5,62.14,6.87,20.72,10.27,176320,171875,56149,36651,"20260226_003201",20000,377999614
"Minneapolis","2026",1,1491887,7334.69,1.42,-8.69,45.71,95.13,2.8,0.58,1.48,8494334.707,499679,5.88,75.6,11.69,4.63,8.08,255898,175783,55229,12768,"20260226_003201",19999,135605341
"Minneapolis","2026",2,1491887,6976.16,1.36,-7.78,43.1,64.1,34.37,0.61,0.91,8494334.707,499679,5.88,75.6,11.69,4.63,8.08,255898,175783,55229,12768,"20260226_003201",20000,243566450
"Minneapolis","2026",3,1491887,6879.92,1.34,-1.49,45.7,57.02,33.97,8.29,0.71,8494334.707,499679,5.88,75.6,11.69,4.63,8.08,255898,175783,55229,12768,"20260226_003201",20000,292294065
"Minneapolis","2026",4,1491887,6635.73,1.29,0.03,44.25,49.55,25.8,6.56,18.08,8494334.707,499679,5.88,75.6,11.69,4.63,8.08,255898,175783,55229,12768,"20260226_003201",20000,356243608
