"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Minneapolis",2016,1,1491887,3784.91,1.68,0,24.08,1.4,49.57,15.77,29.22,0.99,3.59,52.01,17.3,24.6,6.08,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,5.67,"20260305_041227",20000,31906496
"Minneapolis",2016,2,1491887,3763.55,1.67,0,23.06,1.48,46.2,14.56,27.57,0.96,3.12,50.49,20.41,23.34,5.76,7155156.985,288540,4.03,56.11,6.34,27.1,10.46,122625,124340,5504,36071,5.67,"20260305_041227",20000,34844523
"Minneapolis",2019,1,1491887,3652.79,1.62,-3.49,21.42,1.22,63.56,19.34,31.85,8.17,4.21,45,16.63,23.86,14.51,7412794.323,414224,5.59,57.61,8.84,23.56,9.99,154692,174683,47022,37827,5.67,"20260305_041227",20000,44672758
"Minneapolis",2019,2,1491887,3633.94,1.62,-3.44,20.77,1.36,59.8,17.95,30.49,7.16,4.2,44.07,19.38,22.56,14,7412794.323,414224,5.59,57.61,8.84,23.56,9.99,154692,174683,47022,37827,5.67,"20260305_041227",20000,46990679
"Minneapolis",2021,1,1491887,3620.28,1.61,-4.35,20.73,1.44,63.44,22.74,28.55,8.94,3.2,50.8,12.26,23.57,13.37,8011254.587,440930,5.5,62.14,6.87,20.72,10.27,176320,171875,56085,36651,5.67,"20260305_041227",20000,43710013
"Minneapolis",2021,2,1491887,3592.37,1.6,-4.55,20.2,1.59,59.16,20.9,27.47,7.66,3.13,49.25,15.53,22.44,12.78,8011254.587,440930,5.5,62.14,6.87,20.72,10.27,176320,171875,56085,36651,5.67,"20260305_041227",20000,46047781
"Minneapolis",2024,1,1491887,3544.77,1.57,-6.34,19.95,1.66,61.99,25.2,28.81,7.03,0.94,60.46,23.6,7.06,8.88,8409463.311,486325,5.78,69.26,15.11,6.29,9.34,234251,180230,52809,19034,5.67,"20260305_041227",20000,47094899
"Minneapolis",2024,2,1491887,3453.13,1.53,-8.25,18.51,1.98,48.96,18.9,24.44,4.76,0.86,52.17,35.01,5.31,7.51,8409463.311,486325,5.78,69.26,15.11,6.29,9.34,234251,180230,52809,19034,5.67,"20260305_041227",20000,54513070
"Minneapolis",2026,1,1491887,3490.19,1.55,-7.79,19.5,1.63,61.54,26.85,27.31,6.83,0.54,65.33,19.89,6.53,8.24,8494334.707,499987,5.89,75.6,11.69,4.63,8.08,255898,175783,55538,12768,5.67,"20260305_041227",19910,48918151
"Minneapolis",2026,2,1491887,3425.86,1.52,-8.97,18.37,1.95,50.25,19.82,24.82,5.17,0.44,56.55,30.74,5.56,7.15,8494334.707,499987,5.89,75.6,11.69,4.63,8.08,255898,175783,55538,12768,5.67,"20260305_041227",19910,54872727
