"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"1","1",13192,13259,12824,67,-435,-368,-0.0278956943602183
"2","2",8882,9086,7690,204,-1396,-1192,-0.134204008106282
"3","3",1898,1860,1841,-38,-19,-57,-0.030031612223393
"4","4",10071,9850,9911,-221,61,-160,-0.015887200873796
"5","5",6056,6616,6476,560,-140,420,0.0693527080581242
"6","6",8858,9317,9075,459,-242,217,0.0244976292616844
"7","7",10528,10574,10873,46,299,345,0.0327697568389058
"8","8",5483,5633,6470,150,837,987,0.180010942914463
"9","9",7370,8895,7379,1525,-1516,9,0.00122116689280868
"10","10",10566,10405,10056,-161,-349,-510,-0.0482680295286769
"11","11",16599,17416,15302,817,-2114,-1297,-0.0781372371829628
"12","12",5011,5042,4994,31,-48,-17,-0.00339253641987627
"13","13",8874,7926,8494,-948,568,-380,-0.0428217263917061
"14","14",13531,10434,9082,-3097,-1352,-4449,-0.328800532111448
"15","15",7828,8173,6791,345,-1382,-1037,-0.132473173224323
"16","16",9606,9737,9697,131,-40,91,0.00947324588798668
"17","17",12978,12695,12274,-283,-421,-704,-0.0542456464786562
"18","18",5928,5839,5837,-89,-2,-91,-0.0153508771929825
"19","19",9383,9373,8928,-10,-445,-455,-0.0484919535329852
"20","20",14659,12472,11632,-2187,-840,-3027,-0.206494303840644
"21","21",5964,6013,5800,49,-213,-164,-0.0274983232729712
"22","22",6433,5886,5600,-547,-286,-833,-0.129488574537541
"23","23",7174,6945,6722,-229,-223,-452,-0.0630052969054921
"24","24",11335,11673,9863,338,-1810,-1472,-0.129863255403617
"25","25",7811,7949,7344,138,-605,-467,-0.0597874791960056
"26","26",4814,5309,4649,495,-660,-165,-0.0342750311591192
"27","27",4810,2369,2738,-2441,369,-2072,-0.430769230769231
"28","28",5711,5486,5140,-225,-346,-571,-0.0999824899317107
"29","29",3696,4624,3974,928,-650,278,0.0752164502164502
"30","30",9569,9683,12541,114,2858,2972,0.310586268157592
"31","31",4216,5282,5058,1066,-224,842,0.199715370018975
"32","32",4006,3652,3587,-354,-65,-419,-0.104593110334498
"33","33",8069,7701,7645,-368,-56,-424,-0.0525467839881026
"34","34",5691,3275,3049,-2416,-226,-2642,-0.464241785274996
"35","35",13105,12371,12345,-734,-26,-760,-0.0579931323922167
"36","36",7644,7152,7288,-492,136,-356,-0.0465724751439037
"37","37",12793,11632,11300,-1161,-332,-1493,-0.11670444774486
"38","38",7571,7584,7566,13,-18,-5,-0.000660414740457007
"39","39",3017,2932,3151,-85,219,134,0.0444149817699702
"40","40",15991,15885,14893,-106,-992,-1098,-0.0686636232880996
"41","41",11760,11984,10741,224,-1243,-1019,-0.0866496598639456
"42","42",2726,2726,2568,0,-158,-158,-0.057960381511372
"43","43",7169,6544,6832,-625,288,-337,-0.0470079508997071
