"city","year","lts","found_routes","access_15min_vol"
"minneapolis",16,3,19969,260569294
"minneapolis",16,4,19969,376980538
"minneapolis",21,3,20000,255167742
"minneapolis",21,4,20000,377999614
"minneapolis",26,3,20000,292294065
"minneapolis",26,4,20000,356243608
"minneapolis",16,1,19996,721064180
"minneapolis",16,2,20000,1102872426
"minneapolis",19,1,20000,920595680
"minneapolis",19,2,20000,1365444668
"minneapolis",21,1,19999,1051715204
"minneapolis",21,2,20000,1385346576
"minneapolis",24,1,20000,1588859911
"minneapolis",24,2,20000,3113346276
"minneapolis",26,1,20000,1656677768
"minneapolis",26,2,20000,3049369391
