"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Montpellier",2016,1,287753,7800.54,1.54,0,29.71,83.41,0.56,7.09,8.91,4766749.523,212705,4.46,52.57,1.06,17.8,28.57,165165,34811,0,12729,18.17,"20260226_122802",19539,26137072
"Montpellier",2016,2,287753,7754.01,1.52,0,30.38,81.42,2.68,7.11,8.75,4766749.523,212705,4.46,52.57,1.06,17.8,28.57,165165,34811,0,12729,18.17,"20260226_122802",19574,27591819
"Montpellier",2016,3,287753,7654.07,1.48,0,29.03,62.54,3.57,27.95,5.91,4766749.523,212705,4.46,52.57,1.06,17.8,28.57,165165,34811,0,12729,18.17,"20260226_122802",19929,42634345
"Montpellier",2016,4,287753,6779.1,1.32,0,17.61,35.36,2.45,17.71,44.45,4766749.523,212705,4.46,52.57,1.06,17.8,28.57,165165,34811,0,12729,18.17,"20260226_122802",19982,66820239
"Montpellier",2021,1,287753,7721.17,1.49,-1.02,30.23,88.48,0.47,4.6,6.42,5478253.83,248935,4.54,57.87,0.98,13.04,28.12,175093,42145,11040,20657,18.17,"20260226_122802",19819,33520610
"Montpellier",2021,2,287753,7667.92,1.48,-1.11,29.83,86.86,2.19,4.62,6.32,5478253.83,248935,4.54,57.87,0.98,13.04,28.12,175093,42145,11040,20657,18.17,"20260226_122802",19844,34924415
"Montpellier",2021,3,287753,7405.9,1.43,-3.24,27.9,69.7,2.82,22.26,5.19,5478253.83,248935,4.54,57.87,0.98,13.04,28.12,175093,42145,11040,20657,18.17,"20260226_122802",19950,45601946
"Montpellier",2021,4,287753,6726.71,1.3,-0.77,24.77,40.42,1.8,14.6,43.15,5478253.83,248935,4.54,57.87,0.98,13.04,28.12,175093,42145,11040,20657,18.17,"20260226_122802",19998,67082547
"Montpellier",2026,1,287753,7709.38,1.49,-1.17,41.62,91.85,2.59,1.42,4.12,5908120.877,324853,5.5,61.76,5.55,6.46,26.23,214859,47311,12884,49799,18.17,"20260226_122802",19868,36965346
"Montpellier",2026,2,287753,7515.49,1.45,-3.08,41.24,81.36,13.45,1.47,3.69,5908120.877,324853,5.5,61.76,5.55,6.46,26.23,214859,47311,12884,49799,18.17,"20260226_122802",19924,44693523
"Montpellier",2026,3,287753,7380.32,1.42,-3.58,38.85,77.81,13.15,5.42,3.6,5908120.877,324853,5.5,61.76,5.55,6.46,26.23,214859,47311,12884,49799,18.17,"20260226_122802",19973,46156902
"Montpellier",2026,4,287753,6894.41,1.33,1.7,33.95,52.25,10.96,4.48,32.29,5908120.877,324853,5.5,61.76,5.55,6.46,26.23,214859,47311,12884,49799,18.17,"20260226_122802",19986,60940960
