"city","year","lts","found_routes","access_15min_vol"
"montpellier",16,3,19929,42634345
"montpellier",16,4,19982,66820239
"montpellier",21,3,19950,45601946
"montpellier",21,4,19998,67082547
"montpellier",26,3,19973,46156902
"montpellier",26,4,19986,60940960
"montpellier",16,1,19744,160342753
"montpellier",16,2,19744,167766739
"montpellier",19,1,19759,189311051
"montpellier",19,2,19761,193710775
"montpellier",21,1,19907,203007252
"montpellier",21,2,19908,208159393
"montpellier",24,1,19930,208199441
"montpellier",24,2,19934,245157831
"montpellier",26,1,19991,219853631
"montpellier",26,2,19997,278048538
