"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Montréal","2016",1,3017278,8461.28,1.54,0,29.29,86.24,1.89,3.33,8.52,5219723.688,228901,4.39,55.22,6.16,10.64,27.98,113653,95967,12447,6835,"20260226_001238",19843,100093070
"Montréal","2016",2,3017278,8399.09,1.53,0,32.05,73.55,16.65,2.7,7.08,5219723.688,228901,4.39,55.22,6.16,10.64,27.98,113653,95967,12447,6835,"20260226_001238",19959,125928121
"Montréal","2016",3,3017278,8182.24,1.49,0,29.24,61.43,12.78,20.02,5.75,5219723.688,228901,4.39,55.22,6.16,10.64,27.98,113653,95967,12447,6835,"20260226_001238",19990,175718356
"Montréal","2016",4,3017278,7344.43,1.34,0,16.15,27.28,6.92,10.85,54.94,5219723.688,228901,4.39,55.22,6.16,10.64,27.98,113653,95967,12447,6835,"20260226_001238",20000,370607986
"Montréal","2021",1,3017278,8276.47,1.5,-2.18,37.99,89.98,2.58,1.77,5.65,5596552.904,361856,6.47,62.41,8.49,7.75,21.35,159963,140730,52832,8332,"20260226_001238",19925,118646337
"Montréal","2021",2,3017278,8057.1,1.46,-4.07,42.85,73.14,20.67,1.63,4.55,5596552.904,361856,6.47,62.41,8.49,7.75,21.35,159963,140730,52832,8332,"20260226_001238",19977,156090781
"Montréal","2021",3,3017278,7920.83,1.43,-3.19,40.19,64.39,20.5,11.46,3.63,5596552.904,361856,6.47,62.41,8.49,7.75,21.35,159963,140730,52832,8332,"20260226_001238",19993,209455615
"Montréal","2021",4,3017278,7248.44,1.31,-1.31,25.4,32.65,11.85,6.89,48.59,5596552.904,361856,6.47,62.41,8.49,7.75,21.35,159963,140730,52832,8332,"20260226_001238",19994,378488799
"Montréal","2026",1,3017278,7917.86,1.44,-6.42,57.43,96.21,1.32,0.21,2.25,5733093.386,505281,8.81,73.87,7.3,4.05,14.77,270841,135040,88639,10761,"20260226_001238",18823,134218957
"Montréal","2026",2,3017278,7796.01,1.41,-7.18,57.96,83.24,14.4,0.19,2.17,5733093.386,505281,8.81,73.87,7.3,4.05,14.77,270841,135040,88639,10761,"20260226_001238",19120,168213665
"Montréal","2026",3,3017278,7794.91,1.41,-4.73,57,81.34,14.58,1.93,2.15,5733093.386,505281,8.81,73.87,7.3,4.05,14.77,270841,135040,88639,10761,"20260226_001238",19436,174948395
"Montréal","2026",4,3017278,7590.53,1.37,3.35,47.02,62.81,14.96,1.9,20.33,5733093.386,505281,8.81,73.87,7.3,4.05,14.77,270841,135040,88639,10761,"20260226_001238",20000,255047501
