"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Montréal",2016,1,3017278,4047.15,1.75,0,26.15,1.22,40.65,21.32,17.03,1.81,0.48,65.73,6.11,9.06,19.06,5219723.688,228901,4.39,55.22,6.16,10.64,27.98,113653,95967,12447,6835,5.05,"20260303_131828",19999,35058149
"Montréal",2016,2,3017278,4023.73,1.74,0,24.96,1.21,38.31,20.41,15.67,1.76,0.46,61.64,11.87,8.25,18.22,5219723.688,228901,4.39,55.22,6.16,10.64,27.98,113653,95967,12447,6835,5.05,"20260303_131828",20000,39060754
"Montréal",2019,1,3017278,3905.92,1.69,-3.49,23.91,1.81,44.83,22.73,16.48,4.09,1.53,66.85,8.83,6.7,17.61,5396702.224,288173,5.34,59.82,7.63,10,22.55,128273,109874,36849,13177,5.05,"20260303_131828",19982,40357932
"Montréal",2019,2,3017278,3855.25,1.67,-4.19,22.73,1.79,41.71,21.41,14.93,3.84,1.53,61.31,15.63,6.33,16.72,5396702.224,288173,5.34,59.82,7.63,10,22.55,128273,109874,36849,13177,5.05,"20260303_131828",19982,45223004
"Montréal",2021,1,3017278,3835.91,1.65,-5.22,22.87,1.84,51.55,25.52,20.59,5.03,0.41,66.5,11.33,5.69,16.48,5596552.904,361856,6.47,62.41,8.49,7.75,21.35,159963,140730,52832,8332,5.05,"20260303_131828",19968,43523176
"Montréal",2021,2,3017278,3797.34,1.64,-5.63,21.97,1.89,47.8,23.87,18.95,4.59,0.39,62.12,16.93,5.39,15.57,5596552.904,361856,6.47,62.41,8.49,7.75,21.35,159963,140730,52832,8332,5.05,"20260303_131828",19988,48102689
"Montréal",2024,1,3017278,3801.79,1.64,-6.06,22.54,1.96,57.21,33.12,15.81,7.46,0.82,82.75,8.45,1.57,7.23,5734814.293,482582,8.41,71.18,7.94,4.86,16.02,251123,126154,93828,11477,5.05,"20260303_131828",18871,44925386
"Montréal",2024,2,3017278,3776.16,1.62,-6.15,21.9,2.1,52.79,30.41,14.82,6.79,0.78,77.4,14.17,1.46,6.97,5734814.293,482582,8.41,71.18,7.94,4.86,16.02,251123,126154,93828,11477,5.05,"20260303_131828",19114,48321991
"Montréal",2026,1,3017278,3738.38,1.61,-7.63,22.4,2.1,60.05,37.06,15.94,6.39,0.65,85.29,7.46,1.03,6.23,5733093.386,505281,8.81,73.87,7.3,4.05,14.77,270841,135040,88639,10761,5.05,"20260303_131828",18766,43415205
"Montréal",2026,2,3017278,3730.48,1.61,-7.29,21.94,2.27,55.51,33.72,15.08,6.09,0.62,80.7,12.27,1,6.03,5733093.386,505281,8.81,73.87,7.3,4.05,14.77,270841,135040,88639,10761,5.05,"20260303_131828",19075,45830099
