"city","year","lts","found_routes","access_15min_vol"
"montréal",16,3,19990,175718356
"montréal",16,4,20000,370607986
"montréal",21,3,19993,209455615
"montréal",21,4,19994,378488799
"montréal",26,3,19436,174948395
"montréal",26,4,20000,255047501
"montréal",16,1,19999,35058149
"montréal",16,2,20000,39060754
"montréal",19,1,19982,40357932
"montréal",19,2,19982,45223004
"montréal",21,1,19968,43523176
"montréal",21,2,19988,48102689
"montréal",24,1,18871,44925386
"montréal",24,2,19114,48321991
"montréal",26,1,18766,43415205
"montréal",26,2,19075,45830099
"montréal",18,1,20000,39658559
"montréal",20,1,19972,42715489
"montréal",22,1,19572,45164010
