"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",3214,3217,3390,3609,3609,3609,0.122899813316739
"2","2",1865,1901,1900,1900,1636,1618,-0.132439678284182
"3","3",2233,2165,2163,2160,2242,2242,0.00403045230631438
"4","4",1020,1026,1026,1017,1016,1009,-0.0107843137254902
"5","5",11944,10316,6866,7865,8158,6758,-0.434192900200938
"6","6",5222,5278,5180,5180,5329,5433,0.0404059747223286
"7","7",4705,4728,4064,4004,4004,4067,-0.135600425079702
"8","8",2440,2436,2436,2220,2203,2203,-0.0971311475409836
"9","9",3268,3219,3217,3152,3097,3094,-0.0532435740514076
"10","10",4923,4299,4425,4431,4431,4603,-0.0650010156408694
"18420","18420",4923,4299,4425,4431,4431,4603,-0.0650010156408694
"11","11",7596,7441,7441,7556,7735,7391,-0.0269878883622959
"12","12",1374,1375,1399,1331,1202,1128,-0.179039301310044
"13","13",1903,1943,1943,1998,1932,1916,0.00683131897004729
"14","14",1408,1409,1426,1426,1432,1386,-0.015625
"15","15",1654,1803,1750,1622,1590,1579,-0.0453446191051995
"16","16",973,1229,1099,1041,1041,1041,0.0698869475847893
"17","17",3301,3204,3318,2650,2681,2677,-0.189033626173887
"18","18",2350,2405,2506,2168,2165,2493,0.0608510638297872
"19","19",2809,2801,3285,1702,1702,1763,-0.372374510501958
"20","20",3962,3786,3727,3726,3793,3561,-0.101211509338718
"21","21",2203,2418,2331,2328,2324,2329,0.0571947344530186
"22","22",3470,12300,3552,3439,3483,3423,-0.0135446685878963
"7516","7516",3470,12300,3552,3439,3483,3423,-0.0135446685878963
"23","23",1307,1440,1396,1401,1393,1393,0.0657995409334353
"24","24",1897,2075,2012,1680,1678,1708,-0.0996309963099631
"25","25",1978,1665,1623,1623,1622,1630,-0.175935288169869
"26","26",4547,4308,4307,4284,4300,4268,-0.0613591378931163
"27","27",3047,3043,2970,2780,2780,2779,-0.0879553659337053
"28","28",1567,1234,1220,1147,1135,1261,-0.19527760051053
"29","29",4181,4113,4107,4025,4078,4127,-0.0129155704376943
"30","30",2941,2640,2722,2650,2860,2861,-0.0272016320979259
"31","31",7440,4130,4128,4126,4350,5028,-0.324193548387097
"32","32",1329,1444,1444,1444,1311,1311,-0.0135440180586907
"33","33",2235,1794,1808,1805,1926,1804,-0.192841163310962
"34","34",1365,1106,1106,1185,1171,1082,-0.207326007326007
"8372","8372",1365,1106,1106,1185,1171,1082,-0.207326007326007
"35","35",2585,2358,2349,2430,2396,2375,-0.0812379110251451
"36","36",3169,3178,3180,3131,3127,3127,-0.0132533922372988
"37","37",2912,2578,2552,2552,2552,2461,-0.154876373626374
"38","38",1740,1541,1541,1541,1478,1478,-0.150574712643678
"39","39",8137,7263,7091,7268,7143,7140,-0.12252672975298
"40","40",13578,11989,11315,11118,11109,11564,-0.148328177934895
"41","41",5924,5726,5186,5195,5555,5604,-0.0540175557056043
"42","42",4032,3492,3491,3462,3457,4112,0.0198412698412698
"43","43",4576,4557,4554,4511,4663,5616,0.227272727272727
"44","44",2489,2536,2021,2205,2195,2328,-0.064684612294094
"45","45",861,867,918,918,918,898,0.0429732868757259
"46","46",1858,1636,1628,1603,1635,1633,-0.121097954790097
"47","47",4085,4190,4222,3115,3280,3497,-0.143941248470012
"48","48",3988,3389,3772,5105,5126,5126,0.285356068204614
"49","49",1156,1143,1143,1143,1146,1146,-0.00865051903114187
"50","50",9366,8508,8511,8540,8726,8408,-0.102284860132394
