"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",1803,1800,1725,1751,1741,-0.0343871325568497
"13730","13730",1803,1800,1725,1751,1741,-0.0343871325568497
"3","3",1234,1613,1442,1661,1650,0.337115072933549
"5204","5204",1234,1613,1442,1661,1650,0.337115072933549
"4","4",2933,2291,2290,2281,2284,-0.22127514490283
"5","5",7611,6646,6610,6221,6402,-0.158849034292471
"6","6",1564,1637,1632,1638,1701,0.0875959079283887
"7","7",1783,1784,1657,1479,1481,-0.169377453729669
"8","8",2213,2243,2145,1925,2033,-0.0813375508359693
"9","9",3769,4017,3976,4409,4545,0.205890156540196
"10","10",2936,2669,1511,2447,1554,-0.470708446866485
"11","11",1705,2164,2184,1641,1641,-0.0375366568914956
"12","12",1595,2211,2144,1547,2131,0.336050156739812
"13","13",2150,1578,1577,1691,1691,-0.213488372093023
"14","14",11553,10826,9663,8921,8921,-0.227819613953086
"15","15",2183,2130,2433,1796,1990,-0.0884104443426477
"636","636",2183,2130,2433,1796,1990,-0.0884104443426477
"1937","1937",2183,2130,2433,1796,1990,-0.0884104443426477
"15092","15092",2183,2130,2433,1796,1990,-0.0884104443426477
"17831","17831",2183,2130,2433,1796,1990,-0.0884104443426477
"19697","19697",2183,2130,2433,1796,1990,-0.0884104443426477
"16","16",537,550,626,648,1165,1.16945996275605
"17","17",1780,1721,1720,1850,1850,0.0393258426966292
"19","19",3520,3523,3535,2003,2603,-0.260511363636364
"20","20",2205,3103,3106,2455,2453,0.112471655328798
"4959","4959",2205,3103,3106,2455,2453,0.112471655328798
"21","21",3733,2677,2710,3077,3077,-0.175729975890705
"23","23",2465,2047,2036,2093,1977,-0.197971602434077
"24","24",2063,1861,1745,1962,2059,-0.00193892389723703
"6996","6996",2063,1861,1745,1962,2059,-0.00193892389723703
"25","25",4201,4900,4830,4391,4391,0.045227326826946
"26","26",2185,3182,3098,2939,2332,0.0672768878718535
"27","27",7992,10024,9357,8919,8946,0.119369369369369
"28","28",1439,1522,1508,1418,1470,0.0215427380125087
"15791","15791",1439,1522,1508,1418,1470,0.0215427380125087
"29","29",2182,2353,2382,2237,2305,0.0563703024747938
"8191","8191",2182,2353,2382,2237,2305,0.0563703024747938
"11043","11043",2182,2353,2382,2237,2305,0.0563703024747938
"30","30",9302,9179,7903,7960,7971,-0.143087508062782
"31","31",2541,2554,2435,2453,2457,-0.0330578512396694
"19378","19378",2541,2554,2435,2453,2457,-0.0330578512396694
"32","32",6913,6819,6809,6841,6617,-0.0428178793577318
"33","33",759,1569,1585,1149,1332,0.754940711462451
"35","35",6054,6268,6105,6150,6132,0.0128840436075322
"36","36",3226,3228,2894,2894,2896,-0.102293862368258
"37","37",2175,2180,2161,1580,1582,-0.27264367816092
"38","38",4708,8303,5926,6425,6342,0.347068819031436
"42","42",2475,3018,2844,2411,2413,-0.0250505050505051
"43","43",1522,1413,1228,1223,1253,-0.176741130091984
"44","44",1766,1704,1982,1875,1886,0.0679501698754247
"10933","10933",1766,1704,1982,1875,1886,0.0679501698754247
"45","45",7699,7420,7676,7131,7141,-0.0724769450577997
"46","46",8795,8302,8104,8054,8080,-0.0812961910176237
"47","47",1023,1019,957,1091,1053,0.0293255131964809
"48","48",11379,8944,8373,8090,7908,-0.305035591879779
"49","49",9556,9981,9978,9261,9274,-0.0295102553369611
"50","50",1546,2169,2421,2764,1895,0.225743855109961
"52","52",4779,4117,4483,4480,3934,-0.176815233312408
"53","53",6266,6259,6240,6589,6589,0.0515480370252154
"56","56",1518,1718,2018,1953,1259,-0.170619235836627
