"city","year","lts","found_routes","access_15min_vol"
"new york",16,1,17013,95550115
"new york",16,2,17013,98386806
"new york",16,3,17013,115082112
"new york",16,4,17013,182870193
"new york",19,1,16990,126405440
"new york",19,2,16990,128308212
"new york",19,3,16990,131248651
"new york",19,4,17013,194847542
"new york",21,1,16943,135902387
"new york",21,2,16943,138514350
"new york",21,3,16943,140271182
"new york",21,4,16966,193670205
"new york",24,1,17030,129378130
"new york",24,2,17030,134790966
"new york",24,3,17030,136663147
"new york",24,4,17053,176616588
"new york",26,1,17030,135065648
"new york",26,2,17030,139420979
"new york",26,3,17030,141034156
"new york",26,4,17053,174160346
"new york",18,1,16959,117266389
"new york",20,1,16971,131394437
"new york",22,1,17062,137020372
