"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Oslo",2016,1,707500,3051.83,1.64,0,19.93,2.14,24,17.15,3.33,0,3.52,91.37,1.32,4.71,2.58,2888795.94,174176,6.03,72.14,2.86,9.64,15.36,87416,51246,0,35514,7.79,"20260302_163552",19592,1111624825
"Oslo",2016,2,707500,3016.31,1.62,0,19.03,2.17,25.34,16.91,5.07,0,3.37,85.78,7.25,4.58,2.36,2888795.94,174176,6.03,72.14,2.86,9.64,15.36,87416,51246,0,35514,7.79,"20260302_163552",19592,1199341166
"Oslo",2019,1,707500,3054.34,1.63,0.08,20.29,2.39,25.38,18.78,3.19,0,3.41,90.9,1.97,4.35,2.77,3119753.766,177925,5.7,70.62,4.98,10.46,13.94,93961,56300,0,27665,7.79,"20260302_163552",19588,1061433937
"Oslo",2019,2,707500,2984.02,1.6,-1.07,18.62,2.47,27.71,18.05,6.5,0,3.17,80.15,13.38,4.17,2.28,3119753.766,177925,5.7,70.62,4.98,10.46,13.94,93961,56300,0,27665,7.79,"20260302_163552",19588,1214000877
"Oslo",2021,1,707500,2970.36,1.59,-2.67,18.99,2.67,26.64,22.14,3.3,0,1.19,93.36,2.32,2.33,1.98,3622440.294,208941,5.77,75.78,5.78,6.55,11.89,128517,63776,222,16426,7.79,"20260302_163552",19588,1218825178
"Oslo",2021,2,707500,2879.67,1.55,-4.53,17.15,2.64,28.26,20.32,7.02,0,0.92,79.4,16.69,2.23,1.67,3622440.294,208941,5.77,75.78,5.78,6.55,11.89,128517,63776,222,16426,7.79,"20260302_163552",19588,1411373641
"Oslo",2024,1,707500,2923.47,1.56,-4.21,18.4,2.83,28.26,22.4,4.65,0.02,1.19,94.66,1.77,1.57,2,4013499.16,231900,5.78,78.53,5.67,5.11,10.69,134252,84427,81,13140,7.79,"20260302_163552",19540,1258271316
"Oslo",2024,2,707500,2845.77,1.53,-5.65,16.84,2.84,30.8,20.56,9.28,0.02,0.94,80.91,15.79,1.73,1.57,4013499.16,231900,5.78,78.53,5.67,5.11,10.69,134252,84427,81,13140,7.79,"20260302_163552",19540,1437903058
"Oslo",2026,1,707500,2889.42,1.55,-5.32,17.84,2.93,27.95,21.46,4.91,0.06,1.52,95.24,1.66,1.3,1.8,4270706.04,239846,5.62,80.26,5.48,4.52,9.75,136906,84073,719,18148,7.79,"20260302_163552",19590,1328912285
"Oslo",2026,2,707500,2807.71,1.5,-6.92,16.54,2.94,30.7,19.94,9.37,0.08,1.31,83.1,13.94,1.52,1.44,4270706.04,239846,5.62,80.26,5.48,4.52,9.75,136906,84073,719,18148,7.79,"20260302_163552",19590,1479888064
