"city","year","lts","found_routes","access_15min_vol"
"oslo",16,3,19686,335624624
"oslo",16,4,19686,431149145
"oslo",21,3,19686,350677194
"oslo",21,4,19686,430847917
"oslo",26,3,19667,363257259
"oslo",26,4,19670,433507778
"oslo",16,1,19592,1111624825
"oslo",16,2,19592,1199341166
"oslo",19,1,19588,1061433937
"oslo",19,2,19588,1214000877
"oslo",21,1,19588,1218825178
"oslo",21,2,19588,1411373641
"oslo",24,1,19540,1258271316
"oslo",24,2,19540,1437903058
"oslo",26,1,19590,1328912285
"oslo",26,2,19590,1479888064
