"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"2","2",3114,3647,2935,2936,2934,2951,-0.0523442517662171
"3","3",5062,5412,4525,4525,4525,4710,-0.069537732121691
"4","4",3078,3086,3158,3158,3109,3108,0.00974658869395711
"6","6",1844,2122,1928,2425,2382,2416,0.310195227765727
"7","7",5188,5216,5346,5340,5471,5490,0.0582112567463377
"8","8",9030,6922,7141,7144,7011,7433,-0.176854928017719
"9","9",4153,4131,4335,4249,4248,4250,0.0233566096797496
"10","10",3690,3365,3208,3208,2905,2907,-0.21219512195122
"11","11",3754,3626,3260,3208,3275,3281,-0.125998934469899
"12","12",3599,3184,3346,3346,3311,3212,-0.107529869408169
"227","227",3599,3184,3346,3346,3311,3212,-0.107529869408169
"8365","8365",3599,3184,3346,3346,3311,3212,-0.107529869408169
"14489","14489",3599,3184,3346,3346,3311,3212,-0.107529869408169
"13","13",1646,1596,1592,1592,1592,1555,-0.0552855407047388
"3425","3425",1646,1596,1592,1592,1592,1555,-0.0552855407047388
"14","14",3956,3252,3437,3236,3233,3661,-0.0745702730030334
"15","15",1974,1974,2096,2099,2099,2110,0.0688956433637285
"7775","7775",1974,1974,2096,2099,2099,2110,0.0688956433637285
"16","16",7937,5829,5950,5953,5948,5951,-0.250220486329848
"17","17",4536,4501,4369,4373,3568,3006,-0.337301587301587
"18","18",5065,3372,3434,3341,3509,3507,-0.307601184600197
"19","19",1339,1250,1314,1313,1313,1193,-0.109036594473488
"21","21",6274,6194,5417,5414,5414,5625,-0.103442779725853
"22","22",1806,1858,1779,1769,1766,1765,-0.0227021040974529
"23","23",2373,2238,2153,2150,2150,2220,-0.0644753476611884
"25","25",2899,2941,2971,2971,2953,3011,0.0386340117281821
"26","26",6292,6840,6483,6489,5893,5847,-0.0707247298156389
"27","27",1378,1375,1537,1537,1540,1630,0.182873730043541
"18014","18014",1378,1375,1537,1537,1540,1630,0.182873730043541
"18101","18101",1378,1375,1537,1537,1540,1630,0.182873730043541
"28","28",3375,3369,3596,3606,3608,3681,0.0906666666666667
"29","29",5438,4446,4337,4058,4141,3932,-0.276940051489518
"30","30",1655,1663,1742,1748,1748,1617,-0.0229607250755287
"31","31",5311,4664,5069,5413,5075,5081,-0.0433063453210318
"33","33",4898,5017,4421,4052,3681,3679,-0.248877092690894
"34","34",3570,3467,4007,3174,3169,3700,0.0364145658263305
"35","35",3027,2993,2760,2717,2713,2552,-0.156921043937892
"19129","19129",3027,2993,2760,2717,2713,2552,-0.156921043937892
"36","36",3431,3086,3012,2935,2935,3081,-0.102011075488196
"37","37",9556,8620,8776,8862,8777,8754,-0.0839263290079531
"38","38",1555,1555,1553,1553,1390,1349,-0.132475884244373
"39","39",4706,5168,4393,4125,4125,4054,-0.138546536336592
"41","41",5269,5585,4050,4050,4047,4004,-0.240083507306889
"42","42",5694,5697,5794,5781,5781,5734,0.00702493853178785
"43","43",8657,4125,4578,4376,3329,3327,-0.615686727503754
"44","44",1841,1851,1777,1852,1852,1852,0.00597501357957632
"45","45",9338,9934,9148,9060,9455,8559,-0.0834225744270722
"46","46",5540,5580,5764,5622,5591,5654,0.0205776173285199
"48","48",2857,2797,2139,2026,2026,1980,-0.306965348267413
"2862","2862",2857,2797,2139,2026,2026,1980,-0.306965348267413
"17421","17421",2857,2797,2139,2026,2026,1980,-0.306965348267413
"50","50",1552,1901,1293,1305,1305,1305,-0.159149484536082
"51","51",2391,2403,2136,2140,2495,2466,0.0313676286072773
"52","52",4469,4075,4813,4813,4813,5019,0.12307003803983
"53","53",7369,6153,5356,5291,5291,5288,-0.28239924005971
"54","54",4358,4322,3701,3820,3809,3701,-0.150757228086278
"55","55",10497,6011,6330,6368,5350,5353,-0.490044774697533
"56","56",10307,8618,8227,8430,7856,7741,-0.24895701950131
"57","57",8536,8873,9955,9843,9726,9994,0.170805998125586
"58","58",6983,7635,5519,5383,5171,5266,-0.245882858370328
"59","59",4011,3925,3877,3845,4246,3925,-0.0214410371478434
"60","60",6391,6376,6062,6101,6072,5837,-0.086684399937412
"61","61",3825,2930,2913,2912,2911,2807,-0.266143790849673
"62","62",6970,5783,5547,5585,5585,5574,-0.200286944045911
"63","63",5261,3296,3678,3764,3769,2760,-0.475384907812203
"66","66",3760,3774,4647,4670,4670,5079,0.350797872340426
"67","67",2746,31,325,330,3079,2734,-0.00436999271667881
"68","68",4228,4329,2760,2482,2581,2350,-0.444181646168401
"5433","5433",4228,4329,2760,2482,2581,2350,-0.444181646168401
"69","69",1550,1549,1936,1545,1545,1407,-0.092258064516129
"71","71",3644,3736,3789,3792,3792,3799,0.0425356750823271
"73","73",2619,2838,4243,4262,4276,4473,0.707903780068729
"2690","2690",2619,2838,4243,4262,4276,4473,0.707903780068729
"74","74",3607,3671,3688,3689,3703,3900,0.0812309398392016
"75","75",1384,1981,1912,1898,1898,1585,0.145231213872832
"76","76",5343,5196,4215,4202,4176,4130,-0.227026015347183
"77","77",3500,3254,3285,3261,3217,3252,-0.0708571428571429
"78","78",2525,2389,3321,2358,2358,2354,-0.0677227722772277
"79","79",3542,3860,3718,3715,3966,4050,0.143421795595709
"14441","14441",3542,3860,3718,3715,3966,4050,0.143421795595709
"80","80",2219,1927,1432,1422,1421,1428,-0.356466876971609
"12165","12165",2219,1927,1432,1422,1421,1428,-0.356466876971609
"18813","18813",2219,1927,1432,1422,1421,1428,-0.356466876971609
"81","81",2746,1413,556,492,494,1446,-0.473415877640204
"1794","1794",2746,1413,556,492,494,1446,-0.473415877640204
"82","82",4422,4736,3915,3646,3646,3600,-0.185888738127544
"8813","8813",4422,4736,3915,3646,3646,3600,-0.185888738127544
"12451","12451",4422,4736,3915,3646,3646,3600,-0.185888738127544
"83","83",10099,7885,7361,7359,7088,7531,-0.254282602237845
"84","84",7862,8484,6573,6572,6572,6466,-0.177562961078606
"85","85",3739,3508,3254,3255,3159,3272,-0.124899705803691
"86","86",3484,3486,3154,3218,3428,3423,-0.0175086107921929
"87","87",2633,2333,2539,2539,2539,2545,-0.0334219521458412
"89","89",4929,5153,4166,3898,3940,3906,-0.207547169811321
"90","90",2420,2414,2402,2406,2406,2484,0.0264462809917355
"92","92",2822,2662,2450,2450,2447,2446,-0.133238837703756
"93","93",3270,3357,3113,3110,3057,3221,-0.0149847094801223
"94","94",6593,4821,4937,4901,4901,4467,-0.322463218565145
"95","95",2361,2166,1519,1517,1561,1522,-0.355357899195256
"2606","2606",2361,2166,1519,1517,1561,1522,-0.355357899195256
"12996","12996",2361,2166,1519,1517,1561,1522,-0.355357899195256
"96","96",2608,2536,2845,2828,2828,2833,0.0862730061349693
"97","97",2604,3273,2295,2296,2296,2296,-0.118279569892473
"98","98",5193,5751,5260,5256,5379,5168,-0.00481417292509147
"99","99",2229,2259,2818,2818,2820,2844,0.275908479138627
"100","100",2488,2391,2820,2820,2694,2671,0.0735530546623794
"101","101",3031,2977,2503,2503,2510,2075,-0.315407456285054
"103","103",9986,9228,7686,7600,7677,7650,-0.233927498497897
"105","105",2414,2714,2382,2333,2382,2381,-0.0136702568351284
"106","106",7272,7068,7529,7531,7537,7611,0.0466171617161716
"107","107",2615,2671,2684,2684,2743,2282,-0.127342256214149
"108","108",1709,2864,1966,1918,1907,1603,-0.0620245757753072
"109","109",2468,3251,2385,2386,2223,2154,-0.127228525121556
"110","110",2740,2345,2702,2661,2661,2628,-0.0408759124087591
"112","112",6271,6272,5809,5865,5865,6635,0.0580449689044809
"113","113",4948,5071,4078,3999,3999,3989,-0.193815683104285
"115","115",3093,3096,3280,3281,3281,3302,0.0675719366311025
"116","116",3986,3990,3466,3469,3470,3401,-0.146763672854992
"118","118",3519,2816,1871,1871,1863,3095,-0.120488775220233
"15091","15091",3519,2816,1871,1871,1863,3095,-0.120488775220233
"119","119",4280,4031,3986,3990,3953,4036,-0.0570093457943925
"120","120",2934,2934,2250,2246,2246,2345,-0.200749829584185
"3616","3616",2934,2934,2250,2246,2246,2345,-0.200749829584185
"121","121",3543,3439,3596,3590,3564,3372,-0.048264182895851
"123","123",3838,4011,3255,2986,2986,2940,-0.233976029181866
"11301","11301",3838,4011,3255,2986,2986,2940,-0.233976029181866
"12128","12128",3838,4011,3255,2986,2986,2940,-0.233976029181866
"14607","14607",3838,4011,3255,2986,2986,2940,-0.233976029181866
"124","124",6383,6031,6098,5524,5524,6030,-0.0553031489895034
"127","127",5657,4769,4697,4861,4851,4901,-0.133639738377232
"128","128",2898,2304,2467,2467,2392,1973,-0.319185645272602
"19329","19329",2898,2304,2467,2467,2392,1973,-0.319185645272602
"129","129",3073,2896,2810,2807,2809,2949,-0.0403514480963228
"10083","10083",3073,2896,2810,2807,2809,2949,-0.0403514480963228
"130","130",3770,5271,3342,3310,3307,3344,-0.112997347480106
"133","133",3616,3895,3504,3511,3776,3854,0.0658185840707965
"134","134",3388,3343,3346,3345,3345,3348,-0.0118063754427391
"135","135",4191,3334,2101,2101,2097,2094,-0.500357909806729
"136","136",4247,4216,4127,4117,4117,4142,-0.0247233341182011
"137","137",1722,1743,1670,1670,1790,1770,0.0278745644599303
"6186","6186",1722,1743,1670,1670,1790,1770,0.0278745644599303
"15254","15254",1722,1743,1670,1670,1790,1770,0.0278745644599303
"15390","15390",1722,1743,1670,1670,1790,1770,0.0278745644599303
"138","138",1655,1663,1742,1748,1748,1625,-0.0181268882175227
"139","139",2732,2728,3198,3188,3187,2722,-0.00366032210834553
"140","140",2158,1623,1028,1036,1243,1153,-0.465708989805375
"141","141",3514,3416,3472,3472,3464,3460,-0.0153671030165054
"142","142",6150,5953,6006,5976,6075,6106,-0.00715447154471545
"143","143",4816,5025,4559,4361,4483,4286,-0.110049833887043
"144","144",4468,5223,4659,4631,4625,4485,0.00380483437779767
"145","145",1061,1059,1124,1212,1212,1220,0.14985862393968
"7298","7298",1061,1059,1124,1212,1212,1220,0.14985862393968
"146","146",6790,5935,5943,5930,5891,5975,-0.120029455081001
"148","148",3254,2494,2738,2738,2737,2743,-0.157037492317148
"151","151",2833,3135,2675,2538,2448,2361,-0.166607836216025
"5400","5400",2833,3135,2675,2538,2448,2361,-0.166607836216025
"6264","6264",2833,3135,2675,2538,2448,2361,-0.166607836216025
"12568","12568",2833,3135,2675,2538,2448,2361,-0.166607836216025
"19837","19837",2833,3135,2675,2538,2448,2361,-0.166607836216025
"152","152",8601,7633,5915,5895,6292,6476,-0.247064294849436
"153","153",2599,2401,2515,2501,2511,2731,0.0507887649095806
"154","154",7221,7066,6837,6842,6049,6055,-0.161473480127406
"155","155",2668,2745,2744,2827,2732,2746,0.0292353823088456
"157","157",6088,5333,7921,7921,7921,4710,-0.22634691195795
"158","158",4176,4032,4289,4333,4336,3837,-0.0811781609195402
"159","159",2662,2761,2326,2326,2224,2316,-0.129977460555973
"160","160",4883,4815,3213,3277,3277,2948,-0.396272783125128
"161","161",2226,2492,1475,1475,1475,1474,-0.337825696316262
"163","163",3153,3153,3240,3190,3190,3203,0.0158579130986362
"164","164",4480,4492,4771,4319,4500,4360,-0.0267857142857143
"166","166",1387,1382,1464,1482,1482,1482,0.0684931506849315
"7001","7001",1387,1382,1464,1482,1482,1482,0.0684931506849315
"9001","9001",1387,1382,1464,1482,1482,1482,0.0684931506849315
"167","167",10158,9245,8330,8234,8400,8054,-0.207127387280961
"168","168",6011,6359,5962,5895,5895,5902,-0.0181334220595575
"170","170",555,555,719,719,719,719,0.295495495495495
"171","171",4472,4352,4242,4469,4517,4523,0.0114042933810376
"173","173",4588,3318,3049,2928,2705,2686,-0.414559721011334
"174","174",3563,3573,2987,2897,2897,3107,-0.127982037608757
"175","175",4916,5240,4998,5047,5423,4934,0.00366151342554923
"176","176",4027,3780,3294,3294,3294,3292,-0.182518003476533
"177","177",1465,1528,1445,1264,1266,1404,-0.0416382252559727
"3603","3603",1465,1528,1445,1264,1266,1404,-0.0416382252559727
"4661","4661",1465,1528,1445,1264,1266,1404,-0.0416382252559727
"4977","4977",1465,1528,1445,1264,1266,1404,-0.0416382252559727
"10164","10164",1465,1528,1445,1264,1266,1404,-0.0416382252559727
"14562","14562",1465,1528,1445,1264,1266,1404,-0.0416382252559727
"18981","18981",1465,1528,1445,1264,1266,1404,-0.0416382252559727
"178","178",2357,2357,2288,2288,2287,2279,-0.0330929147221044
"179","179",2983,2853,3070,3070,3049,3443,0.15420717398592
"180","180",16514,15914,15413,15250,14845,14826,-0.102216301320092
"181","181",6637,6374,6661,6397,6395,6357,-0.0421877354226307
"182","182",6278,5349,5391,5430,5430,5432,-0.134756291812679
"183","183",4540,4179,3916,3916,3916,3602,-0.206607929515419
"184","184",4278,3576,3617,3617,3619,3402,-0.20476858345021
"14618","14618",4278,3576,3617,3617,3619,3402,-0.20476858345021
"185","185",6365,5653,5264,5271,5318,5507,-0.134799685781618
"186","186",2778,2812,2875,2775,2775,3275,0.178905687544996
"187","187",2824,2769,3083,3094,3094,3094,0.0956090651558074
"188","188",3389,3960,4230,4231,4233,4139,0.221304219533786
"189","189",11406,10362,9525,9485,9383,9386,-0.177099772049798
"190","190",5462,6248,5447,5686,5686,5692,0.0421091175393629
"191","191",5948,4888,4587,4596,4642,4851,-0.184431741761937
"192","192",5587,5899,5379,5438,5432,5336,-0.0449257204224092
"193","193",4898,6776,5069,4994,4938,4551,-0.0708452429563087
"16955","16955",4898,6776,5069,4994,4938,4551,-0.0708452429563087
"194","194",2525,2459,2331,2327,2324,2395,-0.0514851485148515
"195","195",2234,2600,1991,1991,1991,1996,-0.106535362578335
"196","196",2411,2341,1286,1286,1286,1293,-0.463708004977188
"197","197",3318,3082,3388,3255,3255,3215,-0.0310427968655817
"199","199",7223,7268,7054,7053,7053,6921,-0.0418108819050256
"201","201",2084,2033,1946,1944,1944,1946,-0.0662188099808061
"13152","13152",2084,2033,1946,1944,1944,1946,-0.0662188099808061
"202","202",5155,4395,4311,4309,4386,4391,-0.148205625606208
"203","203",6341,6275,6036,6037,6043,5611,-0.115123797508279
"204","204",1374,1580,1368,1332,1377,1357,-0.012372634643377
"654","654",1374,1580,1368,1332,1377,1357,-0.012372634643377
"2369","2369",1374,1580,1368,1332,1377,1357,-0.012372634643377
"2787","2787",1374,1580,1368,1332,1377,1357,-0.012372634643377
"6393","6393",1374,1580,1368,1332,1377,1357,-0.012372634643377
"10984","10984",1374,1580,1368,1332,1377,1357,-0.012372634643377
"11031","11031",1374,1580,1368,1332,1377,1357,-0.012372634643377
"13120","13120",1374,1580,1368,1332,1377,1357,-0.012372634643377
"205","205",4259,3640,3691,3580,3579,3363,-0.210378023010096
"206","206",1775,1774,1670,1708,1708,1701,-0.0416901408450704
"207","207",5595,4364,4224,4227,4084,4179,-0.253083109919571
"209","209",1574,1252,1181,1181,1181,1192,-0.242693773824651
"6035","6035",1574,1252,1181,1181,1181,1192,-0.242693773824651
"210","210",2361,2312,2216,2217,2225,2238,-0.0520965692503177
"8450","8450",2361,2312,2216,2217,2225,2238,-0.0520965692503177
"14438","14438",2361,2312,2216,2217,2225,2238,-0.0520965692503177
"211","211",2059,2059,2058,2058,2058,2057,-0.000971345313258863
"212","212",4910,3786,3909,3911,3910,3632,-0.260285132382892
"213","213",2714,3395,2523,2523,2523,2584,-0.0478997789240973
"214","214",4405,4163,3843,3863,3838,3998,-0.0923950056753689
"216","216",1874,1404,1309,1310,1098,1057,-0.435965848452508
"3813","3813",1874,1404,1309,1310,1098,1057,-0.435965848452508
"218","218",5288,5113,4638,4641,4643,4754,-0.100983358547655
"219","219",2501,2501,2734,2620,2620,2225,-0.110355857656937
"220","220",3761,2822,2567,2594,2593,2535,-0.325977133741026
"222","222",9324,8020,7867,7863,7226,7756,-0.168168168168168
"223","223",1318,1393,2045,2037,1410,1255,-0.0477996965098634
"224","224",3869,3689,3738,3587,3197,3206,-0.171362109072112
"225","225",6388,6664,6393,6527,6164,5869,-0.0812460864120225
"228","228",4306,4301,4277,4277,4277,4145,-0.0373896888063168
"229","229",7701,7390,7527,7443,7349,7490,-0.027399039085833
"230","230",8440,7089,7140,7047,7215,7207,-0.146090047393365
"231","231",2319,2321,2680,2682,2682,2680,0.155670547649849
"232","232",3436,4036,3341,3360,3344,3346,-0.0261932479627474
"233","233",4269,4074,5075,5076,4568,5078,0.189505739048958
"234","234",3430,3797,4105,4106,4106,4100,0.19533527696793
"235","235",7327,6529,6589,6588,6587,6367,-0.131022246485601
"237","237",3119,2989,2799,2759,2759,2838,-0.090092978518756
"238","238",3153,2807,2236,2364,2216,2081,-0.339993656834761
"239","239",7191,8554,6866,6172,6849,6200,-0.137811152829926
"240","240",3707,3451,4034,3986,3982,3771,0.017264634475317
"241","241",1493,1493,1514,1514,1493,1527,0.0227729403884796
"242","242",3071,4125,2751,2670,2702,2666,-0.131878866818626
"243","243",6378,6382,6104,6103,6061,6030,-0.0545625587958608
"244","244",6024,6036,5680,5666,4919,4938,-0.180278884462151
"245","245",2937,2939,2583,2218,2207,2218,-0.244807626830099
"246","246",2249,2194,1762,1763,1762,1884,-0.162294353045798
"247","247",4821,4348,4739,4651,4648,3776,-0.216760008297034
"248","248",3381,2982,2768,2739,2734,2766,-0.18189884649512
"7849","7849",3381,2982,2768,2739,2734,2766,-0.18189884649512
"249","249",3691,3795,5146,5161,5198,4532,0.227851530750474
"250","250",7767,6607,5463,5421,5333,5201,-0.330372087034891
"251","251",631,592,634,634,634,634,0.00475435816164818
"252","252",3192,2815,2857,2739,2764,3206,0.0043859649122807
