"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",25.7,23.6,40.4,29.7,25.2,21.2,24.6,20.6,40.7,29,22.4,20.4,21.5,21.1,36.2,29.5,3710,3892,6672,5726,3647,3647,3778,3778,6074,5566,3769,3643,3234,3227,6406,5583
"10","10",31,31,37,25.4,27.6,24.6,26.7,25.7,29.4,24.7,24.1,22.7,25.2,25.1,37,27.1,3195,3195,5677,4906,3865,3801,3770,3635,5595,4789,3379,3424,3747,3747,5934,4920
"100","100",18.2,18.2,78.8,61.8,18.2,18.1,15.6,15.6,71.8,61.2,19.7,16.2,24.2,20.9,80.7,67.7,2049,2049,13769,12038,1972,1972,1914,1914,13080,11844,2296,2199,2645,2895,13542,12502
"1000","1000",35.1,35.1,13,12.2,32,22.6,28.9,21.6,14.2,13,24.4,19.4,23.8,18.9,22.7,18.5,3801,3801,2074,2074,3861,3774,3242,3435,2202,2206,3611,3394,3299,3210,2570,3001
"10000","10000",11.7,10.2,66.6,49.7,9,7.5,9.1,7.4,63.8,50.4,9.8,7.2,18.4,12,66.3,50.7,1408,1336,10954,9469,1408,1336,1412,1338,10926,9584,1401,1290,1293,1257,11283,9438
"10001","10001",30.1,28.9,32.1,26.1,21.4,20.3,20,19.2,32,28,19.8,17.4,19.8,18.6,31.7,28.7,3514,3696,5783,5128,3512,3274,3386,3295,6116,5414,3175,3211,3200,3198,5838,5495
"10002","10002",25.6,25.6,39.7,25.3,21.1,21.1,21.1,20.6,30.9,25.2,21,19.4,22.1,21.6,31.4,26.3,3822,3822,6330,4812,3492,3492,3525,3513,5475,4841,3610,3443,3515,3516,5152,4895
"10003","10003",24.3,24.3,22.1,19.6,22.4,21,18.5,18.3,18.8,17.2,18.8,17.7,23.5,21.2,22.8,20.9,3716,3716,4034,3831,4058,3991,3395,3216,3607,3411,3292,3028,3466,3415,3549,3425
"10004","10004",12.9,12.9,22.5,16.3,11.3,11.3,9.8,9.8,20.5,15.3,10.4,9.2,11.3,10.3,26.3,17.8,1859,1859,3373,3011,1682,1682,1739,1739,3387,2981,1533,1416,1568,1435,3438,3194
"10005","10005",52.6,52.6,29.2,21.7,41.2,38.8,36.2,36,30.2,21.8,36.3,35.2,39.3,39.1,29.5,23.3,6689,6689,5117,4168,6774,6922,6054,6081,4960,4272,5967,6037,6078,6078,4708,4465
