"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes"
"Paris","2016",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503392.954370825,0,0,0,0,0,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,"20260225_144454",19598
"Paris","2016",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503392.954370825,0,0,0,0,0,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,"20260225_144454",19751
"Paris","2016",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503392.954370825,0,0,0,0,0,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,"20260225_144454",19951
"Paris","2016",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503392.954370825,0,0,0,0,0,217643.467038321,129185.977867427,136643.426447321,19920.0830177555,"20260225_144454",19951
"Paris","2021",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665715.897339712,0,0,0,0,0,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,"20260225_144454",19926
"Paris","2021",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665715.897339712,0,0,0,0,0,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,"20260225_144454",19929
"Paris","2021",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665715.897339712,0,0,0,0,0,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,"20260225_144454",19929
"Paris","2021",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,665715.897339712,0,0,0,0,0,324835.66883835,172348.3608458,138951.749765942,29580.1178896187,"20260225_144454",19929
"Paris","2026",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,784994.606115184,0,0,0,0,0,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,"20260225_144454",19978
"Paris","2026",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,784994.606115184,0,0,0,0,0,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,"20260225_144454",19980
"Paris","2026",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,784994.606115184,0,0,0,0,0,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,"20260225_144454",19980
"Paris","2026",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,784994.606115184,0,0,0,0,0,404410.472365137,183108.436573764,159443.173357883,38032.5238183992,"20260225_144454",19980
