"city","year","lts","found_routes","access_15min_vol"
"paris",16,1,19843,91425604
"paris",16,2,19843,95179886
"paris",16,3,19933,126590161
"paris",16,4,19933,175415507
"paris",19,1,19851,106899253
"paris",19,2,19851,114477245
"paris",19,3,19851,133141455
"paris",19,4,19851,169867271
"paris",21,1,19935,123334827
"paris",21,2,19935,130861442
"paris",21,3,19935,145330726
"paris",21,4,19935,174568954
"paris",24,1,19949,125986554
"paris",24,2,19949,136429054
"paris",24,3,19949,138832074
"paris",24,4,19949,162099354
"paris",26,1,19956,111030496
"paris",26,2,19956,117811695
"paris",26,3,19956,119348487
"paris",26,4,19956,136426415
