"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Portland","2016",1,1207757,8118.99,1.52,0,30.06,75.65,7.16,9.53,7.66,5689020.449,338336,5.95,53.52,12.55,16.33,17.6,11177,150336,101370,75452,NA,"20260226_041959",17948,17407609
"Portland","2016",2,1207757,8814.39,1.52,0,36,54.83,34.87,5.61,4.69,5689020.449,338336,5.95,53.52,12.55,16.33,17.6,11177,150336,101370,75452,NA,"20260226_041959",19682,30476809
"Portland","2016",3,1207757,8360.7,1.44,0,35.47,40.22,26.51,31.06,2.21,5689020.449,338336,5.95,53.52,12.55,16.33,17.6,11177,150336,101370,75452,NA,"20260226_041959",19981,65813140
"Portland","2016",4,1207757,7720.07,1.33,0,28.4,24.1,15.15,23.27,37.47,5689020.449,338336,5.95,53.52,12.55,16.33,17.6,11177,150336,101370,75452,NA,"20260226_041959",20000,86863076
"Portland","2021",1,1207757,8364.59,1.52,3.03,36.82,82.56,9.08,2.32,6.03,6072486.513,379388,6.25,60.11,16.7,6.6,16.59,24690,157515,133162,64022,NA,"20260226_041959",18564,22722783
"Portland","2021",2,1207757,8588.69,1.47,-2.56,36.33,55.26,40.48,1.47,2.78,6072486.513,379388,6.25,60.11,16.7,6.6,16.59,24690,157515,133162,64022,NA,"20260226_041959",19916,52556699
"Portland","2021",3,1207757,8368.15,1.43,0.09,38.62,50.8,37.22,9.61,2.37,6072486.513,379388,6.25,60.11,16.7,6.6,16.59,24690,157515,133162,64022,NA,"20260226_041959",19973,60460166
"Portland","2021",4,1207757,7730.9,1.33,0.14,33.26,32.15,22.79,9.66,35.4,6072486.513,379388,6.25,60.11,16.7,6.6,16.59,24690,157515,133162,64022,NA,"20260226_041959",20000,84452814
"Portland","2026",1,1207757,8341.95,1.52,2.75,40.31,84.22,7.52,0.86,7.4,6175853.733,420760,6.81,60.11,17.45,3.38,19.07,42370,158736,151545,68109,NA,"20260226_041959",18363,20907276
"Portland","2026",2,1207757,8630.97,1.48,-2.08,38.81,54.15,41.63,0.8,3.42,6175853.733,420760,6.81,60.11,17.45,3.38,19.07,42370,158736,151545,68109,NA,"20260226_041959",19842,49875160
"Portland","2026",3,1207757,8593.37,1.47,2.78,38.89,50.78,41.16,5.01,3.05,6175853.733,420760,6.81,60.11,17.45,3.38,19.07,42370,158736,151545,68109,NA,"20260226_041959",19982,52106917
"Portland","2026",4,1207757,7832.23,1.35,1.45,38.07,35.99,20.81,2.72,40.47,6175853.733,420760,6.81,60.11,17.45,3.38,19.07,42370,158736,151545,68109,NA,"20260226_041959",20000,81266837
