"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Portland",2016,1,1207757,3916.31,1.83,0,25.27,1.64,56.15,1.64,27.05,19.44,8.02,47.82,19.49,20.1,12.59,5689020.449,338336,5.95,53.52,12.55,16.33,17.6,11177,150336,101370,75452,4.13,"20260303_133644",19982,21623242
"Portland",2016,2,1207757,3842.32,1.8,0,22.91,1.9,47.16,1.51,24.02,14.3,7.32,44.17,27.1,17.9,10.83,5689020.449,338336,5.95,53.52,12.55,16.33,17.6,11177,150336,101370,75452,4.13,"20260303_133644",19994,25423367
"Portland",2019,1,1207757,3872.21,1.81,-1.13,24.53,1.84,58.93,1.53,26.88,22.8,7.71,49.64,23.24,16.57,10.54,5947684.306,376833,6.34,56.26,15.58,12.42,15.74,10747,158971,124700,82414,4.13,"20260303_133644",19990,23146026
"Portland",2019,2,1207757,3757,1.76,-2.22,21.75,2.36,44.68,1.47,22.03,14.29,6.89,43.82,33.82,13.77,8.59,5947684.306,376833,6.34,56.26,15.58,12.42,15.74,10747,158971,124700,82414,4.13,"20260303_133644",19997,29316199
"Portland",2021,1,1207757,3851.91,1.8,-1.64,23.74,2.04,56.73,3.74,24.79,22.06,6.15,56.03,19.97,10.16,13.83,6072486.513,379388,6.25,60.11,16.7,6.6,16.59,24690,157515,133162,64022,4.13,"20260303_133644",19884,24772921
"Portland",2021,2,1207757,3709.2,1.74,-3.46,21.14,2.39,41.31,3.45,18.67,13.46,5.72,49.56,31.84,8.14,10.45,6072486.513,379388,6.25,60.11,16.7,6.6,16.59,24690,157515,133162,64022,4.13,"20260303_133644",19888,31200807
"Portland",2024,1,1207757,3828.99,1.79,-2.23,24.04,1.92,59.85,6.17,24.26,22.71,6.71,54.4,17.88,3.15,24.56,6158405.478,400285,6.5,58.67,17.3,3.49,20.54,37073,155913,139204,68095,4.13,"20260303_133644",19883,23849920
"Portland",2024,2,1207757,3685.54,1.72,-4.08,21.21,2.37,44.05,4.92,18.81,14.1,6.21,47.92,31.48,2.75,17.83,6158405.478,400285,6.5,58.67,17.3,3.49,20.54,37073,155913,139204,68095,4.13,"20260303_133644",19885,30974640
"Portland",2026,1,1207757,3831.52,1.79,-2.17,24.07,1.86,60.51,7.23,24.11,22.78,6.4,54,19.11,3.14,23.75,6175853.733,420760,6.81,60.11,17.45,3.38,19.07,42370,158736,151545,68109,4.13,"20260303_133644",19989,24896474
"Portland",2026,2,1207757,3704.64,1.73,-3.58,21.42,2.35,45.77,5.6,19.12,15.06,6,47.7,31.44,2.81,18.05,6175853.733,420760,6.81,60.11,17.45,3.38,19.07,42370,158736,151545,68109,4.13,"20260303_133644",19994,30812232
