"city","year","lts","found_routes","access_15min_vol"
"portland",16,3,19981,65813140
"portland",16,4,20000,86863076
"portland",21,3,19973,60460166
"portland",21,4,20000,84452814
"portland",26,3,19982,52106917
"portland",26,4,20000,81266837
"portland",16,1,19982,21623242
"portland",16,2,19994,25423367
"portland",19,1,19990,23146026
"portland",19,2,19997,29316199
"portland",21,1,19884,24772921
"portland",21,2,19888,31200807
"portland",24,1,19883,23849920
"portland",24,2,19885,30974640
"portland",26,1,19989,24896474
"portland",26,2,19994,30812232
