"from_id","to_id","dist_2018","dist_2020","dist_2022","change_pct"
"1","1",5881,5762,5762,-0.0202346539704132
"2","2",5923,5782,5671,-0.0425460070910012
"3","3",2280,2315,2243,-0.0162280701754386
"4","4",1184,1176,1176,-0.00675675675675676
"5","5",4367,4443,4332,-0.0080146553698191
"6","6",2730,2772,3748,0.372893772893773
"7","7",2911,2904,2902,-0.00309172105805565
"8","8",918,918,909,-0.00980392156862745
"9","9",1188,1184,1185,-0.00252525252525253
"10","10",2557,2224,2081,-0.186155651153696
"11","11",2779,2780,2779,0
"12","12",5281,5756,5649,0.0696837720128763
"13","13",5316,5314,5304,-0.00225733634311512
"14","14",2756,2757,2754,-0.000725689404934688
"15","15",4421,4423,4247,-0.0393576114001357
"16","16",2239,2334,2330,0.0406431442608307
"17","17",5482,5470,5470,-0.00218898212331266
"18","18",2811,2706,2688,-0.0437566702241195
"19","19",2904,2913,2912,0.00275482093663912
"20","20",2448,2445,2874,0.174019607843137
"21","21",3139,3027,3008,-0.0417330359987257
"22","22",3157,3161,3684,0.166930630345264
"23","23",2914,2922,2922,0.00274536719286205
"24","24",1273,1236,1237,-0.02827965435978
"25","25",2534,2527,2526,-0.00315706393054459
"26","26",2838,3459,3703,0.304792107117689
"27","27",1778,1779,1779,0.000562429696287964
"28","28",1529,1532,1523,-0.0039241334205363
"29","29",6026,7206,7183,0.192001327580485
"30","30",2131,2131,2121,-0.00469263256687001
"3407","3407",2131,2131,2121,-0.00469263256687001
"31","31",3383,3388,3388,0.00147797812592374
"32","32",4108,3809,4027,-0.0197176241480039
"33","33",2147,2064,1651,-0.231020027945971
"34","34",4135,4124,4127,-0.00193470374848851
"35","35",2411,2411,2395,-0.00663625051845707
"36","36",2010,2225,2225,0.106965174129353
"37","37",3457,3456,3548,0.0263234017934625
"38","38",2990,2977,2751,-0.079933110367893
"39","39",3638,3617,3617,-0.00577240241891149
"40","40",2123,2123,2122,-0.000471031559114461
"41","41",4092,3754,3586,-0.123655913978495
"42","42",3503,3651,3650,0.0419640308307165
"43","43",949,949,949,0
"44","44",2226,2223,2223,-0.00134770889487871
"45","45",2485,2482,2477,-0.00321931589537223
"46","46",2284,2325,2213,-0.0310858143607706
"47","47",2778,2569,2569,-0.0752339812814975
"48","48",4346,3777,3776,-0.131155085135757
"49","49",3343,3210,3290,-0.0158540233323362
"50","50",6475,6485,6495,0.00308880308880309
"51","51",9152,8629,9879,0.0794361888111888
"52","52",2479,2433,2495,0.00645421540943929
"53","53",3748,3780,3799,0.013607257203842
"54","54",4739,5049,4645,-0.0198354083139903
"55","55",5744,5837,5727,-0.00295961002785515
"56","56",5672,5669,5667,-0.000881523272214386
"57","57",6976,6665,6530,-0.0639334862385321
"58","58",2724,2650,2650,-0.0271659324522761
"59","59",5857,5887,5871,0.00239030220249274
"60","60",5446,5433,5449,0.000550863018729343
"61","61",3533,3531,3528,-0.00141522785168412
"62","62",5802,5984,5983,0.0311961392623233
"63","63",1562,1554,1554,-0.00512163892445583
"64","64",3072,2732,3074,0.000651041666666667
"65","65",2098,2098,2098,0
"66","66",2685,2682,2682,-0.00111731843575419
"12728","12728",2685,2682,2682,-0.00111731843575419
"67","67",2278,2248,2248,-0.0131694468832309
"68","68",1218,1381,1381,0.133825944170772
"69","69",4150,4250,4050,-0.0240963855421687
"70","70",2358,2570,2552,0.082273112807464
"71","71",3895,3885,3886,-0.00231065468549422
"72","72",2459,2462,2464,0.00203334688897926
"73","73",3289,3289,3237,-0.0158102766798419
"74","74",4303,4071,4101,-0.0469439925633279
"75","75",8648,8664,8634,-0.00161887141535615
"76","76",4971,4934,4770,-0.0404345202172601
"77","77",3880,4164,4191,0.0801546391752577
"78","78",2544,2544,2544,0
"79","79",2605,2724,2780,0.0671785028790787
"8875","8875",2605,2724,2780,0.0671785028790787
"80","80",4397,4314,5256,0.195360473049807
"81","81",1883,1730,1709,-0.0924057355284121
"82","82",731,815,814,0.113543091655267
"18976","18976",731,815,814,0.113543091655267
"83","83",8940,8894,9017,0.00861297539149888
"84","84",2823,2781,2781,-0.0148777895855473
"85","85",4307,4575,4369,0.0143951706524263
"86","86",3547,3441,3441,-0.0298844093600226
"87","87",4747,4300,4549,-0.0417105540341268
"88","88",1629,1427,1431,-0.121546961325967
"7224","7224",1629,1427,1431,-0.121546961325967
"89","89",2061,1871,1871,-0.0921882581271228
"90","90",6615,6616,6719,0.0157218442932729
"91","91",2998,3183,3164,0.0553702468312208
"92","92",2568,2570,2502,-0.0257009345794393
"93","93",2849,1683,1683,-0.409266409266409
"94","94",3239,2950,2617,-0.192034578573634
"95","95",2721,2783,3003,0.103638368246968
"96","96",3997,3997,4172,0.0437828371278459
"97","97",4005,4005,4062,0.0142322097378277
"98","98",6325,6632,6633,0.048695652173913
"99","99",1475,1669,1669,0.131525423728814
"100","100",3772,3661,3699,-0.0193531283138918
"101","101",1581,1581,1581,0
"102","102",3765,3953,3953,0.049933598937583
"103","103",2366,2440,1611,-0.319103972950127
"104","104",4022,3870,3870,-0.0377921432123322
"105","105",2553,2948,2414,-0.054445750097924
"106","106",1614,1606,1612,-0.00123915737298637
"107","107",2700,2738,2601,-0.0366666666666667
"108","108",1904,2309,1893,-0.00577731092436975
"109","109",2139,2311,2139,0
"18908","18908",2139,2311,2139,0
"110","110",3639,3518,3493,-0.0401209123385545
"4387","4387",3639,3518,3493,-0.0401209123385545
"111","111",6263,5955,5380,-0.140986747565065
"112","112",2075,2075,2075,0
"113","113",2010,2038,2038,0.0139303482587065
"114","114",3943,3975,4023,0.0202891199594218
"115","115",6554,6359,6501,-0.00808666463228563
"116","116",3159,3116,3116,-0.0136119025007914
"117","117",4419,4203,4203,-0.0488798370672098
"118","118",2641,2638,2633,-0.00302915562287012
"119","119",5395,5402,5402,0.00129749768303985
"120","120",2006,2006,2006,0
"121","121",4975,5490,5509,0.107336683417085
"122","122",3307,3222,2783,-0.158451768974902
"6445","6445",3307,3222,2783,-0.158451768974902
"123","123",4401,4401,4385,-0.00363553737786867
"124","124",2088,2061,2052,-0.0172413793103448
"125","125",1633,1633,1626,-0.00428658909981629
"6698","6698",1633,1633,1626,-0.00428658909981629
"15624","15624",1633,1633,1626,-0.00428658909981629
"126","126",4628,4328,4401,-0.0490492653414002
"127","127",2686,2839,2855,0.0629188384214445
"5969","5969",2686,2839,2855,0.0629188384214445
"11627","11627",2686,2839,2855,0.0629188384214445
"16253","16253",2686,2839,2855,0.0629188384214445
"128","128",1576,1576,1405,-0.108502538071066
"129","129",1970,2087,2098,0.0649746192893401
"3267","3267",1970,2087,2098,0.0649746192893401
"13652","13652",1970,2087,2098,0.0649746192893401
"130","130",1069,966,963,-0.0991580916744621
"131","131",3488,3486,3486,-0.000573394495412844
"132","132",1245,1245,1245,0
"133","133",888,957,956,0.0765765765765766
"134","134",6269,6247,6249,-0.00319030148349019
"135","135",2515,2413,2417,-0.0389662027833002
"1009","1009",2515,2413,2417,-0.0389662027833002
"14492","14492",2515,2413,2417,-0.0389662027833002
"136","136",3498,3505,3504,0.00171526586620926
"137","137",1518,1520,1409,-0.0718050065876153
"138","138",2601,2601,2519,-0.0315263360246059
"139","139",1453,1452,1223,-0.158293186510668
"14145","14145",1453,1452,1223,-0.158293186510668
"140","140",1798,1606,1572,-0.125695216907675
"13811","13811",1798,1606,1572,-0.125695216907675
"141","141",1507,1270,1272,-0.15593895155939
"142","142",2062,2058,2056,-0.002909796314258
"2257","2257",2062,2058,2056,-0.002909796314258
"18212","18212",2062,2058,2056,-0.002909796314258
"143","143",1990,1990,1989,-0.00050251256281407
"144","144",2674,2674,3296,0.232610321615557
"145","145",1826,1664,1668,-0.0865279299014239
"7064","7064",1826,1664,1668,-0.0865279299014239
"11288","11288",1826,1664,1668,-0.0865279299014239
"13262","13262",1826,1664,1668,-0.0865279299014239
"16279","16279",1826,1664,1668,-0.0865279299014239
"146","146",1933,1932,1932,-0.000517330574236937
"147","147",4014,3652,3464,-0.137020428500249
"148","148",2628,2662,2662,0.012937595129376
"149","149",1902,1901,1817,-0.0446898002103049
"150","150",2074,2072,2072,-0.000964320154291225
"151","151",3278,3280,3263,-0.00457596095179988
"152","152",1297,1185,1184,-0.087124132613724
"153","153",4931,4931,4889,-0.00851754208071385
"154","154",5341,5341,5348,0.00131061598951507
"155","155",9462,9171,9131,-0.0349820333967449
"156","156",947,936,865,-0.0865892291446674
"157","157",7399,7442,6978,-0.0568995810244628
"158","158",1455,1421,1420,-0.0240549828178694
"159","159",2348,2345,2345,-0.00127768313458262
"160","160",1034,1034,1034,0
"882","882",1034,1034,1034,0
"161","161",5360,5396,5394,0.00634328358208955
"162","162",1996,2086,1763,-0.116733466933868
"5645","5645",1996,2086,1763,-0.116733466933868
"163","163",6293,6276,6285,-0.00127125377403464
"164","164",4069,4048,4033,-0.00884738264929958
"165","165",4007,4065,4072,0.0162216121786873
"166","166",6115,5262,5263,-0.139329517579722
"167","167",2339,1936,1936,-0.172295852928602
"230","230",2339,1936,1936,-0.172295852928602
"16054","16054",2339,1936,1936,-0.172295852928602
"168","168",2433,2401,2436,0.00123304562268804
"169","169",2291,2291,2291,0
"170","170",1737,1788,1776,0.0224525043177893
"171","171",1754,1754,1754,0
"172","172",5009,4997,4967,-0.00838490716709922
"173","173",1778,1724,1618,-0.0899887514060742
"174","174",2704,2778,3167,0.171227810650888
"8587","8587",2704,2778,3167,0.171227810650888
"12229","12229",2704,2778,3167,0.171227810650888
"13171","13171",2704,2778,3167,0.171227810650888
"175","175",3597,3596,3605,0.00222407561857103
"176","176",2294,2289,2076,-0.0950305143853531
"177","177",2207,2108,2090,-0.0530131400090621
"178","178",2481,2481,2540,0.0237807335751713
"179","179",3836,3942,3942,0.0276329509906152
"180","180",2162,2136,2064,-0.0453283996299722
"12513","12513",2162,2136,2064,-0.0453283996299722
"181","181",3718,3635,3639,-0.0212479827864443
"182","182",11832,11892,11927,0.0080290736984449
"183","183",4454,4454,4454,0
"184","184",3557,3554,3557,0
"185","185",3154,2997,3002,-0.0481927710843374
"186","186",1372,1339,1339,-0.0240524781341108
"187","187",3313,3283,3278,-0.0105644431029279
"188","188",2808,2746,2746,-0.0220797720797721
"1965","1965",2808,2746,2746,-0.0220797720797721
"12104","12104",2808,2746,2746,-0.0220797720797721
"13829","13829",2808,2746,2746,-0.0220797720797721
"14344","14344",2808,2746,2746,-0.0220797720797721
"15069","15069",2808,2746,2746,-0.0220797720797721
"189","189",5449,5449,5448,-0.000183519911910442
"190","190",1653,1653,1653,0
"191","191",1566,1565,1565,-0.000638569604086846
"192","192",2004,2004,2261,0.128243512974052
"2579","2579",2004,2004,2261,0.128243512974052
"193","193",2444,2444,2444,0
"194","194",3197,3304,3304,0.0334688770722552
"195","195",3408,3460,3402,-0.00176056338028169
"196","196",2742,2743,2743,0.000364697301239971
"197","197",11749,9909,7425,-0.368031321814623
"198","198",3441,3807,3739,0.0866027317640221
"199","199",3187,3186,3185,-0.000627549419516787
"200","200",2663,2843,2111,-0.207285016898235
"201","201",6308,6312,5995,-0.0496195307545973
"202","202",2766,2655,2655,-0.0401301518438178
"203","203",1103,1803,1721,0.560290117860381
"204","204",1384,1480,1479,0.0686416184971098
"205","205",1549,1549,1551,0.0012911555842479
"206","206",4647,4459,4338,-0.0664945125887669
"207","207",4532,4498,3581,-0.209841129744042
"208","208",5173,5150,4923,-0.0483278561763
"209","209",1058,895,900,-0.149338374291115
"210","210",2451,2451,2652,0.0820073439412485
"211","211",5094,4915,4915,-0.0351393796623479
"212","212",2613,2624,2623,0.00382701875239189
"213","213",1974,1974,1776,-0.100303951367781
"7513","7513",1974,1974,1776,-0.100303951367781
"214","214",3149,3142,2393,-0.240076214671324
"215","215",2412,2437,2441,0.0120232172470978
"216","216",3463,3265,3553,0.0259890268553278
"217","217",559,590,590,0.0554561717352415
"218","218",3821,3902,3810,-0.00287882753205967
"219","219",3135,3017,3000,-0.0430622009569378
"220","220",8270,7908,7958,-0.037726723095526
"221","221",1670,1533,1534,-0.081437125748503
"3690","3690",1670,1533,1534,-0.081437125748503
"6128","6128",1670,1533,1534,-0.081437125748503
"222","222",1955,2051,1922,-0.0168797953964194
"15359","15359",1955,2051,1922,-0.0168797953964194
"223","223",4621,4621,4520,-0.0218567409651591
"224","224",1452,1452,1452,0
"225","225",2036,2121,2016,-0.00982318271119843
"226","226",5182,5172,5166,-0.00308761096101891
"227","227",4766,4645,4538,-0.0478388585816198
"228","228",3170,3171,3171,0.000315457413249211
"229","229",2335,3809,2991,0.280942184154176
"231","231",3907,4069,3859,-0.0122856411568979
"232","232",1884,1770,1840,-0.0233545647558386
"233","233",1889,1779,1779,-0.0582318687136051
"234","234",1354,1357,1401,0.034711964549483
"9049","9049",1354,1357,1401,0.034711964549483
"235","235",2702,2437,2436,-0.0984455958549223
"236","236",4208,4208,4129,-0.0187737642585551
"237","237",7727,7717,7722,-0.000647081661705707
"238","238",1813,1813,1813,0
"239","239",2858,2843,2843,-0.00524842547235829
"240","240",4064,4014,3642,-0.103838582677165
"241","241",4496,4340,4337,-0.035364768683274
"242","242",7695,7457,7455,-0.0311890838206628
"243","243",4685,4511,4168,-0.110352187833511
"244","244",1774,1774,1774,0
"245","245",3445,3445,3421,-0.006966618287373
"246","246",1653,1520,1538,-0.0695704779189353
"17075","17075",1653,1520,1538,-0.0695704779189353
"18626","18626",1653,1520,1538,-0.0695704779189353
"19799","19799",1653,1520,1538,-0.0695704779189353
"247","247",3913,3619,3031,-0.225402504472272
"248","248",3466,3339,3226,-0.0692440854010387
"249","249",6871,6762,6622,-0.036239266482317
"250","250",2982,2194,2193,-0.264587525150905
"251","251",754,754,754,0
"4497","4497",754,754,754,0
"252","252",1749,1746,1746,-0.00171526586620926
"253","253",4025,4029,4029,0.000993788819875776
"254","254",4926,2904,2485,-0.495533901745838
"255","255",5011,4829,4830,-0.0361205348233885
"256","256",6685,7799,7535,0.12715033657442
"257","257",11631,11460,11461,-0.0146161121141776
"258","258",3099,3098,3090,-0.00290416263310745
"259","259",6283,6285,6287,0.00063663854846411
"260","260",5673,5630,5630,-0.00757976379340737
"261","261",1358,1299,1299,-0.0434462444771723
"262","262",2460,2577,2576,0.0471544715447154
"263","263",3043,3043,3018,-0.00821557673348669
"264","264",4907,5015,5021,0.0232321173833299
"265","265",2142,2143,2006,-0.0634920634920635
"266","266",2239,2286,2329,0.0401965163019205
"5090","5090",2239,2286,2329,0.0401965163019205
"17101","17101",2239,2286,2329,0.0401965163019205
"267","267",4495,4508,4527,0.00711902113459399
"268","268",5461,5446,5799,0.0618934261124336
"269","269",2607,2388,2394,-0.0817031070195627
"270","270",5108,4714,4714,-0.077133907595928
"271","271",2292,2274,2177,-0.050174520069808
"272","272",1671,1674,1674,0.00179533213644524
"18253","18253",1671,1674,1674,0.00179533213644524
"273","273",2101,2034,2033,-0.0323655402189434
"274","274",2477,2826,2533,0.0226079935405733
"275","275",2010,2029,2029,0.00945273631840796
"14131","14131",2010,2029,2029,0.00945273631840796
"276","276",4236,3803,4228,-0.00188857412653447
"277","277",1823,1823,1770,-0.0290729566648382
"10437","10437",1823,1823,1770,-0.0290729566648382
"278","278",3638,3794,3789,0.0415063221550302
"279","279",2308,2448,2364,0.024263431542461
"280","280",4656,4420,4400,-0.0549828178694158
"281","281",1719,1700,1700,-0.0110529377545084
"282","282",3288,3154,3156,-0.0401459854014599
"283","283",3773,3783,3783,0.00265041081367612
"284","284",1741,1741,1741,0
"285","285",2056,2078,2200,0.0700389105058366
"8304","8304",2056,2078,2200,0.0700389105058366
"286","286",2861,2818,2376,-0.169521146452289
"8177","8177",2861,2818,2376,-0.169521146452289
"287","287",1216,1216,1123,-0.0764802631578947
"288","288",4076,4076,4061,-0.00368007850834151
"289","289",2115,2095,2096,-0.00898345153664303
"19906","19906",2115,2095,2096,-0.00898345153664303
"290","290",5309,5408,5181,-0.0241100018835939
"291","291",3024,3334,3203,0.0591931216931217
"292","292",4754,4723,3151,-0.337189734960034
"293","293",3154,3087,3088,-0.0209258084971465
"4987","4987",3154,3087,3088,-0.0209258084971465
"294","294",2158,2188,2188,0.0139017608897127
"295","295",2208,2208,2210,0.000905797101449275
"296","296",1108,1108,1090,-0.0162454873646209
"11174","11174",1108,1108,1090,-0.0162454873646209
"297","297",3901,3901,4860,0.245834401435529
"298","298",2212,2072,2072,-0.0632911392405063
"299","299",1540,1471,1456,-0.0545454545454545
"5368","5368",1540,1471,1456,-0.0545454545454545
"8820","8820",1540,1471,1456,-0.0545454545454545
"15936","15936",1540,1471,1456,-0.0545454545454545
"300","300",1981,1978,1978,-0.00151438667339727
"301","301",2476,2351,2950,0.191437802907916
"15233","15233",2476,2351,2950,0.191437802907916
"302","302",1582,1586,1586,0.00252844500632111
"303","303",3689,3702,2710,-0.265383572783952
"18129","18129",3689,3702,2710,-0.265383572783952
"304","304",909,907,909,0
"305","305",3297,3308,3132,-0.0500454959053685
"306","306",4491,4433,4433,-0.01291471832554
"307","307",1570,1567,1561,-0.00573248407643312
"10236","10236",1570,1567,1561,-0.00573248407643312
"308","308",2276,2240,2283,0.00307557117750439
"14455","14455",2276,2240,2283,0.00307557117750439
"309","309",4153,4162,4163,0.00240789790512882
"310","310",3378,3371,3371,-0.00207223208999408
"311","311",3398,3475,3478,0.0235432607416127
"312","312",2019,2065,2090,0.0351659237246161
"313","313",916,668,770,-0.15938864628821
"7469","7469",916,668,770,-0.15938864628821
"314","314",5154,5075,5076,-0.0151338766006985
"315","315",3327,3435,3435,0.0324616771866546
"1063","1063",3327,3435,3435,0.0324616771866546
"316","316",2869,2895,2895,0.00906239107703032
"317","317",2319,1748,1902,-0.179818887451488
"318","318",2849,2886,1821,-0.360828360828361
"8691","8691",2849,2886,1821,-0.360828360828361
"13689","13689",2849,2886,1821,-0.360828360828361
"14836","14836",2849,2886,1821,-0.360828360828361
"18056","18056",2849,2886,1821,-0.360828360828361
"319","319",2884,2924,2705,-0.0620665742024965
"320","320",5727,5510,5494,-0.0406844770385891
"321","321",5140,5145,5162,0.00428015564202335
"322","322",4978,5064,3703,-0.256126958617919
"323","323",801,657,657,-0.179775280898876
"324","324",2051,2051,2051,0
"14466","14466",2051,2051,2051,0
"325","325",4508,4508,4498,-0.00221827861579414
"326","326",2677,2511,2511,-0.0620097123645872
"327","327",3394,2726,2675,-0.21184443134944
"328","328",3523,3535,5077,0.441101334090264
"329","329",1517,1514,1505,-0.00791034937376401
"330","330",7596,6985,6986,-0.0803054239073196
"331","331",3980,4556,4057,0.0193467336683417
"332","332",2512,2506,2507,-0.00199044585987261
"333","333",3225,3195,3020,-0.0635658914728682
"334","334",4384,4381,4381,-0.000684306569343066
"335","335",2072,2072,1978,-0.0453667953667954
"6545","6545",2072,2072,1978,-0.0453667953667954
"336","336",2026,1941,1856,-0.0839091806515301
"337","337",5101,5102,5104,0.000588119976475201
"338","338",3978,3202,3486,-0.1236802413273
"339","339",5740,5752,5752,0.00209059233449477
"340","340",4702,4704,4781,0.0168013611229264
"341","341",3229,3206,3255,0.00805202849179312
"342","342",1449,1765,1788,0.233954451345756
"343","343",2413,2748,2541,0.0530460008288438
"344","344",2648,2648,2647,-0.000377643504531722
"345","345",4678,2886,2153,-0.539760581445062
"346","346",4345,4174,4128,-0.0499424626006904
"347","347",7090,6900,6850,-0.0338504936530324
"348","348",1298,1185,1182,-0.0893682588597843
"895","895",1298,1185,1182,-0.0893682588597843
"349","349",1568,1375,1376,-0.122448979591837
"350","350",2504,2684,2624,0.0479233226837061
"351","351",5251,5141,5169,-0.0156160731289278
"352","352",2582,2576,2578,-0.00154918667699458
"353","353",3742,3603,3757,0.00400855157669695
"354","354",1953,1783,1783,-0.0870455709165387
"355","355",5734,5816,5714,-0.00348796651552145
"356","356",3562,3562,3538,-0.00673778775968557
"357","357",3810,4166,3918,0.0283464566929134
"4544","4544",3810,4166,3918,0.0283464566929134
"8924","8924",3810,4166,3918,0.0283464566929134
"11592","11592",3810,4166,3918,0.0283464566929134
"358","358",2478,2473,2684,0.0831315577078289
"14789","14789",2478,2473,2684,0.0831315577078289
"359","359",1559,1589,1499,-0.0384862091084028
"360","360",4801,4785,4863,0.0129139762549469
"361","361",6008,5773,6107,0.0164780292942743
"362","362",4754,4831,4623,-0.0275557425326041
"14406","14406",4754,4831,4623,-0.0275557425326041
"363","363",2601,3032,3051,0.173010380622837
"364","364",2451,2431,2174,-0.113015095879233
"365","365",1279,1279,1279,0
"366","366",2818,2821,2726,-0.0326472675656494
"367","367",2140,2643,2645,0.235981308411215
"368","368",6122,6013,6231,0.0178046390068605
"369","369",3871,3622,3622,-0.0643244639628003
"370","370",7668,7567,7278,-0.0508607198748044
"371","371",1421,1557,1551,0.091484869809993
"372","372",3726,3722,3722,-0.00107353730542136
"373","373",5168,5143,5097,-0.0137383900928793
"374","374",3330,3133,3132,-0.0594594594594595
"375","375",2730,2731,2932,0.073992673992674
"376","376",2711,2684,2685,-0.00959055699004058
"9203","9203",2711,2684,2685,-0.00959055699004058
"377","377",2035,2339,2339,0.149385749385749
"378","378",2576,2618,2840,0.102484472049689
"379","379",1469,1600,1600,0.0891763104152485
"380","380",7290,7255,6759,-0.0728395061728395
"381","381",1705,1691,1506,-0.116715542521994
"11619","11619",1705,1691,1506,-0.116715542521994
"382","382",1820,1960,1831,0.00604395604395604
"383","383",1280,1308,1308,0.021875
"384","384",2037,2037,2221,0.0903289150711831
"385","385",1831,1915,1915,0.0458765701802294
"386","386",1514,1530,1530,0.0105680317040951
"387","387",7748,7697,7304,-0.0573051109963862
"388","388",8115,8439,8161,0.00566851509550216
"389","389",2845,2845,2845,0
"390","390",2813,2620,2512,-0.107003199431212
"391","391",3706,3708,3708,0.000539665407447383
"392","392",1289,1468,1419,0.100853374709077
"393","393",7523,6258,7358,-0.0219327395985644
"394","394",1162,893,905,-0.221170395869191
