"city","year","lts","found_routes","access_15min_vol"
"san francisco",16,3,19998,51512718
"san francisco",16,4,20000,101604144
"san francisco",21,3,19958,65882366
"san francisco",21,4,19960,98122926
"san francisco",26,3,19966,61136927
"san francisco",26,4,19988,91756917
"san francisco",16,1,19994,27052240
"san francisco",16,2,19996,28668688
"san francisco",19,1,20000,37887348
"san francisco",19,2,20000,42030555
"san francisco",21,1,20000,38928298
"san francisco",21,2,20000,43009913
"san francisco",24,1,19991,38093867
"san francisco",24,2,19991,41982143
"san francisco",26,1,19958,38075416
"san francisco",26,2,19958,41711243
"san francisco",18,1,19994,37740679
"san francisco",20,1,20000,38337435
"san francisco",22,1,19999,39617540
