"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",82.3,79.6,61.6,46,72.9,66.4,60.5,46.1,73.3,69.6,58.5,49.1,11286,10645,11019,9120,11038,10791,10497,9029,11938,11578,10833,9475
"10","10",58.5,55,43.9,33.9,48.8,43.4,43.4,34.1,49.7,42.1,42,34.2,7401,7559,7213,6792,7551,7381,7381,6777,8280,7293,7293,6776
"100","100",87.1,76.7,62.9,54.2,70.5,65.6,64.3,55.1,72.8,69.3,67.2,56.1,12220,12130,11687,10542,12072,12227,12069,10554,12595,12189,12032,10684
"1000","1000",27.3,27.3,20.2,20.2,22.3,22.1,20.4,20.4,30.2,21.9,21.3,20.6,4289,4290,3957,3957,4299,4299,3975,3974,4139,3998,3998,3860
"10000","10000",46.5,45.5,33.2,26.1,35.2,35.2,29.9,26.2,34.6,31.6,30.2,26.4,5419,5419,5024,5077,6115,6116,5340,5084,5418,5389,5342,5081
"10001","10001",93,84.4,75.3,57,83.9,74,68.1,57.2,78.6,71.3,69,62.4,14166,14104,13071,11164,13813,12263,11929,11163,13125,12161,12298,11964
"10002","10002",6.6,6.6,6.6,6.6,17.5,17.5,6.5,6.5,20.5,20.5,6.4,6.4,1362,1362,1362,1362,1362,1362,1362,1362,1352,1352,1352,1352
"10003","10003",85.5,75.8,63.7,53.1,67.8,59.3,59.2,53.5,68,64.9,63.2,56.9,11619,11240,11078,10616,11606,11399,11278,10612,11916,11811,11571,11052
"10004","10004",55.3,48.8,42.4,30.5,41.3,33.4,33.4,31.3,36.9,31.7,31.7,29.2,6365,6383,6561,6017,6338,6114,6113,6130,5769,5512,5512,5341
"10005","10005",47,46.7,39.8,27.6,34.3,27.8,26.6,26.2,39.2,36.5,35.8,33.2,6815,6815,6338,5208,5237,5237,5177,5143,5696,5696,5674,5219
