"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Santiago",2016,1,2883306,3458.2,1.63,0,27.34,0.45,26.48,22.07,4.09,0,0.32,52.24,1.61,15.78,30.34,9269127.248,169916,1.83,48.94,1.46,19.41,30.18,132656,34847,0,2413,3.43,"20260303_134356",19985,14032977
"Santiago",2016,2,2883306,3459.04,1.63,0,26.88,0.45,26,21.64,4.05,0,0.32,50.93,3.83,15.63,29.59,9269127.248,169916,1.83,48.94,1.46,19.41,30.18,132656,34847,0,2413,3.43,"20260303_134356",19986,14576250
"Santiago",2019,1,2883306,3460.18,1.63,0.06,26.29,0.62,26.63,23.62,2.61,0.06,0.34,57.25,10.67,4.19,27.88,9813397.249,186205,1.9,52.53,12.54,5.37,29.56,152479,28955,468,4302,3.43,"20260303_134356",19977,15482816
"Santiago",2019,2,2883306,3424.21,1.62,-1.01,22.74,0.54,21.85,19.39,2.14,0.06,0.26,47.44,26.76,3.65,22.14,9813397.249,186205,1.9,52.53,12.54,5.37,29.56,152479,28955,468,4302,3.43,"20260303_134356",19986,20847642
"Santiago",2021,1,2883306,3428.53,1.62,-0.86,25.37,0.75,30.64,28.36,1.99,0.06,0.23,55.59,10.04,4.98,29.38,9953446.059,204919,2.06,52.5,11.92,6.49,29.09,174402,25159,429,4929,3.43,"20260303_134356",19987,16490374
"Santiago",2021,2,2883306,3385.4,1.6,-2.13,22.48,0.7,25.3,23.27,1.77,0.05,0.21,47.3,23.99,4.48,24.23,9953446.059,204919,2.06,52.5,11.92,6.49,29.09,174402,25159,429,4929,3.43,"20260303_134356",19991,21242079
"Santiago",2024,1,2883306,3389.7,1.6,-1.98,25.08,1.03,37.18,32.8,4.1,0.06,0.21,51.98,12,6.42,29.59,9684519.786,276649,2.86,50.72,13.72,7.6,27.95,225916,44799,539,5395,3.43,"20260303_134356",19962,16545913
"Santiago",2024,2,2883306,3341.64,1.58,-3.39,22,0.95,31.08,27.18,3.65,0.05,0.19,44.03,26.32,5.8,23.84,9684519.786,276649,2.86,50.72,13.72,7.6,27.95,225916,44799,539,5395,3.43,"20260303_134356",19966,21569663
"Santiago",2026,1,2883306,3382.96,1.59,-2.18,24.81,1.2,38.4,34.73,3.42,0.1,0.15,53.59,9.8,8.51,28.09,9474956.304,305666,3.23,50.41,11.43,10.52,27.64,249069,51105,2243,3248,3.43,"20260303_134356",19934,16940438
"Santiago",2026,2,2883306,3328.58,1.57,-3.77,22.23,1.15,33.9,30.48,3.18,0.09,0.16,46.59,21.47,7.78,24.15,9474956.304,305666,3.23,50.41,11.43,10.52,27.64,249069,51105,2243,3248,3.43,"20260303_134356",19936,20869767
