"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",3992,3598,3596,3683,3828,-0.0410821643286573
"2","2",4676,4639,4646,4046,3918,-0.162104362703165
"3","3",6890,5827,6802,5992,6089,-0.116255442670537
"4","4",4958,5010,4935,4956,5041,0.0167406212182332
"5","5",2180,2286,2311,2209,2455,0.126146788990826
"18435","18435",2180,2286,2311,2209,2455,0.126146788990826
"6","6",7837,7722,7027,6600,7637,-0.0255199693760368
"7","7",1565,1704,1652,1571,1571,0.00383386581469649
"8","8",2207,2369,2319,2122,2122,-0.0385138196647032
"9","9",1754,2091,2073,2115,2108,0.201824401368301
"10","10",2761,2587,2588,2760,2699,-0.022455632017385
"11","11",1301,1432,1434,1740,1705,0.310530361260569
"11917","11917",1301,1432,1434,1740,1705,0.310530361260569
"12","12",3351,3244,2993,3046,2971,-0.113398985377499
"13","13",1690,1448,1581,1582,1577,-0.0668639053254438
"14","14",2075,1808,1813,2094,1787,-0.138795180722892
"15","15",3705,3833,3839,3906,3938,0.0628879892037787
"16","16",2833,2908,2982,2930,2746,-0.0307094952347335
"17","17",1432,1946,1953,2169,2106,0.470670391061453
"18","18",2398,2383,2322,2316,2276,-0.0508757297748123
"19","19",2426,2328,2329,2159,2549,0.0507007419620775
"20","20",1472,1198,1461,1170,1205,-0.181385869565217
"21","21",4957,4924,4927,4850,4831,-0.025418599959653
"22","22",2789,3252,3217,3222,2904,0.0412334169953388
"23","23",2472,2612,2615,2339,2339,-0.0538025889967638
"24","24",3234,2972,3108,2830,2824,-0.126777983920841
"25","25",3055,4780,4780,3284,3292,0.0775777414075286
"26","26",3198,3315,3315,3236,3203,0.00156347717323327
"27","27",2781,2497,2496,2822,3094,0.11254944264653
"28","28",1290,1332,1336,1339,1326,0.027906976744186
"29","29",5877,5925,5825,6180,6130,0.0430491747490216
"30","30",3776,4276,4339,4119,4311,0.141684322033898
"31","31",7752,6795,6541,5713,6072,-0.21671826625387
"32","32",7923,7633,7633,7687,7516,-0.0513694307711725
"33","33",1941,1114,1100,1954,669,-0.655332302936631
"34","34",4204,4137,4053,4053,4131,-0.0173644148430067
"35","35",2001,1994,2000,2558,2734,0.36631684157921
"36","36",3261,3463,3193,3194,3020,-0.0739037105182459
"37","37",2044,1797,1799,1830,1814,-0.11252446183953
"38","38",1767,1769,1760,1607,1603,-0.0928126768534239
"39","39",5650,5912,5900,5205,5134,-0.0913274336283186
"40","40",3002,3343,3343,3355,3065,0.0209860093271153
"41","41",1027,999,993,998,953,-0.0720545277507303
"42","42",2535,2716,3112,3109,3109,0.226429980276134
"43","43",1673,1623,1672,1769,1649,-0.0143454871488344
"44","44",3149,2655,2744,3085,2471,-0.21530644649095
"45","45",1782,1884,1765,2137,2080,0.167227833894501
"46","46",1110,1225,1228,1224,1238,0.115315315315315
"47","47",2067,2158,2051,2065,2063,-0.0019351717464925
"48","48",1104,1071,1071,1071,1468,0.329710144927536
"49","49",4830,4918,5189,4616,4761,-0.0142857142857143
"50","50",3295,4317,4069,3847,4105,0.245827010622155
"51","51",4972,4938,5075,4256,4419,-0.111222847948512
"52","52",2872,3014,2995,2576,2596,-0.096100278551532
"53","53",3684,3863,3699,5003,4855,0.31786102062975
"54","54",3361,3556,4013,3571,3541,0.0535554894376674
"55","55",8183,8235,8682,7764,7751,-0.0527923744348039
"56","56",1243,1826,1825,1811,1536,0.235720032180209
"57","57",2355,2335,2335,2767,2498,0.0607218683651805
"58","58",7040,7690,7644,6230,6605,-0.0617897727272727
"59","59",2634,2634,2644,2490,2490,-0.0546697038724374
"61","61",3051,3093,2977,3011,2928,-0.04031465093412
"62","62",2528,2552,2906,2885,2670,0.0561708860759494
"63","63",3197,3823,3961,3959,3626,0.134188301532687
"64","64",1514,2415,2091,1746,1685,0.112945838837517
"65","65",3206,3004,3007,3530,3694,0.152214597629445
"66","66",4406,4822,4824,4901,4877,0.106899682251475
"67","67",2817,2914,2912,3234,3317,0.17749378771743
"68","68",5865,5175,5193,5188,5198,-0.113725490196078
"69","69",1428,1437,1464,1303,1312,-0.0812324929971989
"70","70",3848,4106,3860,3581,3360,-0.126819126819127
"71","71",5106,5075,4716,4712,4626,-0.0940070505287897
"72","72",2276,2042,2054,1979,1885,-0.171792618629174
"73","73",1929,2135,2125,2071,2172,0.12597200622084
"74","74",1078,1269,1279,1229,1228,0.139146567717996
"75","75",1948,1697,1696,1754,2384,0.223819301848049
"76","76",1441,1676,1682,1595,1461,0.0138792505204719
"77","77",4599,4698,4802,4678,4538,-0.0132637529897804
