"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Sao Paulo","2016",1,14433148,9173.57,1.49,0,7.74,74.63,1.43,7.41,16.52,9994112.089,148095.370160798,1.48,52.29,2.6,15.15,29.96,87960,43950,726,15460,"20260225_111300",13216,3269300
"Sao Paulo","2016",2,14433148,9434.26,1.49,0,8.19,71.39,5.97,6.98,15.65,9994112.089,148095.370160798,1.48,52.29,2.6,15.15,29.96,87960,43950,726,15460,"20260225_111300",13908,3463350
"Sao Paulo","2016",3,14433148,10912.65,1.46,0,7.6,50.5,5.85,33.53,10.1,9994112.089,148095.370160798,1.48,52.29,2.6,15.15,29.96,87960,43950,726,15460,"20260225_111300",17957,5542420
"Sao Paulo","2016",4,14433148,10397.22,1.28,0,4.52,22.81,2.56,15.64,58.98,9994112.089,148095.370160798,1.48,52.29,2.6,15.15,29.96,87960,43950,726,15460,"20260225_111300",19999,10771573
"Sao Paulo","2021",1,14433148,9664.76,1.48,5.35,13.37,79.76,2.92,4.37,12.95,10731248.44,314326.25262146,2.93,55.2,5.47,11.44,27.88,104503,188179,1373,20271,"20260225_111300",14593,3465034
"Sao Paulo","2021",2,14433148,10383.62,1.48,10.06,13.54,71.76,14.1,3.89,10.24,10731248.44,314326.25262146,2.93,55.2,5.47,11.44,27.88,104503,188179,1373,20271,"20260225_111300",16304,4109058
"Sao Paulo","2021",3,14433148,11134.94,1.43,2.04,13.09,53.84,14.17,24.59,7.4,10731248.44,314326.25262146,2.93,55.2,5.47,11.44,27.88,104503,188179,1373,20271,"20260225_111300",18783,5825232
"Sao Paulo","2021",4,14433148,10342.89,1.27,-0.52,13.61,25.34,6.01,11.81,56.84,10731248.44,314326.25262146,2.93,55.2,5.47,11.44,27.88,104503,188179,1373,20271,"20260225_111300",19999,11207906
"Sao Paulo","2026",1,14433148,9810.03,1.48,6.94,18.77,82.03,5.04,1.94,11,11079324.867,488490.626769368,4.41,55.12,12.48,5.91,26.49,139152,326401,3103,19835,"20260225_111300",14973,3597272
"Sao Paulo","2026",2,14433148,10965.55,1.45,16.23,18.84,62.14,29.52,1.39,6.95,11079324.867,488490.626769368,4.41,55.12,12.48,5.91,26.49,139152,326401,3103,19835,"20260225_111300",18093,5247183
"Sao Paulo","2026",3,14433148,11217.86,1.43,2.8,18.3,54.53,28.56,11.06,5.86,11079324.867,488490.626769368,4.41,55.12,12.48,5.91,26.49,139152,326401,3103,19835,"20260225_111300",19006,6259828
"Sao Paulo","2026",4,14433148,10296.69,1.26,-0.97,22.17,23.91,13.26,5,57.83,11079324.867,488490.626769368,4.41,55.12,12.48,5.91,26.49,139152,326401,3103,19835,"20260225_111300",19996,11412313
