"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Sao Paulo",2016,1,14433148,3711.77,1.67,0,31.85,0.28,5.5,3.25,1.65,0,0.6,66.38,1.87,10.08,21.64,9994112.089,148095,1.48,52.29,2.6,15.15,29.96,87960,43950,726,15460,6.06,"20260302_170725",19863,47297634
"Sao Paulo",2016,2,14433148,3743.72,1.68,0,30.82,0.29,5.51,3.17,1.76,0,0.58,64.28,5.82,9.58,20.29,9994112.089,148095,1.48,52.29,2.6,15.15,29.96,87960,43950,726,15460,6.06,"20260302_170725",19892,51847374
"Sao Paulo",2019,1,14433148,3693.65,1.64,-0.49,30.27,0.76,10.44,4.49,5.13,0.01,0.8,70.77,3.4,6.73,19.08,10455871.57,292936,2.8,53.73,5.32,11.57,29.38,99755,165371,1231,26578,6.06,"20260302_170725",19914,54252266
"Sao Paulo",2019,2,14433148,3741.74,1.66,-0.05,28.07,0.79,10.36,4.46,5.13,0.01,0.76,65.43,12.38,6.08,16.07,10455871.57,292936,2.8,53.73,5.32,11.57,29.38,99755,165371,1231,26578,6.06,"20260302_170725",19941,66421389
"Sao Paulo",2021,1,14433148,3704.26,1.65,-0.2,29.57,0.88,10.86,4.71,5.57,0.09,0.49,72.91,3.39,6.1,17.58,10731248.44,314326,2.93,55.2,5.47,11.44,27.88,104503,188179,1373,20271,6.06,"20260302_170725",19923,54012556
"Sao Paulo",2021,2,14433148,3736.93,1.66,-0.18,27.39,0.9,10.99,4.49,5.94,0.1,0.47,67.07,12.5,5.6,14.82,10731248.44,314326,2.93,55.2,5.47,11.44,27.88,104503,188179,1373,20271,6.06,"20260302_170725",19952,65999658
"Sao Paulo",2024,1,14433148,3685.72,1.63,-0.7,29.93,1.35,12.53,4.63,7.14,0.09,0.66,73.19,7.05,3.36,16.4,10935421.161,411293,3.76,54.33,12.55,6.11,27.01,97829,289535,2459,21471,6.06,"20260302_170725",19920,53322262
"Sao Paulo",2024,2,14433148,3699.14,1.63,-1.19,25.26,1.46,13.28,4.18,8.42,0.07,0.61,58.91,26.58,2.44,12.07,10935421.161,411293,3.76,54.33,12.55,6.11,27.01,97829,289535,2459,21471,6.06,"20260302_170725",19972,82313951
"Sao Paulo",2026,1,14433148,3697.07,1.64,-0.4,29.16,1.55,16.12,7.9,7.46,0.13,0.63,76,6.51,3.05,14.43,11079324.867,488491,4.41,55.12,12.48,5.91,26.49,139152,326401,3103,19835,6.06,"20260302_170725",19911,55613983
"Sao Paulo",2026,2,14433148,3699.23,1.63,-1.19,24.79,1.61,15.67,6.53,8.43,0.1,0.62,61.27,25.85,2.3,10.57,11079324.867,488491,4.41,55.12,12.48,5.91,26.49,139152,326401,3103,19835,6.06,"20260302_170725",19957,84395372
