"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",2538,3223,2998,2802,2710,0.0677698975571316
"2","2",1719,1783,1721,1831,1834,0.0668993600930774
"3","3",1600,1587,1591,1517,1509,-0.056875
"4","4",2143,2327,2321,2148,2075,-0.0317312179188054
"12869","12869",2143,2327,2321,2148,2075,-0.0317312179188054
"5","5",5439,5020,5086,12602,12575,1.31200588343445
"6","6",3312,4252,4885,6929,5062,0.528381642512077
"7","7",1027,1024,1024,1401,1401,0.364167478091529
"8","8",5206,5401,5496,5675,5958,0.144448713023435
"9","9",3480,4345,4051,4059,4059,0.166379310344828
"10","10",2942,2750,2786,2653,3176,0.079537729435758
"11","11",4876,4877,5851,5497,4952,0.0155865463494668
"12","12",1944,2608,2345,1788,1488,-0.234567901234568
"13","13",2737,2774,2788,2758,2822,0.031055900621118
"14","14",2662,2669,2684,2755,2320,-0.12847483095417
"15","15",1596,1706,1567,1451,2593,0.62468671679198
"16","16",3990,4215,4437,3601,3609,-0.0954887218045113
"17","17",3264,3465,3459,3062,3267,0.000919117647058824
"18","18",2318,1774,1775,1737,1737,-0.250647109577222
"19","19",5101,3520,3365,3334,3237,-0.365418545383258
"20","20",3220,3215,2920,3080,3078,-0.0440993788819876
"21","21",1749,1784,1786,1778,1778,0.0165809033733562
"22","22",4369,6978,4237,4466,6650,0.522087434195468
"23","23",2876,2728,2625,2625,2625,-0.0872739916550765
"24","24",2110,1928,1922,1946,1922,-0.0890995260663507
"25","25",4559,5375,4546,4038,4039,-0.11406010089932
"26","26",3513,3407,3409,3412,3413,-0.0284656988329063
"27","27",1802,1848,2140,2106,2384,0.322974472807991
"28","28",2194,2192,1985,2166,2166,-0.0127620783956244
"29","29",2911,3458,3074,2938,3333,0.144967365166609
"30","30",1448,1487,1487,1463,1460,0.00828729281767956
"31","31",5397,5334,5137,5300,5395,-0.000370576246062627
"32","32",2396,1915,1900,1900,1900,-0.207011686143573
"33","33",8800,9355,9655,9714,9728,0.105454545454545
"34","34",5384,6488,5296,5059,4611,-0.143573551263001
"35","35",2230,2364,2690,2690,2999,0.344843049327354
"36","36",3079,2906,3029,3199,3189,0.0357258850276064
"37","37",2160,1894,1890,3123,3123,0.445833333333333
"38","38",2780,3614,2833,2546,2546,-0.0841726618705036
"39","39",4798,4811,4873,4948,4936,0.0287619841600667
"40","40",8980,8813,8827,8652,8652,-0.0365256124721604
"41","41",1174,1298,1766,1285,1283,0.0928449744463373
"42","42",2853,1767,1758,1814,1814,-0.364178058184367
"1912","1912",2853,1767,1758,1814,1814,-0.364178058184367
"43","43",2251,2153,2195,2566,2363,0.049755664149267
"44","44",2802,3072,3081,3167,2980,0.0635260528194147
"19505","19505",2802,3072,3081,3167,2980,0.0635260528194147
"45","45",3747,3791,3781,4138,4124,0.100613824392848
"46","46",3064,4101,3865,2601,3942,0.286553524804178
"47","47",1026,1039,1036,954,954,-0.0701754385964912
"48","48",4853,5007,5195,5050,5038,0.0381207500515145
"49","49",2976,2982,3044,2982,2982,0.00201612903225806
"50","50",3674,3691,3588,3894,3895,0.0601524224278715
"51","51",1944,1955,1954,1943,1943,-0.00051440329218107
"52","52",2480,2430,2394,2180,2180,-0.120967741935484
"53","53",1556,1557,1592,1418,1409,-0.0944730077120823
"54","54",7306,7368,7352,7984,7914,0.0832192718313715
"55","55",1013,1009,1238,1268,1266,0.249753208292201
"56","56",1138,1213,1187,1181,1168,0.0263620386643234
"57","57",6589,7108,6894,6482,6479,-0.01669449081803
"58","58",4341,3806,3790,3952,3952,-0.0896106887813868
"59","59",7302,7778,8317,7518,7155,-0.0201314708299096
"60","60",1317,1326,1333,1336,2160,0.640091116173121
"61","61",2413,2437,2432,2164,2164,-0.10319104848736
"62","62",2334,2329,2348,2591,2854,0.222793487574979
"63","63",7213,7750,7209,7433,7366,0.0212117010952447
"64","64",3914,4234,4190,5203,5135,0.311957077158917
"65","65",979,1034,1033,1033,1033,0.0551583248212462
"66","66",2365,2208,2136,2130,2170,-0.0824524312896406
"67","67",2082,1703,1705,1687,2080,-0.000960614793467819
"68","68",6870,8943,8190,7764,9064,0.319359534206696
"69","69",2699,2121,1938,1875,1875,-0.305298258614302
"70","70",5497,5245,5502,5744,5614,0.0212843369110424
"71","71",2143,3176,2295,2704,2704,0.261782547830145
"72","72",1369,1353,1350,1382,1410,0.0299488677867056
"73","73",2007,2085,1543,1543,1543,-0.231190832087693
"206","206",2007,2085,1543,1543,1543,-0.231190832087693
"74","74",2200,1986,2122,2383,2384,0.0836363636363636
"75","75",5321,5200,5328,4722,4723,-0.11238489005826
"76","76",2551,2523,2530,2636,2636,0.0333202665621325
"77","77",4257,4236,4224,4216,4142,-0.0270143293399107
"78","78",2218,2258,2401,2324,2324,0.0477908025247971
"79","79",1249,1320,1528,1499,1499,0.200160128102482
"80","80",3115,2709,2701,2704,2752,-0.11653290529695
"81","81",4550,4504,4507,4732,5217,0.146593406593407
"82","82",1516,1192,1174,1183,1183,-0.219656992084433
"83","83",1586,1517,1317,1318,1433,-0.096469104665826
