"city","year","lts","found_routes","access_15min_vol"
"sao paulo",16,3,17957,5542420
"sao paulo",16,4,19999,10771573
"sao paulo",21,3,18783,5825232
"sao paulo",21,4,19999,11207906
"sao paulo",26,3,19006,6259828
"sao paulo",26,4,19996,11412313
"sao paulo",16,1,19912,18266753
"sao paulo",16,2,19930,19280187
"sao paulo",19,1,19957,21471760
"sao paulo",19,2,19970,24160123
"sao paulo",21,1,19969,22396323
"sao paulo",21,2,19981,25000439
"sao paulo",24,1,19981,23172706
"sao paulo",24,2,19986,29480592
"sao paulo",26,1,19966,24412037
"sao paulo",26,2,19969,30663070
