"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Seattle",2016,1,1821685,3582.95,1.69,0,31.85,1.46,19.24,7.72,3.44,6.91,1.18,61.89,3.81,13.41,20.87,3968229.911,232604,5.86,53.96,5.56,18.42,22.07,49342,73651,97067,12545,5.19,"20260302_171236",19926,482658777
"Seattle",2016,2,1821685,3682.09,1.72,0,29.33,1.68,23.49,7.92,8.05,6.53,0.98,56.77,14.46,11.61,17.14,3968229.911,232604,5.86,53.96,5.56,18.42,22.07,49342,73651,97067,12545,5.19,"20260302_171236",19974,630432743
"Seattle",2019,1,1821685,3618.5,1.69,0.99,29.19,1.88,20.91,10.02,2.88,6.65,1.36,73.09,2.77,9.54,14.59,4557913.973,252300,5.54,62.16,5.49,14.44,17.91,54396,72968,110194,14741,5.19,"20260302_171236",19988,617039116
"Seattle",2019,2,1821685,3649.91,1.71,-0.87,27.19,1.99,23.29,9.87,6.42,5.92,1.07,66.58,12.38,8.17,12.85,4557913.973,252300,5.54,62.16,5.49,14.44,17.91,54396,72968,110194,14741,5.19,"20260302_171236",19996,742804268
"Seattle",2021,1,1821685,3600.54,1.69,0.49,26.73,2,23.76,13.49,1.76,7.39,1.13,81.17,4.81,4.39,9.63,4656005.411,279331,6,66.33,6.43,11.65,15.59,65438,72747,126526,14619,5.19,"20260302_171236",20000,842055441
"Seattle",2021,2,1821685,3595.5,1.69,-2.35,23.4,2.05,28.59,12.82,5.4,8.95,1.41,69.08,20.76,3.81,6.35,4656005.411,279331,6,66.33,6.43,11.65,15.59,65438,72747,126526,14619,5.19,"20260302_171236",20000,1463047516
"Seattle",2024,1,1821685,3635.02,1.7,1.45,26.34,2.49,31.37,19.33,1.16,9.17,1.7,85.4,6.73,0.66,7.21,4703395.466,306157,6.51,68.95,14.71,1.48,14.86,79175,66731,142559,17691,5.19,"20260302_171236",20000,985830552
"Seattle",2024,2,1821685,3533.96,1.66,-4.02,21.28,2.58,36.29,16.68,7.13,11.19,1.29,61.69,32.84,0.78,4.7,4703395.466,306157,6.51,68.95,14.71,1.48,14.86,79175,66731,142559,17691,5.19,"20260302_171236",20000,1660466956
"Seattle",2026,1,1821685,3565.11,1.67,-0.5,25.36,2.68,32.21,19.41,0.74,9.82,2.25,87.43,5.46,0.43,6.68,4678277.763,327332,7,71.81,13.03,1.15,14,100320,59072,147761,20179,5.19,"20260302_171236",19973,944757455
"Seattle",2026,2,1821685,3486.65,1.64,-5.31,21.02,2.57,38.35,18.57,5.92,12.29,1.57,64.34,30.79,0.58,4.29,4678277.763,327332,7,71.81,13.03,1.15,14,100320,59072,147761,20179,5.19,"20260302_171236",19973,1645209584
