"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",1747,2025,2025,1859,1919,0.0984544934172868
"10563","10563",1747,2025,2025,1859,1919,0.0984544934172868
"2","2",3481,3852,3107,2831,2897,-0.167767882792301
"3","3",3833,3809,4074,4093,3992,0.0414818679885207
"4","4",3250,3397,2898,2968,3005,-0.0753846153846154
"5","5",6559,6034,6119,6212,6045,-0.0783656045128831
"6","6",2923,2907,2915,2912,2925,0.000684228532329798
"4906","4906",2923,2907,2915,2912,2925,0.000684228532329798
"7709","7709",2923,2907,2915,2912,2925,0.000684228532329798
"7","7",2668,2402,2477,2451,2519,-0.0558470764617691
"8","8",1475,1558,1344,1325,1914,0.297627118644068
"5839","5839",1475,1558,1344,1325,1914,0.297627118644068
"11113","11113",1475,1558,1344,1325,1914,0.297627118644068
"15146","15146",1475,1558,1344,1325,1914,0.297627118644068
"17450","17450",1475,1558,1344,1325,1914,0.297627118644068
"9","9",3389,2915,3395,3368,3363,-0.00767187961050457
"10","10",12360,11611,11025,11013,10599,-0.14247572815534
"11","11",1158,2026,1447,1299,1368,0.181347150259067
"7769","7769",1158,2026,1447,1299,1368,0.181347150259067
"8379","8379",1158,2026,1447,1299,1368,0.181347150259067
"18345","18345",1158,2026,1447,1299,1368,0.181347150259067
"12","12",931,1030,1030,974,984,0.0569280343716434
"13","13",2055,2055,1432,1352,1352,-0.342092457420925
"14","14",2957,2871,3051,3805,3267,0.104835982414609
"15","15",2580,2676,2644,2644,2578,-0.000775193798449612
"16","16",8864,8790,8307,9708,9670,0.0909296028880866
"17","17",3041,2949,2911,2860,2944,-0.0318974021703387
"18","18",4109,3986,4412,4035,4029,-0.0194694572888781
"19","19",8176,8129,7627,8180,8212,0.00440313111545988
"20","20",5118,5331,5319,5044,5084,-0.00664322000781555
"21","21",1311,1296,1281,1196,1195,-0.0884820747520976
"22","22",10221,10008,10088,9986,9845,-0.0367870071421583
"23","23",1017,1028,1119,1127,976,-0.04031465093412
"24","24",1495,1317,1317,1344,1344,-0.101003344481605
"25","25",3632,3649,3649,3270,3296,-0.092511013215859
"26","26",3927,4027,3626,3417,3619,-0.0784313725490196
"27","27",1497,1968,1469,1470,1560,0.0420841683366733
"300","300",1497,1968,1469,1470,1560,0.0420841683366733
"16766","16766",1497,1968,1469,1470,1560,0.0420841683366733
"28","28",1621,1484,1670,1724,1751,0.0801974090067859
"11745","11745",1621,1484,1670,1724,1751,0.0801974090067859
"29","29",2818,2697,3469,2911,2959,0.0500354861603974
"30","30",3808,3897,3941,4108,4044,0.0619747899159664
"31","31",4140,3089,3004,3134,3134,-0.242995169082126
"32","32",4036,4301,4300,3685,4066,0.00743310208126858
"33","33",1038,1038,1374,1255,1050,0.0115606936416185
"34","34",3639,2716,2716,2393,2394,-0.342126957955482
"35","35",9659,8679,8157,8650,7866,-0.185629982399834
"36","36",2667,2752,3065,3031,3031,0.136482939632546
"37","37",1566,1566,1566,1529,1541,-0.0159642401021711
"38","38",3101,3018,3080,2706,2750,-0.113189293776201
"39","39",2708,2694,3006,2749,2823,0.042466765140325
"40","40",5157,5135,5179,5232,5177,0.00387822377351173
"41","41",4393,4399,4390,4447,4320,-0.0166173457773731
"42","42",1577,1541,1540,1553,1553,-0.0152187698161065
"16775","16775",1577,1541,1540,1553,1553,-0.0152187698161065
"43","43",5705,5700,6387,6709,6702,0.17475898334794
"44","44",1392,1301,1310,1373,1389,-0.0021551724137931
"977","977",1392,1301,1310,1373,1389,-0.0021551724137931
"16772","16772",1392,1301,1310,1373,1389,-0.0021551724137931
"45","45",7520,7226,6369,7237,7010,-0.0678191489361702
"46","46",11933,11191,11786,11767,11285,-0.0543031928266153
"47","47",1421,2244,1672,1966,1896,0.334271639690359
"48","48",4447,4349,4201,4572,4197,-0.0562176748369687
"49","49",4285,4501,4625,4868,5060,0.180863477246208
"50","50",1326,1734,1765,1667,2091,0.576923076923077
"51","51",2664,4554,3261,3510,2507,-0.0589339339339339
"52","52",5570,5732,5783,5853,5944,0.0671454219030521
"53","53",2418,2434,2820,2612,2661,0.100496277915633
"12131","12131",2418,2434,2820,2612,2661,0.100496277915633
"54","54",3672,4130,3960,3945,4034,0.0985838779956427
"55","55",2002,2002,1297,1971,1420,-0.290709290709291
"57","57",4269,4048,3967,3932,3933,-0.078706957132818
"58","58",6043,6371,6374,6649,6690,0.107066026807877
"59","59",5468,6840,5844,5888,5827,0.0656547183613753
"60","60",1957,2095,1892,1915,1863,-0.0480327031170158
"3630","3630",1957,2095,1892,1915,1863,-0.0480327031170158
"12858","12858",1957,2095,1892,1915,1863,-0.0480327031170158
"61","61",632,574,574,573,573,-0.0933544303797468
"62","62",1960,1825,1827,1900,1821,-0.0709183673469388
"6080","6080",1960,1825,1827,1900,1821,-0.0709183673469388
"17310","17310",1960,1825,1827,1900,1821,-0.0709183673469388
"63","63",1675,2279,2273,1613,1775,0.0597014925373134
"2180","2180",1675,2279,2273,1613,1775,0.0597014925373134
"4525","4525",1675,2279,2273,1613,1775,0.0597014925373134
"9220","9220",1675,2279,2273,1613,1775,0.0597014925373134
"64","64",4079,4123,3456,3435,3470,-0.149301299338073
"12748","12748",4079,4123,3456,3435,3470,-0.149301299338073
"15161","15161",4079,4123,3456,3435,3470,-0.149301299338073
"65","65",3787,3787,4069,3853,4119,0.0876683390546607
"66","66",7965,7220,7117,7561,7170,-0.0998116760828625
"67","67",3462,3888,3959,4039,4039,0.166666666666667
"68","68",2473,2491,2491,2498,2492,0.00768297614233724
"69","69",1903,1963,1932,1897,1897,-0.00315291644771414
"70","70",4576,6977,7031,6715,6727,0.470061188811189
"71","71",3593,3725,3733,3484,3484,-0.0303367659337601
"72","72",4628,4590,4132,4201,4183,-0.0961538461538462
"73","73",4212,4681,4864,5080,4508,0.0702754036087369
"74","74",3145,3094,3109,3085,3085,-0.0190779014308426
"75","75",8124,7728,7063,7793,7638,-0.0598227474150665
"76","76",5488,4641,8874,8731,5311,-0.0322521865889213
"77","77",1712,1713,1723,1760,1762,0.0292056074766355
"78","78",1372,1389,1389,1369,1369,-0.0021865889212828
"79","79",2897,2944,3001,3454,3012,0.0396962374870556
"80","80",2156,2015,1882,1908,1907,-0.115491651205937
"81","81",4374,4387,4432,4576,4694,0.0731595793324188
"82","82",6221,3902,3825,3541,3583,-0.424047580774795
"83","83",1443,1632,1828,1444,1445,0.00138600138600139
"84","84",1857,1845,1756,1805,1806,-0.0274636510500808
"3625","3625",1857,1845,1756,1805,1806,-0.0274636510500808
"85","85",2155,2067,2060,2076,2078,-0.0357308584686775
"86","86",1595,1706,1707,1689,1693,0.0614420062695925
"87","87",2880,2901,3504,3260,3304,0.147222222222222
"12962","12962",2880,2901,3504,3260,3304,0.147222222222222
"88","88",1511,1297,1292,1375,1423,-0.0582395764394441
"89","89",3266,3145,3145,3280,3106,-0.0489895897121862
"90","90",2062,2096,2108,2300,2102,0.0193986420950533
"91","91",4735,4633,4860,4562,4687,-0.0101372756071806
"92","92",5528,6294,5900,5677,6437,0.164435600578871
"93","93",1797,1791,1801,1808,1810,0.00723427935447969
"94","94",971,1097,1004,1026,1016,0.0463439752832132
"95","95",1122,2043,1174,6336,6308,4.62210338680927
"1384","1384",1122,2043,1174,6336,6308,4.62210338680927
"96","96",4786,3885,4154,4062,4128,-0.137484329293773
"97","97",4683,4792,4282,4375,4373,-0.0661968823403801
"98","98",2275,2345,2485,2402,2469,0.0852747252747253
"99","99",2303,1969,2059,2068,2059,-0.105948762483717
"100","100",1863,1792,1789,1779,1796,-0.0359634997316157
"969","969",1863,1792,1789,1779,1796,-0.0359634997316157
"4006","4006",1863,1792,1789,1779,1796,-0.0359634997316157
"18817","18817",1863,1792,1789,1779,1796,-0.0359634997316157
"101","101",2760,4010,3010,2979,3061,0.109057971014493
"3666","3666",2760,4010,3010,2979,3061,0.109057971014493
"102","102",3014,2812,2911,2888,2956,-0.0192435301924353
"103","103",4330,4373,5375,4296,4175,-0.035796766743649
"104","104",3362,3529,3508,3439,3422,0.0178465199286139
"105","105",1139,1137,1137,1115,1154,0.0131694468832309
"106","106",6866,5955,5854,6384,5808,-0.154092630352461
"107","107",4027,4734,4511,4228,4824,0.197914079960268
"108","108",2507,2434,2887,2864,2365,-0.0566414040686079
"109","109",1790,2826,2367,2294,2367,0.322346368715084
"3046","3046",1790,2826,2367,2294,2367,0.322346368715084
"14498","14498",1790,2826,2367,2294,2367,0.322346368715084
"15748","15748",1790,2826,2367,2294,2367,0.322346368715084
"110","110",3762,3760,3348,3400,3703,-0.0156831472620946
"111","111",2744,2810,2746,2840,2715,-0.0105685131195335
"112","112",1794,1794,1777,1736,1751,-0.0239687848383501
"113","113",8809,9816,10050,9307,8594,-0.0244068566239074
"114","114",1508,1575,1297,1485,1265,-0.161140583554377
"115","115",3038,3120,3132,3211,3168,0.0427913100724161
"116","116",2395,2454,2489,2394,2375,-0.00835073068893528
"117","117",1313,1310,1309,1248,1248,-0.0495049504950495
"118","118",7209,7927,7531,7325,6823,-0.0535441808850049
"119","119",5296,5076,5393,5507,5152,-0.027190332326284
"120","120",6469,6414,6286,6214,6214,-0.039418766424486
"121","121",3285,3483,3519,3535,3447,0.0493150684931507
"122","122",904,950,948,1078,1131,0.251106194690265
"645","645",904,950,948,1078,1131,0.251106194690265
"1559","1559",904,950,948,1078,1131,0.251106194690265
"4499","4499",904,950,948,1078,1131,0.251106194690265
"19182","19182",904,950,948,1078,1131,0.251106194690265
"19253","19253",904,950,948,1078,1131,0.251106194690265
"123","123",2556,2175,2418,2347,2350,-0.0805946791862285
"124","124",5157,5276,5150,5427,4953,-0.0395578824898197
"125","125",2121,2188,2137,2294,2320,0.0938236680810938
"126","126",4500,4376,4504,4694,4560,0.0133333333333333
"127","127",3214,3465,3441,3223,3349,0.0420037336652147
"13170","13170",3214,3465,3441,3223,3349,0.0420037336652147
"128","128",1176,1437,1329,1333,1331,0.131802721088435
"9542","9542",1176,1437,1329,1333,1331,0.131802721088435
"129","129",3492,1905,1496,1818,2609,-0.252863688430699
"7308","7308",3492,1905,1496,1818,2609,-0.252863688430699
"130","130",8011,8146,9714,8234,8296,0.0355760828860317
"131","131",4999,5741,5265,5060,5561,0.112422484496899
"132","132",1705,1799,2057,1811,1833,0.0750733137829912
"133","133",2543,2550,2563,2558,2556,0.00511207235548565
"134","134",1864,1862,1862,1851,1848,-0.00858369098712446
"135","135",2744,2356,2245,2275,2279,-0.169460641399417
"8666","8666",2744,2356,2245,2275,2279,-0.169460641399417
"136","136",1878,1878,1878,1922,1922,0.0234291799787007
"137","137",1670,1689,1680,1491,1677,0.00419161676646707
"138","138",2118,2109,2099,2105,2105,-0.00613786591123702
"139","139",1093,1193,1037,839,838,-0.233302836230558
"140","140",4877,4928,4783,4832,4593,-0.0582325199917982
"141","141",1962,1958,1950,1955,1952,-0.00509683995922528
"142","142",1646,1645,1700,1674,1669,0.0139732685297691
"259","259",1646,1645,1700,1674,1669,0.0139732685297691
"143","143",10445,8897,6935,6831,7463,-0.285495452369555
"144","144",1728,1831,1872,1747,1748,0.0115740740740741
"145","145",9755,9409,8797,9494,9551,-0.020912352639672
"146","146",2823,3110,3336,6074,3148,0.115125752745306
"147","147",5759,6010,6327,5842,5848,0.0154540718874805
"148","148",1658,2078,1370,1285,1338,-0.193003618817853
"149","149",1954,2164,1921,1976,1785,-0.086489252814739
"150","150",2764,3289,3379,3146,3118,0.128075253256151
"151","151",4367,4184,3774,4079,3544,-0.188458896267461
"152","152",4893,4912,4593,4598,4598,-0.0602902105048028
"153","153",12526,12625,12753,13083,12965,0.0350471020277822
"154","154",3281,2816,2806,2780,2780,-0.1526973483694
"155","155",11218,10854,10984,10190,10204,-0.0903904439293992
"156","156",4963,5855,5850,6896,6618,0.333467660689099
