"city","year","lts","found_routes","access_15min_vol"
"seattle",16,3,20000,166991783
"seattle",16,4,20000,295168261
"seattle",21,3,20000,162627009
"seattle",21,4,20000,275223090
"seattle",26,3,19989,155081255
"seattle",26,4,19992,244643181
"seattle",16,1,19926,482658777
"seattle",16,2,19974,630432743
"seattle",19,1,19988,617039116
"seattle",19,2,19996,742804268
"seattle",21,1,20000,842055441
"seattle",21,2,20000,1463047516
"seattle",24,1,20000,985830552
"seattle",24,2,20000,1660466956
"seattle",26,1,19973,944757455
"seattle",26,2,19973,1645209584
