"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Seoul",2016,1,9796000,3321.46,1.82,0,29.57,0.05,2.34,2.32,0,0,0.02,60.2,0.78,3.86,35.12,8438486.004,79104,0.94,55.53,1.22,6.42,36.84,78996,0,0,108,4.33,"20260302_171656",19934,1279521373
"Seoul",2016,2,9796000,3338.73,1.83,0,29.17,0.05,2.3,2.28,0,0,0.02,59.09,2.38,3.82,34.66,8438486.004,79104,0.94,55.53,1.22,6.42,36.84,78996,0,0,108,4.33,"20260302_171656",19946,1327514105
"Seoul",2019,1,9796000,3254.87,1.72,-2,24.95,0.41,11.14,9.21,0.1,0.58,1.26,73.83,0.58,3.44,22.14,9546081.593,187674,1.97,62.67,1.1,6.58,29.64,135767,11979,25341,14586,4.33,"20260302_171656",19966,1449135252
"Seoul",2019,2,9796000,3259.74,1.73,-2.37,24.62,0.41,10.93,9.06,0.1,0.52,1.25,72.82,2.03,3.39,21.75,9546081.593,187674,1.97,62.67,1.1,6.58,29.64,135767,11979,25341,14586,4.33,"20260302_171656",19969,1491641252
"Seoul",2021,1,9796000,3214.46,1.7,-3.22,23.57,0.45,11.39,9.48,0.06,0.65,1.2,78.24,0.7,3,18.06,9951391.308,188848,1.9,65.36,1.36,5.99,27.29,140913,9409,26497,12030,4.33,"20260302_171656",19974,1582056287
"Seoul",2021,2,9796000,3203.85,1.69,-4.04,23,0.42,11.35,9.55,0.06,0.57,1.17,76.61,2.93,2.93,17.53,9951391.308,188848,1.9,65.36,1.36,5.99,27.29,140913,9409,26497,12030,4.33,"20260302_171656",19975,1632763234
"Seoul",2024,1,9796000,3175.51,1.68,-4.39,22.28,0.54,12.21,9.95,0.08,0.33,1.85,82.13,0.71,3.64,13.52,10540972.138,213619,2.03,69.84,1.31,6.84,22.01,156090,10701,22918,23910,4.33,"20260302_171656",20000,1751346515
"Seoul",2024,2,9796000,3153.18,1.67,-5.56,21.7,0.54,12.55,10.28,0.09,0.33,1.85,80.13,3.18,3.55,13.15,10540972.138,213619,2.03,69.84,1.31,6.84,22.01,156090,10701,22918,23910,4.33,"20260302_171656",20000,1783358936
"Seoul",2026,1,9796000,3181.38,1.68,-4.22,22.23,0.55,12.22,9.93,0.09,0.35,1.85,83.43,0.67,3.01,12.88,10688532.554,218598,2.05,70.6,1.42,6.45,21.53,160240,10701,23595,24062,4.33,"20260302_171656",19949,1784250341
"Seoul",2026,2,9796000,3159.57,1.67,-5.37,21.66,0.54,12.3,10.02,0.1,0.34,1.84,81.66,2.95,2.96,12.44,10688532.554,218598,2.05,70.6,1.42,6.45,21.53,160240,10701,23595,24062,4.33,"20260302_171656",19962,1811665592
