"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",12883,11684,11736,12484,12549,-0.025925638438252
"2","2",3225,3386,3437,3544,3544,0.0989147286821705
"3","3",1396,1387,1335,1630,1268,-0.0916905444126074
"4","4",3336,3464,3602,3396,3636,0.0899280575539568
"5","5",11695,11238,11158,8361,8369,-0.284395040615648
"6","6",2520,2954,2954,2857,2789,0.106746031746032
"7","7",6762,7081,6653,6527,6452,-0.0458444247264123
"8","8",7146,7053,6710,6318,6337,-0.113210187517492
"9","9",1249,1303,1309,1309,1309,0.0480384307445957
"10","10",7751,7258,7250,7235,7241,-0.065797961553348
"11","11",9215,9250,8795,9191,9368,0.0166033640803039
"12","12",1274,1229,1230,1230,1219,-0.043171114599686
"13","13",5744,5657,5647,5635,5650,-0.0163649025069638
"14","14",1119,1118,1121,1312,1326,0.184986595174263
"15","15",2540,2713,2712,2493,2280,-0.102362204724409
"16","16",1383,1397,1545,1582,1597,0.154736080983369
"17","17",1359,1415,1376,1577,1614,0.187637969094923
"18","18",2657,2274,2162,2270,2270,-0.145652992096349
"19","19",10002,8417,8520,9317,9436,-0.0565886822635473
"20","20",3242,2940,2936,3283,3236,-0.00185070943861814
"21","21",2553,2566,2566,2566,2567,0.0054837446141794
"22","22",1187,1181,1317,1324,1324,0.11541701769166
"23","23",1940,1796,1697,1705,1705,-0.121134020618557
"24","24",8961,6693,5335,5330,5195,-0.420265595357661
"25","25",7942,8334,8385,8130,8144,0.0254343993956182
"26","26",1949,2013,2105,2104,2216,0.136993329912776
"27","27",6194,3516,2222,1886,1886,-0.695511785598967
"7491","7491",6194,3516,2222,1886,1886,-0.695511785598967
"11650","11650",6194,3516,2222,1886,1886,-0.695511785598967
"28","28",1226,1263,1263,1296,1300,0.0603588907014682
"29","29",7426,7274,7531,7666,7678,0.0339348235927821
"30","30",4490,4520,4603,5136,5137,0.144097995545657
"31","31",1395,1604,1485,1473,1457,0.0444444444444444
"32","32",2267,2617,2615,2336,2165,-0.0449933833259815
"33","33",1008,1109,1025,1041,1057,0.0486111111111111
"34","34",5950,5247,5230,5486,5183,-0.12890756302521
"35","35",3120,2891,2885,2926,2613,-0.1625
"36","36",8355,2009,1944,1944,1783,-0.786594853381209
"37","37",2321,2185,2200,2406,2456,0.0581645842309349
"38","38",1436,1434,1434,1433,1434,-0.00139275766016713
"10807","10807",1436,1434,1434,1433,1434,-0.00139275766016713
"39","39",8183,5829,5801,5928,5623,-0.312843700354393
"40","40",1426,1427,1427,1405,1578,0.106591865357644
"41","41",3291,3682,3467,3164,3163,-0.0388939532057125
"42","42",3129,3114,3121,3188,3086,-0.0137424097155641
"44","44",2306,2281,2281,2345,2345,0.0169124024284475
"45","45",721,804,756,849,738,0.0235783633841886
"46","46",3098,3292,2782,2412,2412,-0.221433182698515
"47","47",3624,3726,2790,2540,2540,-0.299116997792494
"48","48",3396,3449,3495,3507,3507,0.0326855123674912
"11737","11737",3396,3449,3495,3507,3507,0.0326855123674912
"49","49",657,952,956,956,956,0.455098934550989
"50","50",2696,2649,3015,2386,2386,-0.114985163204748
"51","51",7271,4626,4356,6102,6102,-0.160775684225003
"52","52",2204,2247,2231,2011,1976,-0.103448275862069
"53","53",1269,1307,1323,1348,1479,0.16548463356974
"1159","1159",1269,1307,1323,1348,1479,0.16548463356974
"54","54",898,964,1120,960,981,0.0924276169265033
"55","55",3744,3499,3499,3589,3636,-0.0288461538461538
"56","56",1113,1592,1656,1228,1228,0.103324348607367
"57","57",1124,1239,1128,1128,1128,0.00355871886120996
"58","58",5516,6019,5961,5811,5778,0.0474981870920957
"59","59",1038,1057,1057,950,1075,0.035645472061657
"60","60",4907,5198,5854,5836,6016,0.226003668229061
"61","61",1771,2680,2579,2157,2608,0.47261434217956
"62","62",3399,3315,3313,3308,3685,0.0841423948220065
"63","63",1523,1376,1376,1375,1381,-0.0932370321733421
"64","64",3933,3942,3941,3925,3822,-0.0282227307398932
"65","65",3158,2705,2829,2839,2689,-0.148511716276124
"66","66",897,882,882,856,856,-0.0457079152731327
"67","67",1717,1584,1831,1831,1606,-0.0646476412347117
"68","68",4579,4569,4139,4249,4156,-0.092378248525879
"69","69",9043,4289,4296,4552,4552,-0.49662722547827
"70","70",6072,5962,5874,6098,6013,-0.0097167325428195
"71","71",3650,3405,3756,3905,3996,0.0947945205479452
"72","72",2336,2305,2377,2377,2377,0.0175513698630137
"73","73",909,888,888,888,828,-0.0891089108910891
"974","974",909,888,888,888,828,-0.0891089108910891
"74","74",3895,3937,3949,4058,3889,-0.00154043645699615
"75","75",5438,6426,3918,3909,3920,-0.279146745126885
"76","76",1503,1536,1612,1475,1477,-0.0172987358616101
"77","77",999,999,999,999,999,0
"78","78",3047,3257,3268,3246,3744,0.22874958976042
"79","79",6004,6598,6719,6695,7176,0.195203197868088
"80","80",2426,2025,2368,2460,2461,0.0144270403957131
"81","81",2746,2752,2691,2693,2692,-0.0196649672250546
"82","82",1230,1329,1298,1193,1193,-0.0300813008130081
"83","83",1239,1231,1575,1570,1570,0.267150928167877
"84","84",2721,3022,2504,2506,2506,-0.0790150679897097
"85","85",1910,1970,1970,1916,2344,0.227225130890052
"86","86",4240,4217,4256,4876,4913,0.15872641509434
"87","87",6015,5862,3974,3878,3975,-0.339152119700748
"88","88",3217,2599,3114,2617,2669,-0.170345041964563
"89","89",1942,2115,2100,2233,2053,0.0571575695159629
"90","90",2265,2360,2359,2233,2352,0.0384105960264901
"91","91",2126,2074,2074,1836,1984,-0.0667920978363123
"92","92",4730,4609,4224,4603,4196,-0.112896405919662
"93","93",2417,2377,2682,2252,2417,0
"94","94",276,274,390,451,446,0.615942028985507
"95","95",2119,2118,2756,2481,2479,0.169891458235017
"96","96",5383,6190,6082,6171,5607,0.0416124837451235
"97","97",1513,1539,1580,1583,1554,0.0270984798413748
"98","98",1538,1498,1466,1348,1349,-0.122886866059818
"99","99",2351,2118,2022,2240,2237,-0.0484900042535091
"100","100",5037,4556,4182,5342,5284,0.0490371252729799
"101","101",1060,1060,1060,1060,1060,0
"102","102",1986,1534,1566,1551,1551,-0.219033232628399
"11924","11924",1986,1534,1566,1551,1551,-0.219033232628399
"103","103",1206,1206,1206,1206,1265,0.048922056384743
"104","104",8349,7450,7448,7245,8389,0.00479099293328542
"105","105",661,811,1184,797,701,0.0605143721633888
"11047","11047",661,811,1184,797,701,0.0605143721633888
"106","106",3498,3585,4111,3468,3498,0
"107","107",1814,2007,1892,1916,1916,0.0562293274531422
"12057","12057",1814,2007,1892,1916,1916,0.0562293274531422
"108","108",2818,3970,4032,4007,4146,0.47125621007807
"109","109",1098,1097,1097,1097,1097,-0.000910746812386157
"110","110",5375,3702,3985,4568,3743,-0.303627906976744
"111","111",1575,1646,1803,1583,1705,0.0825396825396825
"112","112",5433,4449,4334,4445,4444,-0.18203570771213
"113","113",1497,1983,1745,1744,1736,0.159652638610554
"114","114",1836,1760,1758,2411,2337,0.272875816993464
"115","115",2442,2733,2733,2733,2730,0.117936117936118
"116","116",2724,2760,2777,2057,2796,0.026431718061674
"117","117",2548,2970,2697,2697,2699,0.0592621664050235
"118","118",7690,6936,7485,7344,7132,-0.0725617685305592
"119","119",4597,4973,5121,3384,3645,-0.207091581466174
"120","120",1524,1602,1357,1157,1148,-0.246719160104987
"121","121",1757,3291,1836,1678,2441,0.389299943084804
"122","122",1764,1745,1810,1712,1686,-0.0442176870748299
"123","123",2962,2612,2612,2615,2600,-0.12221471978393
"124","124",2416,2344,2251,2221,4081,0.689155629139073
"125","125",1662,2111,2117,1743,1743,0.0487364620938628
"126","126",3731,3480,2914,3131,3133,-0.160278745644599
"127","127",3905,3977,3969,3827,4205,0.0768245838668374
"128","128",3598,3782,3772,3782,3484,-0.0316842690383546
"129","129",1837,1839,1832,1836,1834,-0.00163309744148067
"269","269",1837,1839,1832,1836,1834,-0.00163309744148067
"130","130",3088,3198,2950,2531,2525,-0.182318652849741
"131","131",1140,1448,1448,1448,1447,0.269298245614035
"132","132",1506,1788,1788,1610,1675,0.112217795484728
